Date,KOTAKBANK
2017-01-02,714.8
2017-01-03,711.75
2017-01-04,695.6
2017-01-05,698.95
2017-01-06,716.85
2017-01-09,709.25
2017-01-10,712.65
2017-01-11,728.4
2017-01-12,727.95
2017-01-13,727.75
2017-01-16,731.2
2017-01-17,726.0
2017-01-18,731.1
2017-01-19,728.2
2017-01-20,723.05
2017-01-23,732.75
2017-01-24,743.35
2017-01-25,795.2
2017-01-27,785.05
2017-01-30,775.6
2017-01-31,774.15
2017-02-01,777.05
2017-02-02,770.4
2017-02-03,765.3
2017-02-06,766.7
2017-02-07,773.35
2017-02-08,767.6
2017-02-09,769.65
2017-02-10,778.9
2017-02-13,793.15
2017-02-14,790.3
2017-02-15,784.3
2017-02-16,792.5
2017-02-17,796.5
2017-02-20,797.05
2017-02-21,797.9
2017-02-22,795.85
2017-02-23,810.95
2017-02-27,800.5
2017-02-28,802.1
2017-03-01,824.15
2017-03-02,816.15
2017-03-03,809.5
2017-03-06,818.95
2017-03-07,817.0
2017-03-08,824.9
2017-03-09,825.45
2017-03-10,828.9
2017-03-14,836.15
2017-03-15,844.15
2017-03-16,851.4
2017-03-17,848.25
2017-03-20,854.6
2017-03-21,859.55
2017-03-22,862.2
2017-03-23,868.15
2017-03-24,879.35
2017-03-27,871.15
2017-03-28,859.45
2017-03-29,857.6
2017-03-30,865.15
2017-03-31,872.2
2017-04-03,875.95
2017-04-05,889.85
2017-04-06,894.35
2017-04-07,873.1
2017-04-10,877.35
2017-04-11,881.05
2017-04-12,879.4
2017-04-13,879.5
2017-04-17,887.6
2017-04-18,881.65
2017-04-19,875.6
2017-04-20,889.15
2017-04-21,880.4
2017-04-24,895.75
2017-04-25,898.0
2017-04-26,900.35
2017-04-27,916.65
2017-04-28,901.95
2017-05-02,917.9
2017-05-03,916.95
2017-05-04,905.45
2017-05-05,908.3
2017-05-08,907.35
2017-05-09,906.85
2017-05-10,927.65
2017-05-11,936.8
2017-05-12,954.65
2017-05-15,973.3
2017-05-16,959.85
2017-05-17,951.2
2017-05-18,942.85
2017-05-19,937.35
2017-05-22,941.25
2017-05-23,940.25
2017-05-24,936.1
2017-05-25,956.5
2017-05-26,965.05
2017-05-29,968.55
2017-05-30,961.95
2017-05-31,966.05
2017-06-01,962.65
2017-06-02,965.25
2017-06-05,967.0
2017-06-06,966.4
2017-06-07,968.65
2017-06-08,978.85
2017-06-09,985.1
2017-06-12,976.7
2017-06-13,974.2
2017-06-14,968.05
2017-06-15,962.6
2017-06-16,982.65
2017-06-19,987.55
2017-06-20,983.05
2017-06-21,991.95
2017-06-22,997.9
2017-06-23,985.2
2017-06-27,974.75
2017-06-28,972.2
2017-06-29,948.35
2017-06-30,955.75
2017-07-03,948.85
2017-07-04,958.8
2017-07-05,959.85
2017-07-06,958.1
2017-07-07,964.7
2017-07-10,968.0
2017-07-11,958.75
2017-07-12,956.65
2017-07-13,962.1
2017-07-14,977.2
2017-07-17,979.7
2017-07-18,977.1
2017-07-19,994.2
2017-07-20,980.0
2017-07-21,999.45
2017-07-24,992.95
2017-07-25,987.95
2017-07-26,986.55
2017-07-27,998.15
2017-07-28,1012.7
2017-07-31,1021.65
2017-08-01,1015.3
2017-08-02,1010.9
2017-08-03,996.4
2017-08-04,996.2
2017-08-07,997.9
2017-08-08,987.7
2017-08-09,992.4
2017-08-10,996.8
2017-08-11,992.2
2017-08-14,982.6
2017-08-16,1000.55
2017-08-17,989.0
2017-08-18,983.55
2017-08-21,969.55
2017-08-22,970.8
2017-08-23,980.1
2017-08-24,972.1
2017-08-28,976.05
2017-08-29,964.4
2017-08-30,971.35
2017-08-31,976.0
2017-09-01,992.55
2017-09-04,978.1
2017-09-05,988.4
2017-09-06,996.15
2017-09-07,993.5
2017-09-08,1007.55
2017-09-11,1006.5
2017-09-12,1021.75
2017-09-13,1020.15
2017-09-14,1007.6
2017-09-15,1005.05
2017-09-18,1017.05
2017-09-19,1034.35
2017-09-20,1023.2
2017-09-21,1029.15
2017-09-22,1021.9
2017-09-25,999.5
2017-09-26,994.0
2017-09-27,979.6
2017-09-28,1005.25
2017-09-29,1002.25
2017-10-03,1006.55
