Date,OFSS
2017-01-02,3188.7
2017-01-03,3166.3
2017-01-04,3233.0
2017-01-05,3214.95
2017-01-06,3139.45
2017-01-09,3108.75
2017-01-10,3119.05
2017-01-11,3155.9
2017-01-12,3205.4
2017-01-13,3252.65
2017-01-16,3259.95
2017-01-17,3283.4
2017-01-18,3262.5
2017-01-19,3274.4
2017-01-20,3250.7
2017-01-23,3301.75
2017-01-24,3313.6
2017-01-25,3349.35
2017-01-27,3357.0
2017-01-30,3338.85
2017-01-31,3319.5
2017-02-01,3311.65
2017-02-02,3522.8
2017-02-03,3618.8
2017-02-06,3680.45
2017-02-07,3638.5
2017-02-08,3568.3
2017-02-09,3687.1
2017-02-10,3703.2
2017-02-13,3657.35
2017-02-14,3648.55
2017-02-15,3600.55
2017-02-16,3625.7
2017-02-17,3613.8
2017-02-20,3674.95
2017-02-21,3656.65
2017-02-22,3641.45
2017-02-23,3702.4
2017-02-27,3713.85
2017-02-28,3739.85
2017-03-01,3729.95
2017-03-02,3641.85
2017-03-03,3734.85
2017-03-06,3742.05
2017-03-07,3755.6
2017-03-08,3840.1
2017-03-09,3934.65
2017-03-10,3898.25
2017-03-14,3933.6
2017-03-15,3919.1
2017-03-16,3943.6
2017-03-17,3889.25
2017-03-20,3902.25
2017-03-21,3883.55
2017-03-22,3822.1
2017-03-23,3826.55
2017-03-24,3821.45
2017-03-27,3776.6
2017-03-28,3802.3
2017-03-29,3773.8
2017-03-30,3782.3
2017-03-31,3815.75
2017-04-03,3785.75
2017-04-05,3843.4
2017-04-06,3890.25
2017-04-07,3828.0
2017-04-10,3718.85
2017-04-11,3739.85
2017-04-12,3735.35
2017-04-13,3741.2
2017-04-17,3735.65
2017-04-18,3767.85
2017-04-19,3556.6
2017-04-20,3613.95
2017-04-21,3594.2
2017-04-24,3593.75
2017-04-25,3635.5
2017-04-26,3626.1
2017-04-27,3569.55
2017-04-28,3557.6
2017-05-02,3631.75
2017-05-03,3674.5
2017-05-04,3742.65
2017-05-05,3699.6
2017-05-08,3761.35
2017-05-09,3778.0
2017-05-10,3754.45
2017-05-11,3787.3
2017-05-12,3767.55
2017-05-15,3743.85
2017-05-16,3879.8
2017-05-17,3772.55
2017-05-18,3774.15
2017-05-19,3678.75
2017-05-22,3609.75
2017-05-23,3602.75
2017-05-24,3551.4
2017-05-25,3555.2
2017-05-26,3557.4
2017-05-29,3566.2
2017-05-30,3540.85
2017-05-31,3524.95
2017-06-01,3575.15
2017-06-02,3628.7
2017-06-05,3679.0
2017-06-06,3663.1
2017-06-07,3688.05
2017-06-08,3694.75
2017-06-09,3678.5
2017-06-12,3663.55
2017-06-13,3658.25
2017-06-14,3635.55
2017-06-15,3627.15
2017-06-16,3702.8
2017-06-19,3660.9
2017-06-20,3651.65
2017-06-21,3660.95
2017-06-22,3664.8
2017-06-23,3607.9
2017-06-27,3579.35
2017-06-28,3589.2
2017-06-29,3579.65
2017-06-30,3609.45
2017-07-03,3580.0
2017-07-04,3576.55
2017-07-05,3618.65
2017-07-06,3630.6
2017-07-07,3614.45
2017-07-10,3622.7
2017-07-11,3631.85
2017-07-12,3681.25
2017-07-13,3697.25
2017-07-14,3679.65
2017-07-17,3676.2
2017-07-18,3665.1
2017-07-19,3692.85
2017-07-20,3644.5
2017-07-21,3678.3
2017-07-24,3678.3
2017-07-25,3630.65
2017-07-26,3616.6
2017-07-27,3614.8
2017-07-28,3603.45
2017-07-31,3622.65
2017-08-01,3615.1
2017-08-02,3639.0
2017-08-03,3615.75
2017-08-04,3603.25
2017-08-07,3595.25
2017-08-08,3568.6
2017-08-09,3552.9
2017-08-10,3445.45
2017-08-11,3457.0
2017-08-14,3591.1
2017-08-16,3562.75
2017-08-17,3508.4
2017-08-18,3432.5
2017-08-21,3417.85
2017-08-22,3420.25
2017-08-23,3435.1
2017-08-24,3436.3
2017-08-28,3465.2
2017-08-29,3456.5
2017-08-30,3425.25
2017-08-31,3421.4
2017-09-01,3475.45
2017-09-04,3581.9
2017-09-05,3507.65
2017-09-06,3534.55
2017-09-07,3536.7
2017-09-08,3546.35
2017-09-11,3508.1
2017-09-12,3451.1
2017-09-13,3443.25
2017-09-14,3460.3
2017-09-15,3538.25
2017-09-18,3566.05
2017-09-19,3592.65
2017-09-20,3568.55
2017-09-21,3535.3
2017-09-22,3502.65
2017-09-25,3479.15
2017-09-26,3516.4
2017-09-27,3545.7
2017-09-28,3593.3
2017-09-29,3634.75
2017-10-03,3626.75
2017-10-04,3632.65
2017-10-05,3604.15
2017-10-06,3598.45
2017-10-09,3537.4
2017-10-10,3535.25
2017-10-11,3506.55
2017-10-12,3579.85
2017-10-13,3592.8
2017-10-16,3600.25
2017-10-17,3543.25
2017-10-18,3584.7
2017-10-19,3550.95
2017-10-23,3508.85
2017-10-24,3521.4
2017-10-25,3574.9
2017-10-26,3518.3
2017-10-27,3525.7
2017-10-30,3521.1
2017-10-31,3499.25
2017-11-01,3532.4
2017-11-02,3533.85
2017-11-03,3557.1
2017-11-06,3523.25
2017-11-07,3644.5
2017-11-08,3655.0
2017-11-09,3665.25
2017-11-10,3640.55
2017-11-13,3644.25
2017-11-14,3639.9
2017-11-15,3629.7
2017-11-16,3648.55
2017-11-17,3648.75
2017-11-20,3663.35
2017-11-21,3702.7
2017-11-22,3698.15
2017-11-23,3702.2
2017-11-24,3712.85
2017-11-27,3690.1
2017-11-28,3703.25
2017-11-29,3741.4
2017-11-30,3694.05
2017-12-01,3704.85
2017-12-04,3737.0
2017-12-05,3753.55
2017-12-06,3719.85
2017-12-07,3730.25
2017-12-08,3779.8
2017-12-11,3868.4
2017-12-12,3853.6
2017-12-13,3859.75
2017-12-14,3899.85
2017-12-15,3909.7
2017-12-18,3944.9
2017-12-19,4082.75
2017-12-20,4041.55
2017-12-21,4059.55
2017-12-22,3979.75
2017-12-26,4009.4
2017-12-27,4022.95
2017-12-28,4061.55
2017-12-29,4098.05
