Date,3PLAND
2017-01-02,11.75
2017-01-03,11.7
2017-01-04,12.0
2017-01-05,12.05
2017-01-06,11.75
2017-01-09,11.5
2017-01-10,12.05
2017-01-11,12.65
2017-01-12,12.5
2017-01-13,12.55
2017-01-16,12.0
2017-01-17,11.9
2017-01-18,11.65
2017-01-19,11.8
2017-01-20,11.6
2017-01-23,11.45
2017-01-24,12.0
2017-01-25,11.9
2017-01-27,11.35
2017-01-30,11.35
2017-01-31,11.25
2017-02-01,11.35
2017-02-02,11.7
2017-02-03,11.8
2017-02-06,12.35
2017-02-07,12.5
2017-02-08,12.35
2017-02-09,11.85
2017-02-10,11.5
2017-02-13,11.55
2017-02-14,11.65
2017-02-15,11.1
2017-02-16,11.1
2017-02-17,11.0
2017-02-20,11.2
2017-02-21,11.4
2017-02-22,10.95
2017-02-23,11.1
2017-02-27,10.85
2017-02-28,10.6
2017-03-01,10.7
2017-03-02,10.55
2017-03-03,11.15
2017-03-06,11.25
2017-03-07,11.35
2017-03-08,10.45
2017-03-09,10.8
2017-03-10,10.6
2017-03-14,10.35
2017-03-15,10.45
2017-03-16,10.7
2017-03-17,10.85
2017-03-20,11.0
2017-03-21,10.65
2017-03-22,10.65
2017-03-23,10.6
2017-03-24,10.9
2017-03-27,10.5
2017-03-28,11.55
2017-03-29,11.0
2017-03-30,10.7
2017-03-31,10.8
2017-04-03,11.0
2017-04-05,11.35
2017-04-06,11.6
2017-04-07,11.25
2017-04-10,11.75
2017-04-11,14.1
2017-04-12,16.9
2017-04-13,15.25
2017-04-17,14.2
2017-04-18,13.95
2017-04-19,14.45
2017-04-20,13.8
2017-04-21,13.55
2017-04-24,13.5
2017-04-25,13.0
2017-04-26,12.4
2017-04-27,12.1
2017-04-28,12.35
2017-05-02,12.95
2017-05-03,13.0
2017-05-04,13.45
2017-05-05,13.5
2017-05-08,13.05
2017-05-09,13.15
2017-05-10,13.15
2017-05-11,13.15
2017-05-12,12.9
2017-05-15,12.75
2017-05-16,13.1
2017-05-17,12.75
2017-05-18,12.75
2017-05-19,12.15
2017-05-22,12.75
2017-05-23,13.1
2017-05-24,12.45
2017-05-25,11.85
2017-05-26,11.8
2017-05-29,11.45
2017-05-30,12.0
2017-05-31,11.75
2017-06-01,11.85
2017-06-02,11.7
2017-06-05,11.7
2017-06-06,11.4
2017-06-07,11.65
2017-06-08,11.2
2017-06-09,11.0
2017-06-12,10.75
2017-06-13,10.95
2017-06-14,11.15
2017-06-15,11.0
2017-06-16,11.0
2017-06-19,11.2
2017-06-20,11.05
2017-06-21,11.1
2017-06-22,11.0
2017-06-23,10.8
2017-06-27,10.65
2017-06-28,10.55
2017-06-29,10.7
2017-06-30,10.8
2017-07-03,10.9
2017-07-04,11.2
2017-07-05,11.35
2017-07-06,11.35
2017-07-07,10.9
2017-07-10,11.45
2017-07-11,10.9
2017-07-12,11.1
2017-07-13,11.05
2017-07-14,11.45
2017-07-17,11.25
2017-07-18,10.95
2017-07-19,11.55
2017-07-20,11.65
2017-07-21,11.65
2017-07-24,11.65
2017-07-25,11.9
2017-07-26,11.8
2017-07-27,11.9
2017-07-28,11.9
2017-07-31,11.6
2017-08-01,11.6
2017-08-02,11.5
2017-08-03,11.65
2017-08-04,11.5
2017-08-07,13.0
2017-08-08,11.55
2017-08-09,11.8
2017-08-10,11.1
2017-08-11,11.4
2017-08-14,12.05
2017-08-16,12.35
2017-08-17,14.8
2017-08-18,15.3
2017-08-21,13.1
2017-08-22,12.75
2017-08-23,12.45
2017-08-24,12.2
2017-08-28,13.8
2017-08-29,12.25
2017-08-30,12.65
2017-08-31,12.4
2017-09-01,12.1
2017-09-04,12.5
2017-09-05,12.9
2017-09-06,12.7
2017-09-07,13.9
2017-09-08,13.8
2017-09-11,13.5
2017-09-12,13.45
2017-09-13,12.75
2017-09-14,13.2
2017-09-15,12.75
2017-09-18,12.65
2017-09-19,13.95
2017-09-20,14.75
2017-09-21,13.55
2017-09-22,13.05
2017-09-25,12.9
2017-09-26,13.0
2017-09-27,13.05
2017-09-28,12.95
2017-09-29,13.15
2017-10-03,13.8
2017-10-04,13.75
2017-10-05,13.65
2017-10-06,13.8
2017-10-09,13.65
2017-10-10,13.8
2017-10-11,13.65
2017-10-12,13.95
2017-10-13,13.35
2017-10-16,13.45
2017-10-17,14.4
2017-10-18,13.9
2017-10-19,13.85
2017-10-23,13.6
2017-10-24,14.05
2017-10-25,14.55
2017-10-26,15.3
2017-10-27,14.65
2017-10-30,14.1
2017-10-31,14.0
2017-11-01,14.1
2017-11-02,14.0
2017-11-03,13.8
2017-11-06,13.8
2017-11-07,13.6
2017-11-08,13.6
2017-11-09,16.25
2017-11-10,15.6
