Date,PNCINFRA
2017-01-02,105.0
2017-01-03,104.6
2017-01-04,104.75
2017-01-05,104.95
2017-01-06,104.65
2017-01-09,104.45
2017-01-10,105.05
2017-01-11,105.6
2017-01-12,105.8
2017-01-13,105.2
2017-01-16,105.0
2017-01-17,105.6
2017-01-18,104.15
2017-01-19,106.25
2017-01-20,105.05
2017-01-23,104.95
2017-01-24,106.15
2017-01-25,107.25
2017-01-27,105.85
2017-01-30,106.2
2017-01-31,105.45
2017-02-01,105.95
2017-02-02,105.95
2017-02-03,105.75
2017-02-06,106.25
2017-02-07,105.6
2017-02-08,105.2
2017-02-09,105.25
2017-02-10,105.7
2017-02-13,104.5
2017-02-14,104.2
2017-02-15,102.75
2017-02-16,101.2
2017-02-17,104.7
2017-02-20,104.65
2017-02-21,102.0
2017-02-22,101.2
2017-02-23,101.9
2017-02-27,101.35
2017-02-28,101.0
2017-03-01,100.9
2017-03-02,100.95
2017-03-03,99.95
2017-03-06,100.55
2017-03-07,103.6
2017-03-08,101.05
2017-03-09,100.65
2017-03-10,102.3
2017-03-14,105.1
2017-03-15,104.55
2017-03-16,110.05
2017-03-17,113.15
2017-03-20,114.1
2017-03-21,113.7
2017-03-22,112.1
2017-03-23,113.85
2017-03-24,115.6
2017-03-27,119.55
2017-03-28,116.95
2017-03-29,116.7
2017-03-30,117.65
2017-03-31,117.15
2017-04-03,125.95
2017-04-05,128.05
2017-04-06,126.75
2017-04-07,127.95
2017-04-10,130.05
2017-04-11,131.05
2017-04-12,137.75
2017-04-13,137.3
2017-04-17,139.5
2017-04-18,136.0
2017-04-19,138.65
2017-04-20,148.05
2017-04-21,151.1
2017-04-24,158.95
2017-04-25,163.4
2017-04-26,155.15
2017-04-27,156.15
2017-04-28,157.55
2017-05-02,159.0
2017-05-03,159.6
2017-05-04,160.65
2017-05-05,159.4
2017-05-08,157.1
2017-05-09,160.9
2017-05-10,162.2
2017-05-11,157.95
2017-05-12,158.1
2017-05-15,159.5
2017-05-16,157.65
2017-05-17,150.0
2017-05-18,147.8
2017-05-19,146.4
2017-05-22,142.5
2017-05-23,144.75
2017-05-24,142.25
2017-05-25,140.45
2017-05-26,144.75
2017-05-29,143.45
2017-05-30,144.25
2017-05-31,147.1
2017-06-01,145.95
2017-06-02,145.3
2017-06-05,146.25
2017-06-06,148.85
2017-06-07,145.6
2017-06-08,146.2
2017-06-09,151.0
2017-06-12,147.1
2017-06-13,147.0
2017-06-14,148.35
2017-06-15,147.0
2017-06-16,147.0
2017-06-19,144.9
2017-06-20,146.05
2017-06-21,146.8
2017-06-22,147.05
2017-06-23,144.85
2017-06-27,143.75
2017-06-28,142.5
2017-06-29,143.5
2017-06-30,143.2
2017-07-03,143.55
2017-07-04,144.0
2017-07-05,143.6
2017-07-06,143.55
2017-07-07,148.35
2017-07-10,149.1
2017-07-11,147.0
2017-07-12,149.1
2017-07-13,147.7
2017-07-14,147.25
2017-07-17,147.0
2017-07-18,144.45
2017-07-19,141.95
2017-07-20,140.3
2017-07-21,140.4
2017-07-24,141.8
2017-07-25,142.95
2017-07-26,141.5
2017-07-27,140.35
2017-07-28,139.85
2017-07-31,142.15
2017-08-01,141.15
2017-08-02,140.2
2017-08-03,140.75
2017-08-04,141.0
2017-08-07,140.0
2017-08-08,139.65
2017-08-09,139.75
2017-08-10,138.25
2017-08-11,138.85
2017-08-14,139.2
2017-08-16,140.35
2017-08-17,141.35
2017-08-18,145.6
2017-08-21,145.2
2017-08-22,140.15
2017-08-23,141.0
2017-08-24,142.6
2017-08-28,140.3
2017-08-29,138.8
2017-08-30,137.05
2017-08-31,137.5
2017-09-01,137.5
2017-09-04,136.5
2017-09-05,136.0
2017-09-06,135.15
2017-09-07,135.1
2017-09-08,135.3
2017-09-11,133.5
2017-09-12,134.1
2017-09-13,134.6
2017-09-14,135.0
2017-09-15,136.25
2017-09-18,132.3
2017-09-19,133.05
2017-09-20,133.05
2017-09-21,133.9
2017-09-22,135.0
2017-09-25,134.0
2017-09-26,136.3
2017-09-27,138.05
2017-09-28,139.9
2017-09-29,137.25
2017-10-03,141.35
2017-10-04,142.4
2017-10-05,147.7
2017-10-06,150.45
2017-10-09,150.3
2017-10-10,146.25
2017-10-11,147.0
2017-10-12,147.15
2017-10-13,148.6
2017-10-16,152.3
2017-10-17,156.4
2017-10-18,157.0
2017-10-19,156.75
2017-10-23,159.55
2017-10-24,171.9
2017-10-25,176.5
2017-10-26,181.15
2017-10-27,184.75
2017-10-30,181.95
2017-10-31,202.4
2017-11-01,196.35
2017-11-02,203.65
2017-11-03,199.4
2017-11-06,197.25
2017-11-07,193.7
2017-11-08,190.5
2017-11-09,190.85
2017-11-10,184.65
2017-11-13,177.95
2017-11-14,175.65
2017-11-15,171.75
2017-11-16,178.75
2017-11-17,182.6
2017-11-20,183.0
2017-11-21,183.5
2017-11-22,183.9
2017-11-23,183.75
2017-11-24,188.3
2017-11-27,188.35
2017-11-28,191.7
2017-11-29,189.55
2017-11-30,193.0
2017-12-01,187.5
2017-12-04,185.6
2017-12-05,187.05
2017-12-06,187.65
2017-12-07,186.0
2017-12-08,182.8
2017-12-11,186.55
2017-12-12,185.15
2017-12-13,182.9
2017-12-14,182.2
2017-12-15,181.85
2017-12-18,180.65
2017-12-19,189.15
2017-12-20,196.0
2017-12-21,195.3
2017-12-22,213.25
2017-12-26,217.2
2017-12-27,212.15
2017-12-28,208.7
2017-12-29,203.6
