Date,TANLA
2017-01-02,58.7
2017-01-03,58.25
2017-01-04,57.2
2017-01-05,59.2
2017-01-06,59.1
2017-01-09,58.45
2017-01-10,58.7
2017-01-11,58.75
2017-01-12,57.6
2017-01-13,57.6
2017-01-16,58.75
2017-01-17,58.95
2017-01-18,62.05
2017-01-19,63.25
2017-01-20,61.45
2017-01-23,64.2
2017-01-24,64.85
2017-01-25,63.1
2017-01-27,61.1
2017-01-30,60.9
2017-01-31,59.6
2017-02-01,60.6
2017-02-02,59.1
2017-02-03,58.3
2017-02-06,56.55
2017-02-07,56.85
2017-02-08,56.25
2017-02-09,56.4
2017-02-10,57.55
2017-02-13,56.95
2017-02-14,54.25
2017-02-15,52.4
2017-02-16,54.35
2017-02-17,54.35
2017-02-20,55.3
2017-02-21,54.35
2017-02-22,54.5
2017-02-23,54.05
2017-02-27,53.8
2017-02-28,53.8
2017-03-01,53.85
2017-03-02,53.3
2017-03-03,53.3
2017-03-06,53.45
2017-03-07,53.05
2017-03-08,51.75
2017-03-09,51.15
2017-03-10,50.65
2017-03-14,50.4
2017-03-15,51.8
2017-03-16,53.5
2017-03-17,52.3
2017-03-20,52.7
2017-03-21,51.15
2017-03-22,50.15
2017-03-23,50.25
2017-03-24,50.3
2017-03-27,49.25
2017-03-28,48.95
2017-03-29,48.8
2017-03-30,48.6
2017-03-31,48.3
2017-04-03,50.9
2017-04-05,51.55
2017-04-06,50.95
2017-04-07,50.5
2017-04-10,53.2
2017-04-11,53.35
2017-04-12,51.8
2017-04-13,53.35
2017-04-17,52.75
2017-04-18,51.65
2017-04-19,51.3
2017-04-20,51.5
2017-04-21,52.25
2017-04-24,52.15
2017-04-25,51.85
2017-04-26,50.65
2017-04-27,50.4
2017-04-28,50.05
2017-05-02,49.65
2017-05-03,48.65
2017-05-04,48.7
2017-05-05,49.8
2017-05-08,49.6
2017-05-09,49.6
2017-05-10,50.45
2017-05-11,50.05
2017-05-12,50.85
2017-05-15,52.8
2017-05-16,51.35
2017-05-17,50.55
2017-05-18,50.35
2017-05-19,47.95
2017-05-22,42.75
2017-05-23,38.4
2017-05-24,38.65
2017-05-25,38.3
2017-05-26,38.15
2017-05-29,35.75
2017-05-30,33.95
2017-05-31,36.15
2017-06-01,38.2
2017-06-02,37.6
2017-06-05,37.9
2017-06-06,37.4
2017-06-07,36.95
2017-06-08,36.8
2017-06-09,36.1
2017-06-12,35.8
2017-06-13,36.8
2017-06-14,35.75
2017-06-15,35.25
2017-06-16,35.55
2017-06-19,34.6
2017-06-20,34.55
2017-06-21,35.75
2017-06-22,34.75
2017-06-23,34.1
2017-06-27,33.35
2017-06-28,33.95
2017-06-29,33.75
2017-06-30,33.4
2017-07-03,34.1
2017-07-04,33.6
2017-07-05,33.65
2017-07-06,33.75
2017-07-07,37.0
2017-07-10,38.05
2017-07-11,39.1
2017-07-12,38.9
2017-07-13,38.3
2017-07-14,37.1
2017-07-17,37.5
2017-07-18,36.7
2017-07-19,37.8
2017-07-20,36.9
2017-07-21,36.8
2017-07-24,36.95
2017-07-25,36.35
2017-07-26,36.25
2017-07-27,35.95
2017-07-28,38.6
2017-07-31,39.0
2017-08-01,37.4
2017-08-02,36.7
2017-08-03,35.8
2017-08-04,35.05
2017-08-07,34.8
2017-08-08,33.8
2017-08-09,33.25
2017-08-10,31.35
2017-08-11,30.3
2017-08-14,32.05
2017-08-16,32.15
2017-08-17,31.7
2017-08-18,33.65
2017-08-21,32.95
2017-08-22,32.75
2017-08-23,32.5
2017-08-24,32.0
2017-08-28,32.8
2017-08-29,32.6
2017-08-30,32.65
2017-08-31,32.1
2017-09-01,32.6
2017-09-04,32.45
2017-09-05,32.2
2017-09-06,33.05
2017-09-07,35.6
2017-09-08,35.2
2017-09-11,35.05
2017-09-12,34.6
2017-09-13,34.2
2017-09-14,33.95
2017-09-15,34.05
2017-09-18,34.0
2017-09-19,33.05
2017-09-20,32.55
2017-09-21,32.15
2017-09-22,31.85
2017-09-25,31.45
2017-09-26,31.35
2017-09-27,30.8
2017-09-28,31.1
2017-09-29,31.1
2017-10-03,30.95
2017-10-04,30.6
2017-10-05,31.15
2017-10-06,32.2
2017-10-09,32.15
2017-10-10,32.3
2017-10-11,32.0
2017-10-12,31.85
2017-10-13,31.75
2017-10-16,31.5
2017-10-17,31.8
2017-10-18,31.65
2017-10-19,31.95
2017-10-23,32.2
2017-10-24,33.9
2017-10-25,33.5
2017-10-26,33.85
2017-10-27,34.1
2017-10-30,35.9
2017-10-31,33.0
2017-11-01,31.95
2017-11-02,31.6
2017-11-03,32.0
2017-11-06,33.9
2017-11-07,33.25
2017-11-08,32.05
2017-11-09,32.15
2017-11-10,31.85
2017-11-13,31.6
2017-11-14,31.4
2017-11-15,30.55
2017-11-16,31.05
2017-11-17,32.0
2017-11-20,31.85
2017-11-21,32.2
2017-11-22,31.6
2017-11-23,33.2
2017-11-24,33.7
2017-11-27,36.05
2017-11-28,35.85
2017-11-29,37.15
2017-11-30,35.95
2017-12-01,34.65
2017-12-04,33.9
2017-12-05,32.9
2017-12-06,32.75
2017-12-07,33.15
2017-12-08,34.25
2017-12-11,33.5
2017-12-12,33.35
2017-12-13,32.75
2017-12-14,32.2
2017-12-15,32.25
2017-12-18,32.6
2017-12-19,33.15
2017-12-20,34.25
2017-12-21,36.2
2017-12-22,37.3
2017-12-26,39.3
2017-12-27,41.95
2017-12-28,41.85
2017-12-29,40.3
