Date,MOLDTECH
2017-01-02,44.0
2017-01-03,45.05
2017-01-04,44.9
2017-01-05,46.0
2017-01-06,46.5
2017-01-09,47.95
2017-01-10,47.05
2017-01-11,46.75
2017-01-12,46.35
2017-01-13,45.9
2017-01-16,46.0
2017-01-17,45.65
2017-01-18,47.6
2017-01-19,47.95
2017-01-20,48.4
2017-01-23,49.1
2017-01-24,49.15
2017-01-25,49.3
2017-01-27,48.5
2017-01-30,48.4
2017-01-31,47.75
2017-02-01,48.2
2017-02-02,47.75
2017-02-03,49.2
2017-02-06,48.75
2017-02-07,48.2
2017-02-08,49.05
2017-02-09,47.7
2017-02-10,46.6
2017-02-13,48.0
2017-02-14,47.9
2017-02-15,46.75
2017-02-16,46.95
2017-02-17,48.45
2017-02-20,49.05
2017-02-21,49.3
2017-02-22,52.1
2017-02-23,50.25
2017-02-27,50.1
2017-02-28,50.05
2017-03-01,50.45
2017-03-02,50.2
2017-03-03,49.1
2017-03-06,48.05
2017-03-07,48.55
2017-03-08,48.9
2017-03-09,48.25
2017-03-10,48.15
2017-03-14,48.0
2017-03-15,47.7
2017-03-16,47.9
2017-03-17,47.9
2017-03-20,48.95
2017-03-21,49.0
2017-03-22,48.4
2017-03-23,48.85
2017-03-24,48.95
2017-03-27,49.05
2017-03-28,48.3
2017-03-29,51.45
2017-03-30,52.85
2017-03-31,53.1
2017-04-03,53.75
2017-04-05,52.95
2017-04-06,52.6
2017-04-07,52.1
2017-04-10,52.5
2017-04-11,52.15
2017-04-12,50.8
2017-04-13,51.5
2017-04-17,52.05
2017-04-18,52.0
2017-04-19,51.95
2017-04-20,52.2
2017-04-21,52.05
2017-04-24,52.05
2017-04-25,52.0
2017-04-26,54.4
2017-04-27,52.7
2017-04-28,53.2
2017-05-02,52.9
2017-05-03,53.25
2017-05-04,53.25
2017-05-05,52.1
2017-05-08,52.1
2017-05-09,52.6
2017-05-10,52.95
2017-05-11,51.7
2017-05-12,51.85
2017-05-15,51.9
2017-05-16,52.35
2017-05-17,54.05
2017-05-18,54.1
2017-05-19,55.2
2017-05-22,54.85
2017-05-23,52.55
2017-05-24,50.0
2017-05-25,50.25
2017-05-26,49.5
2017-05-29,47.6
2017-05-30,48.5
2017-05-31,48.0
2017-06-01,48.7
2017-06-02,49.0
2017-06-05,48.9
2017-06-06,48.5
2017-06-07,49.5
2017-06-08,49.15
2017-06-09,48.95
2017-06-12,48.6
2017-06-13,48.3
2017-06-14,48.1
2017-06-15,47.25
2017-06-16,47.95
2017-06-19,48.05
2017-06-20,47.8
2017-06-21,48.65
2017-06-22,49.05
2017-06-23,47.55
2017-06-27,46.6
2017-06-28,46.8
2017-06-29,47.45
2017-06-30,50.7
2017-07-03,52.85
2017-07-04,53.1
2017-07-05,52.85
2017-07-06,53.1
2017-07-07,51.25
2017-07-10,51.4
2017-07-11,49.9
2017-07-12,50.95
2017-07-13,49.55
2017-07-14,50.25
2017-07-17,49.35
2017-07-18,51.2
2017-07-19,50.35
2017-07-20,50.35
2017-07-21,49.45
2017-07-24,48.65
2017-07-25,48.5
2017-07-26,48.65
2017-07-27,48.15
2017-07-28,50.5
2017-07-31,49.25
2017-08-01,50.05
2017-08-02,49.8
2017-08-03,50.45
2017-08-04,50.45
2017-08-07,50.2
2017-08-08,50.05
2017-08-09,51.9
2017-08-10,49.4
2017-08-11,49.55
2017-08-14,49.75
2017-08-16,49.75
2017-08-17,49.55
2017-08-18,49.6
2017-08-21,49.9
2017-08-22,50.0
2017-08-23,50.0
2017-08-24,49.85
2017-08-28,52.5
2017-08-29,52.25
2017-08-30,53.2
2017-08-31,54.4
2017-09-01,53.85
2017-09-04,55.3
2017-09-05,55.0
2017-09-06,54.8
2017-09-07,54.15
2017-09-08,53.6
2017-09-11,54.65
2017-09-12,53.35
2017-09-13,53.8
2017-09-14,53.45
2017-09-15,53.0
2017-09-18,52.25
2017-09-19,51.45
2017-09-20,51.1
2017-09-21,51.3
2017-09-22,52.2
2017-09-25,50.85
2017-09-26,50.9
2017-09-27,50.0
2017-09-28,50.15
2017-09-29,50.6
2017-10-03,50.6
2017-10-04,50.9
2017-10-05,50.5
2017-10-06,50.55
2017-10-09,50.65
2017-10-10,51.55
2017-10-11,50.2
2017-10-12,50.15
2017-10-13,55.0
2017-10-16,54.0
2017-10-17,53.55
2017-10-18,52.65
2017-10-19,54.45
2017-10-23,52.8
2017-10-24,51.4
2017-10-25,51.1
2017-10-26,51.6
2017-10-27,52.0
2017-10-30,53.0
2017-10-31,52.3
2017-11-01,52.4
2017-11-02,52.7
2017-11-03,53.55
2017-11-06,53.25
2017-11-07,52.75
2017-11-08,54.3
2017-11-09,53.15
2017-11-10,53.3
2017-11-13,53.85
2017-11-14,55.25
2017-11-15,54.9
2017-11-16,57.05
2017-11-17,56.25
2017-11-20,56.05
2017-11-21,66.4
2017-11-22,73.75
2017-11-23,72.25
2017-11-24,71.7
2017-11-27,70.9
2017-11-28,68.5
2017-11-29,66.95
2017-11-30,64.75
2017-12-01,74.9
2017-12-04,71.65
2017-12-05,71.25
2017-12-06,75.0
