Date,AUTOLITIND
2017-01-02,48.55
2017-01-03,49.8
2017-01-04,49.9
2017-01-05,50.0
2017-01-06,50.3
2017-01-09,51.0
2017-01-10,53.0
2017-01-11,54.45
2017-01-12,53.9
2017-01-13,52.55
2017-01-16,51.9
2017-01-17,51.95
2017-01-18,52.35
2017-01-19,53.45
2017-01-20,52.95
2017-01-23,53.4
2017-01-24,52.8
2017-01-25,53.6
2017-01-27,53.2
2017-01-30,54.5
2017-01-31,53.05
2017-02-01,53.45
2017-02-02,53.4
2017-02-03,53.95
2017-02-06,53.85
2017-02-07,53.9
2017-02-08,53.75
2017-02-09,52.5
2017-02-10,52.5
2017-02-13,52.15
2017-02-14,51.9
2017-02-15,51.7
2017-02-16,51.15
2017-02-17,49.95
2017-02-20,51.1
2017-02-21,51.4
2017-02-22,51.95
2017-02-23,51.35
2017-02-27,50.8
2017-02-28,50.9
2017-03-01,52.85
2017-03-02,52.5
2017-03-03,50.9
2017-03-06,51.65
2017-03-07,61.4
2017-03-08,60.75
2017-03-09,59.55
2017-03-10,56.55
2017-03-14,56.7
2017-03-15,55.45
2017-03-16,57.25
2017-03-17,55.9
2017-03-20,55.35
2017-03-21,55.3
2017-03-22,54.2
2017-03-23,53.8
2017-03-24,53.6
2017-03-27,53.8
2017-03-28,53.85
2017-03-29,52.5
2017-03-30,53.05
2017-03-31,52.95
2017-04-03,54.65
2017-04-05,55.65
2017-04-06,54.8
2017-04-07,56.0
2017-04-10,57.15
2017-04-11,56.95
2017-04-12,56.15
2017-04-13,56.15
2017-04-17,55.65
2017-04-18,57.3
2017-04-19,59.4
2017-04-20,59.8
2017-04-21,60.25
2017-04-24,58.9
2017-04-25,59.35
2017-04-26,58.55
2017-04-27,59.55
2017-04-28,58.55
2017-05-02,57.5
2017-05-03,57.3
2017-05-04,57.4
2017-05-05,56.85
2017-05-08,56.35
2017-05-09,59.2
2017-05-10,59.0
2017-05-11,57.75
2017-05-12,58.0
2017-05-15,57.35
2017-05-16,57.35
2017-05-17,57.3
2017-05-18,56.35
2017-05-19,58.85
2017-05-22,60.6
2017-05-23,58.4
2017-05-24,57.2
2017-05-25,58.5
2017-05-26,59.25
2017-05-29,58.75
2017-05-30,57.85
2017-05-31,56.05
2017-06-01,59.4
2017-06-02,60.7
2017-06-05,58.75
2017-06-06,57.55
2017-06-07,58.0
2017-06-08,58.6
2017-06-09,58.1
2017-06-12,57.5
2017-06-13,56.7
2017-06-14,57.15
2017-06-15,56.9
2017-06-16,56.45
2017-06-19,56.6
2017-06-20,61.4
2017-06-21,61.6
2017-06-22,60.8
2017-06-23,62.45
2017-06-27,61.8
2017-06-28,61.85
2017-06-29,61.9
2017-06-30,60.95
2017-07-03,60.7
2017-07-04,61.0
2017-07-05,65.75
2017-07-06,64.0
2017-07-07,63.05
2017-07-10,62.7
2017-07-11,61.75
2017-07-12,64.05
2017-07-13,63.2
2017-07-14,64.1
2017-07-17,68.1
2017-07-18,65.9
2017-07-19,65.9
2017-07-20,66.8
2017-07-21,64.9
2017-07-24,63.1
2017-07-25,61.15
2017-07-26,61.25
2017-07-27,60.9
2017-07-28,60.8
2017-07-31,61.6
2017-08-01,60.25
2017-08-02,60.75
2017-08-03,59.7
2017-08-04,61.15
2017-08-07,70.75
2017-08-08,63.75
2017-08-09,61.75
2017-08-10,58.45
2017-08-11,56.05
2017-08-14,60.55
2017-08-16,60.45
2017-08-17,60.15
2017-08-18,59.0
2017-08-21,61.0
2017-08-22,59.65
2017-08-23,59.75
2017-08-24,60.5
2017-08-28,60.3
2017-08-29,59.55
2017-08-30,60.1
2017-08-31,59.6
2017-09-01,60.65
2017-09-04,59.45
2017-09-05,61.55
2017-09-06,62.8
2017-09-07,67.0
2017-09-08,71.05
2017-09-11,85.25
2017-09-12,82.9
2017-09-13,79.3
2017-09-14,81.05
2017-09-15,89.15
2017-09-18,98.05
2017-09-19,107.85
2017-09-20,102.5
2017-09-21,97.4
2017-09-22,92.55
2017-09-25,87.95
2017-09-26,90.2
2017-09-27,85.75
2017-11-14,69.3
2017-11-15,72.05
2017-11-16,70.95
2017-11-17,69.3
2017-11-20,71.35
2017-11-21,70.8
2017-11-22,69.6
2017-11-23,70.0
2017-11-24,69.15
2017-11-27,72.6
2017-11-28,75.75
2017-11-29,74.75
2017-11-30,73.05
2017-12-01,73.25
2017-12-04,71.3
2017-12-05,69.6
2017-12-06,68.7
2017-12-07,70.05
2017-12-08,70.75
2017-12-11,71.1
2017-12-12,70.55
2017-12-13,72.45
2017-12-14,71.45
2017-12-15,71.2
2017-12-18,69.95
2017-12-19,69.95
2017-12-20,72.55
2017-12-21,74.3
2017-12-22,71.05
2017-12-26,68.95
2017-12-27,68.7
2017-12-28,68.75
2017-12-29,68.7
