Date,SYNGENE
2017-01-02,566.95
2017-01-03,577.45
2017-01-04,581.6
2017-01-05,585.2
2017-01-06,582.55
2017-01-09,593.15
2017-01-10,593.55
2017-01-11,604.0
2017-01-12,607.95
2017-01-13,605.25
2017-01-16,600.75
2017-01-17,594.6
2017-01-18,592.75
2017-01-19,591.1
2017-01-20,579.25
2017-01-23,571.45
2017-01-24,563.1
2017-01-25,566.8
2017-01-27,562.5
2017-01-30,558.55
2017-01-31,546.05
2017-02-01,539.9
2017-02-02,539.6
2017-02-03,537.55
2017-02-06,530.0
2017-02-07,522.9
2017-02-08,517.5
2017-02-09,511.1
2017-02-10,509.0
2017-02-13,499.25
2017-02-14,485.4
2017-02-15,475.6
2017-02-16,494.7
2017-02-17,516.5
2017-02-20,518.75
2017-02-21,514.05
2017-02-22,514.0
2017-02-23,512.2
2017-02-27,502.7
2017-02-28,503.15
2017-03-01,499.45
2017-03-02,487.1
2017-03-03,493.45
2017-03-06,487.1
2017-03-07,493.3
2017-03-08,500.75
2017-03-09,512.8
2017-03-10,504.85
2017-03-14,495.4
2017-03-15,508.4
2017-03-16,523.75
2017-03-17,527.95
2017-03-20,538.15
2017-03-21,532.85
2017-03-22,525.9
2017-03-23,525.9
2017-03-24,522.55
2017-03-27,534.8
2017-03-28,526.3
2017-03-29,524.65
2017-03-30,526.7
2017-03-31,520.75
2017-04-03,520.6
2017-04-05,549.6
2017-04-06,544.75
2017-04-07,545.1
2017-04-10,536.1
2017-04-11,531.35
2017-04-12,521.7
2017-04-13,523.5
2017-04-17,521.25
2017-04-18,520.8
2017-04-19,531.25
2017-04-20,544.75
2017-04-21,531.95
2017-04-24,527.95
2017-04-25,545.7
2017-04-26,536.1
2017-04-27,532.65
2017-04-28,516.7
2017-05-02,498.85
2017-05-03,494.45
2017-05-04,487.35
2017-05-05,470.15
2017-05-08,468.5
2017-05-09,468.35
2017-05-10,462.75
2017-05-11,443.55
2017-05-12,448.75
2017-05-15,447.65
2017-05-16,491.65
2017-05-17,493.1
2017-05-18,493.65
2017-05-19,482.95
2017-05-22,481.85
2017-05-23,465.95
2017-05-24,450.85
2017-05-25,456.6
2017-05-26,463.1
2017-05-29,454.9
2017-05-30,457.85
2017-05-31,473.9
2017-06-01,486.75
2017-06-02,482.7
2017-06-05,481.55
2017-06-06,475.65
2017-06-07,470.3
2017-06-08,476.1
2017-06-09,472.4
2017-06-12,465.15
2017-06-13,464.95
2017-06-14,462.1
2017-06-15,457.8
2017-06-16,457.0
2017-06-19,455.7
2017-06-20,467.35
2017-06-21,462.6
2017-06-22,462.3
2017-06-23,458.95
2017-06-27,456.6
2017-06-28,458.0
2017-06-29,459.85
2017-06-30,470.45
2017-07-03,471.85
2017-07-04,477.55
2017-07-05,478.7
2017-07-06,473.15
2017-07-07,473.45
2017-07-10,468.85
2017-07-11,465.9
2017-07-12,479.45
2017-07-13,471.55
2017-07-14,498.95
2017-07-17,498.75
2017-07-18,485.75
2017-07-19,493.15
2017-07-20,485.0
2017-07-21,483.3
2017-07-24,477.75
2017-07-25,469.5
2017-07-26,483.85
2017-07-27,486.2
2017-07-28,483.8
2017-07-31,474.2
2017-08-01,464.85
2017-08-02,483.4
2017-08-03,469.35
2017-08-04,463.85
2017-08-07,470.65
2017-08-08,464.55
2017-08-09,451.65
2017-08-10,439.45
2017-08-11,449.35
2017-08-14,451.75
2017-08-16,453.95
2017-08-17,449.5
2017-08-18,452.85
2017-08-21,443.35
2017-08-22,441.8
2017-08-23,437.8
2017-08-24,445.0
2017-08-28,448.85
2017-08-29,448.4
2017-08-30,442.3
2017-08-31,445.7
2017-09-01,446.95
2017-09-04,446.75
2017-09-05,466.85
2017-09-06,463.4
2017-09-07,473.2
2017-09-08,481.7
2017-09-11,476.2
2017-09-12,470.8
2017-09-13,466.65
2017-09-14,476.15
2017-09-15,483.0
2017-09-18,494.55
2017-09-19,480.65
2017-09-20,474.45
2017-09-21,484.4
2017-09-22,490.35
2017-09-25,483.65
2017-09-26,500.25
2017-09-27,488.6
2017-09-28,492.75
2017-09-29,495.55
2017-10-03,489.05
2017-10-04,486.3
2017-10-05,482.5
2017-10-06,490.05
2017-10-09,488.4
2017-10-10,492.8
2017-10-11,489.5
2017-10-12,490.9
2017-10-13,492.85
2017-10-16,498.9
2017-10-17,493.95
2017-10-18,501.5
2017-10-19,505.1
2017-10-23,499.2
2017-10-24,500.0
2017-10-25,506.9
2017-10-26,511.1
2017-10-27,501.05
2017-10-30,507.4
2017-10-31,505.3
2017-11-01,505.35
2017-11-02,503.6
2017-11-03,505.4
2017-11-06,501.45
2017-11-07,502.6
2017-11-08,505.8
2017-11-09,503.85
2017-11-10,499.3
2017-11-13,495.55
2017-11-14,502.55
2017-11-15,508.4
2017-11-16,507.4
2017-11-17,516.0
2017-11-20,525.05
2017-11-21,516.3
2017-11-22,522.6
2017-11-23,524.4
2017-11-24,526.95
2017-11-27,519.15
2017-11-28,537.5
2017-11-29,552.85
2017-11-30,554.0
2017-12-01,550.15
2017-12-04,560.7
2017-12-05,550.2
2017-12-06,538.8
2017-12-07,537.35
2017-12-08,540.95
2017-12-11,537.45
2017-12-12,538.3
2017-12-13,535.0
2017-12-14,540.65
2017-12-15,538.85
2017-12-18,534.0
2017-12-19,537.45
2017-12-20,534.3
2017-12-21,537.25
2017-12-22,549.1
2017-12-26,549.05
2017-12-27,546.3
2017-12-28,546.0
2017-12-29,541.35
