Date,MAGNUM
2017-01-02,3.8
2017-01-03,4.0
2017-01-04,4.05
2017-01-05,4.0
2017-01-06,4.1
2017-01-09,3.95
2017-01-10,3.95
2017-01-11,4.1
2017-01-12,3.95
2017-01-13,3.9
2017-01-16,3.8
2017-01-17,4.0
2017-01-18,3.85
2017-01-19,3.9
2017-01-20,3.85
2017-01-23,3.7
2017-01-24,3.8
2017-01-25,4.15
2017-01-27,4.55
2017-01-30,4.45
2017-01-31,4.25
2017-02-01,4.3
2017-02-02,4.2
2017-02-03,4.0
2017-02-06,4.0
2017-02-07,4.05
2017-02-08,4.05
2017-02-09,4.05
2017-02-10,4.45
2017-02-13,4.35
2017-02-14,4.05
2017-02-15,4.15
2017-02-16,4.05
2017-02-17,4.2
2017-02-20,4.25
2017-02-21,4.05
2017-02-22,4.05
2017-02-23,4.0
2017-02-27,4.2
2017-02-28,4.1
2017-03-01,4.15
2017-03-02,4.1
2017-03-03,4.0
2017-03-06,3.95
2017-03-07,3.95
2017-03-08,3.95
2017-03-09,4.1
2017-03-10,4.1
2017-03-14,3.85
2017-03-15,3.85
2017-03-16,3.9
2017-03-17,3.75
2017-03-20,3.8
2017-03-21,3.75
2017-03-22,3.55
2017-03-23,4.25
2017-03-24,4.2
2017-03-27,3.9
2017-03-28,3.9
2017-03-29,4.05
2017-03-30,3.95
2017-03-31,3.95
2017-04-03,3.95
2017-04-05,3.95
2017-04-06,4.05
2017-04-07,4.0
2017-04-10,4.0
2017-04-11,3.95
2017-04-12,4.0
2017-04-13,3.9
2017-04-17,3.9
2017-04-18,3.85
2017-04-19,3.85
2017-04-20,3.9
2017-04-21,3.9
2017-04-24,3.85
2017-04-25,3.9
2017-04-26,3.85
2017-04-27,3.8
2017-04-28,3.75
2017-05-02,3.9
2017-05-03,3.9
2017-05-04,3.75
2017-05-05,3.7
2017-05-08,3.8
2017-05-09,3.85
2017-05-10,3.85
2017-05-11,3.7
2017-05-12,3.65
2017-05-15,3.65
2017-05-16,3.75
2017-05-17,3.75
2017-05-18,3.65
2017-05-19,3.65
2017-05-22,3.6
2017-05-23,3.5
2017-05-24,3.35
2017-05-25,3.4
2017-05-26,3.4
2017-05-29,3.4
2017-05-30,4.05
2017-05-31,4.85
2017-06-01,5.3
2017-06-02,5.8
2017-06-05,6.3
2017-06-06,6.6
2017-06-07,6.75
2017-06-08,7.05
2017-06-09,7.4
2017-06-12,7.75
2017-06-13,8.1
2017-06-14,8.5
2017-06-15,8.9
2017-06-16,9.3
2017-06-19,9.75
2017-06-20,10.2
2017-06-21,10.7
2017-06-22,11.2
2017-06-23,11.75
2017-06-27,12.3
2017-06-28,12.9
2017-06-29,13.5
2017-06-30,14.15
2017-07-03,14.85
2017-07-04,15.55
2017-07-05,16.3
2017-07-06,17.1
2017-07-07,17.95
2017-07-10,18.8
2017-07-11,19.7
2017-07-12,20.65
2017-07-13,21.65
2017-07-14,20.6
2017-07-17,19.6
2017-07-18,18.65
2017-07-19,17.75
2017-07-20,16.9
2017-07-21,16.1
2017-07-24,15.3
2017-07-25,14.55
2017-07-26,13.85
2017-07-27,13.2
2017-07-28,12.55
2017-07-31,11.95
2017-08-01,11.4
2017-08-02,10.85
2017-08-03,10.35
2017-08-04,10.05
2017-08-07,10.55
2017-08-08,11.05
2017-08-09,11.6
2017-08-10,11.45
2017-08-11,10.9
2017-08-14,11.4
2017-08-16,11.95
2017-08-17,12.5
2017-08-18,13.1
2017-08-21,13.75
2017-08-22,13.1
2017-08-23,12.45
2017-08-24,11.85
2017-08-28,11.3
2017-08-29,11.85
2017-08-30,12.4
2017-08-31,12.9
2017-09-01,12.3
2017-09-04,11.8
2017-09-05,12.05
2017-09-06,12.65
2017-09-07,13.15
2017-09-08,13.1
2017-09-11,13.35
2017-09-12,12.75
2017-09-13,12.2
2017-09-14,12.25
2017-09-15,11.8
2017-09-18,11.75
2017-09-19,11.85
2017-09-20,11.6
2017-09-21,11.65
2017-09-22,11.1
2017-09-25,11.5
2017-09-26,11.45
2017-09-27,11.8
2017-09-28,11.8
2017-09-29,11.6
2017-10-03,11.2
2017-10-04,11.75
2017-10-05,11.95
2017-10-06,12.05
2017-10-09,12.0
2017-10-10,11.8
2017-10-11,11.8
2017-10-12,11.9
2017-10-13,11.8
2017-10-16,12.05
2017-10-17,12.2
2017-10-18,12.25
2017-10-19,12.4
2017-10-23,12.25
2017-10-24,12.85
2017-10-25,12.9
2017-10-26,12.45
2017-10-27,12.65
2017-10-30,13.9
2017-10-31,15.25
2017-11-01,16.75
2017-11-02,15.95
2017-11-03,16.2
2017-11-06,16.4
2017-11-07,15.75
2017-11-08,15.0
2017-11-09,14.3
2017-11-10,14.55
2017-11-13,13.85
2017-11-14,13.2
2017-11-15,12.85
2017-11-16,13.2
2017-11-17,13.35
2017-11-20,14.0
2017-11-21,13.7
2017-11-22,13.5
2017-11-23,13.55
2017-11-24,13.35
2017-11-27,13.45
2017-11-28,13.4
2017-11-29,13.0
2017-11-30,12.75
2017-12-01,12.95
2017-12-04,13.0
2017-12-05,12.95
2017-12-06,12.75
2017-12-07,13.65
2017-12-08,14.1
2017-12-11,15.05
2017-12-12,15.5
2017-12-13,14.6
2017-12-14,14.45
2017-12-15,14.05
2017-12-18,14.65
2017-12-19,15.2
2017-12-20,15.7
2017-12-21,15.25
2017-12-22,14.9
2017-12-26,15.25
2017-12-27,15.1
2017-12-28,15.15
2017-12-29,14.85
