Date,ADVENZYMES
2017-01-02,1926.9
2017-01-03,1883.55
2017-01-04,1857.6
2017-01-05,1870.9
2017-01-06,1874.5
2017-01-09,1880.05
2017-01-10,1873.15
2017-01-11,1872.45
2017-01-12,1845.2
2017-01-13,1840.45
2017-01-16,1829.5
2017-01-17,1840.55
2017-01-18,1826.4
2017-01-19,1790.35
2017-01-20,1756.05
2017-01-23,1836.05
2017-01-24,1845.2
2017-01-25,1811.55
2017-01-27,1802.25
2017-01-30,1783.7
2017-01-31,1810.3
2017-02-01,1791.9
2017-02-02,1818.95
2017-02-03,1850.4
2017-02-06,1880.65
2017-02-07,1858.25
2017-02-08,1820.1
2017-02-09,1829.85
2017-02-10,1811.85
2017-02-13,1806.95
2017-02-14,1659.3
2017-02-15,1593.85
2017-02-16,1598.95
2017-02-17,1601.95
2017-02-20,1662.45
2017-02-21,1639.9
2017-02-22,1692.6
2017-02-23,1711.3
2017-02-27,1728.75
2017-02-28,1740.25
2017-03-01,1745.25
2017-03-02,1730.5
2017-03-03,1711.95
2017-03-06,1686.55
2017-03-07,1659.0
2017-03-08,1613.15
2017-03-09,1652.6
2017-03-10,1674.1
2017-03-14,1734.55
2017-03-15,1730.35
2017-03-16,1734.95
2017-03-17,1755.15
2017-03-20,2019.1
2017-03-21,1998.75
2017-03-22,2126.9
2017-03-23,2127.7
2017-03-24,2098.3
2017-03-27,2057.4
2017-03-28,2056.55
2017-03-29,2046.2
2017-03-30,2068.7
2017-03-31,2059.45
2017-04-03,2061.75
2017-04-05,2078.85
2017-04-06,2121.7
2017-04-07,2091.85
2017-04-10,2063.85
2017-04-11,2114.6
2017-04-12,2075.6
2017-04-13,2060.7
2017-04-17,2118.05
2017-04-18,2089.25
2017-04-19,2085.95
2017-04-20,2129.65
2017-04-21,2179.0
2017-04-24,2197.6
2017-04-25,2176.7
2017-04-26,2109.4
2017-04-27,2109.75
2017-04-28,2064.8
2017-05-02,2066.1
2017-05-03,2052.9
2017-05-04,2066.35
2017-05-05,2051.95
2017-05-08,2031.65
2017-05-09,1993.85
2017-05-10,1961.95
2017-05-11,1939.45
2017-05-12,1900.65
2017-05-15,1983.55
2017-05-16,1971.25
2017-05-17,1969.75
2017-05-18,1933.15
2017-05-19,1887.6
2017-05-22,1905.6
2017-05-23,1892.35
2017-05-24,1855.95
2017-05-25,402.25
2017-05-26,407.1
2017-05-29,380.85
2017-05-30,358.8
2017-05-31,372.35
2017-06-01,362.15
2017-06-02,362.4
2017-06-05,364.2
2017-06-06,363.35
2017-06-07,359.2
2017-06-08,362.2
2017-06-09,357.5
2017-06-12,350.0
2017-06-13,346.2
2017-06-14,338.75
2017-06-15,335.8
2017-06-16,338.35
2017-06-19,338.6
2017-06-20,338.9
2017-06-21,332.65
2017-06-22,336.6
2017-06-23,325.55
2017-06-27,316.75
2017-06-28,323.05
2017-06-29,326.4
2017-06-30,324.15
2017-07-03,329.3
2017-07-04,346.1
2017-07-05,347.25
2017-07-06,348.0
2017-07-07,351.3
2017-07-10,350.5
2017-07-11,351.15
2017-07-12,349.7
2017-07-13,354.6
2017-07-14,348.7
2017-07-17,346.55
2017-07-18,346.6
2017-07-19,351.4
2017-07-20,349.85
2017-07-21,342.45
2017-07-24,342.8
2017-07-25,335.0
2017-07-26,335.55
2017-07-27,333.45
2017-07-28,328.0
2017-07-31,314.0
2017-08-01,309.6
2017-08-02,309.55
2017-08-03,314.8
2017-08-04,315.75
2017-08-07,310.3
2017-08-08,308.65
2017-08-09,292.2
2017-08-10,283.1
2017-08-11,278.2
2017-08-14,291.3
2017-08-16,295.1
2017-08-17,296.9
2017-08-18,284.3
2017-08-21,285.9
2017-08-22,280.85
2017-08-23,288.85
2017-08-24,289.95
2017-08-28,290.8
2017-08-29,285.9
2017-08-30,287.25
2017-08-31,288.2
2017-09-01,303.65
2017-09-04,294.7
2017-09-05,300.25
2017-09-06,297.15
2017-09-07,295.2
2017-09-08,298.15
2017-09-11,294.05
2017-09-12,278.7
2017-09-13,272.05
2017-09-14,265.6
2017-09-15,271.45
2017-09-18,270.6
2017-09-19,271.15
2017-09-20,265.95
2017-09-21,261.8
2017-09-22,259.0
2017-09-25,251.35
2017-09-26,253.9
2017-09-27,249.95
2017-09-28,248.6
2017-09-29,252.0
2017-10-03,250.2
2017-10-04,262.95
2017-10-05,264.35
2017-10-06,269.45
2017-10-09,275.1
2017-10-10,273.8
2017-10-11,271.25
2017-10-12,268.9
2017-10-13,268.8
2017-10-16,265.6
2017-10-17,265.75
2017-10-18,261.4
2017-10-19,265.5
2017-10-23,261.7
2017-10-24,263.35
2017-10-25,263.65
