Date,ESSARSHPNG
2017-01-02,27.8
2017-01-03,27.65
2017-01-04,28.3
2017-01-05,28.45
2017-01-06,28.55
2017-01-09,28.35
2017-01-10,27.95
2017-01-11,28.05
2017-01-12,28.15
2017-01-13,28.05
2017-01-16,28.0
2017-01-17,27.9
2017-01-18,27.75
2017-01-19,28.0
2017-01-20,27.75
2017-01-23,27.9
2017-01-24,28.0
2017-01-25,27.85
2017-01-27,28.25
2017-01-30,28.05
2017-01-31,27.7
2017-02-01,28.0
2017-02-02,27.75
2017-02-03,27.85
2017-02-06,27.9
2017-02-07,27.75
2017-02-08,27.55
2017-02-09,27.6
2017-02-10,27.4
2017-02-13,27.15
2017-02-14,26.95
2017-02-15,26.7
2017-02-16,27.0
2017-02-17,27.6
2017-02-20,27.05
2017-02-21,27.2
2017-02-22,27.25
2017-02-23,26.95
2017-02-27,27.15
2017-02-28,27.2
2017-03-01,27.05
2017-03-02,31.0
2017-03-03,29.2
2017-03-06,28.2
2017-03-07,28.65
2017-03-08,28.1
2017-03-09,28.0
2017-03-10,29.0
2017-03-14,28.25
2017-03-15,27.8
2017-03-16,27.85
2017-03-17,27.9
2017-03-20,28.0
2017-03-21,27.9
2017-03-22,27.5
2017-03-23,27.9
2017-03-24,27.95
2017-03-27,27.75
2017-03-28,28.25
2017-03-29,27.55
2017-03-30,27.6
2017-03-31,28.0
2017-04-03,28.1
2017-04-05,29.95
2017-04-06,29.8
2017-04-07,29.55
2017-04-10,30.5
2017-04-11,29.15
2017-04-12,29.15
2017-04-13,30.65
2017-04-17,30.65
2017-04-18,30.6
2017-04-19,31.15
2017-04-20,30.95
2017-04-21,31.85
2017-04-24,30.65
2017-04-25,32.8
2017-04-26,31.95
2017-04-27,31.15
2017-04-28,32.05
2017-05-02,31.8
2017-05-03,31.35
2017-05-04,31.05
2017-05-05,30.05
2017-05-08,30.2
2017-05-09,30.1
2017-05-10,30.3
2017-05-11,30.0
2017-05-12,30.35
2017-05-15,30.15
2017-05-16,29.7
2017-05-17,30.4
2017-05-18,29.75
2017-05-19,29.65
2017-05-22,29.6
2017-05-23,29.25
2017-05-24,29.45
2017-05-25,29.4
2017-05-26,30.55
2017-05-29,29.55
2017-05-30,29.5
2017-05-31,29.3
2017-06-01,29.3
2017-06-02,29.3
2017-06-05,29.35
2017-06-06,29.5
2017-06-07,29.5
2017-06-08,29.65
2017-06-09,29.5
2017-06-12,29.15
2017-06-13,29.4
2017-06-14,29.45
2017-06-15,30.1
2017-06-16,29.85
2017-06-19,29.25
2017-06-20,29.15
2017-06-21,29.15
2017-06-22,29.65
2017-06-23,30.0
2017-06-27,29.35
2017-06-28,29.0
2017-06-29,29.2
2017-06-30,29.2
2017-07-03,29.15
2017-07-04,29.05
2017-07-05,29.45
2017-07-06,29.15
2017-07-07,29.2
2017-07-10,28.75
2017-07-11,28.85
2017-07-12,28.55
2017-07-13,29.25
2017-07-14,28.75
2017-07-17,28.2
2017-07-18,27.7
2017-07-19,27.9
2017-07-20,28.0
2017-07-21,27.55
2017-07-24,27.5
2017-07-25,27.35
2017-07-26,27.5
2017-07-27,27.3
2017-07-28,28.85
2017-07-31,28.2
2017-08-01,27.55
2017-08-02,27.25
2017-08-03,27.3
2017-08-04,27.2
2017-08-07,27.05
2017-08-08,26.55
2017-08-09,25.7
2017-08-10,25.0
2017-08-11,24.2
2017-08-14,24.15
2017-08-16,26.3
2017-08-17,26.35
2017-08-18,25.65
2017-08-21,29.0
2017-08-22,27.0
2017-08-23,25.95
2017-08-24,25.55
2017-08-28,30.65
2017-08-29,29.4
2017-08-30,29.75
2017-08-31,28.85
2017-09-01,28.35
2017-09-04,28.0
2017-09-05,27.65
2017-09-06,27.5
2017-09-07,27.55
2017-09-08,27.55
2017-09-11,27.25
2017-09-12,27.3
2017-09-13,27.4
2017-09-14,28.0
2017-09-15,28.65
2017-09-18,27.95
2017-09-19,27.5
2017-09-20,27.55
2017-09-21,27.45
2017-09-22,26.95
2017-09-25,26.75
2017-09-26,26.9
2017-09-27,26.2
2017-09-28,26.15
2017-09-29,26.15
2017-10-03,26.25
2017-10-04,26.2
2017-10-05,26.15
2017-10-06,26.4
2017-10-09,26.15
2017-10-10,26.3
2017-10-11,25.75
2017-10-12,25.55
2017-10-13,26.15
2017-10-16,25.5
2017-10-17,25.65
2017-10-18,26.3
2017-10-19,28.0
2017-10-23,28.3
2017-10-24,28.9
2017-10-25,28.4
2017-10-26,27.65
2017-10-27,27.75
2017-10-30,27.4
2017-10-31,27.7
2017-11-01,27.45
2017-11-02,27.95
2017-11-03,28.35
2017-11-06,29.25
2017-11-07,28.2
2017-11-08,27.55
2017-11-09,27.35
2017-11-10,27.3
2017-11-13,27.2
2017-11-14,27.0
2017-11-15,26.25
2017-11-16,26.85
2017-11-17,26.6
2017-11-20,26.85
2017-11-21,27.35
2017-11-22,27.0
2017-11-23,27.05
2017-11-24,27.45
2017-11-27,27.05
2017-11-28,27.0
2017-11-29,26.85
2017-11-30,26.95
2017-12-01,26.8
2017-12-04,27.05
2017-12-05,27.35
2017-12-06,26.8
2017-12-07,26.8
2017-12-08,26.75
2017-12-11,26.8
2017-12-12,26.7
2017-12-13,26.0
2017-12-14,26.2
2017-12-15,26.55
2017-12-18,26.45
2017-12-19,27.55
2017-12-20,27.6
2017-12-21,28.4
2017-12-22,28.25
2017-12-26,33.9
2017-12-27,31.9
2017-12-28,33.95
2017-12-29,32.8
