Date,KPIT
2017-01-02,135.5
2017-01-03,135.55
2017-01-04,137.15
2017-01-05,137.6
2017-01-06,134.7
2017-01-09,137.55
2017-01-10,138.65
2017-01-11,138.55
2017-01-12,139.65
2017-01-13,142.05
2017-01-16,143.1
2017-01-17,143.5
2017-01-18,145.4
2017-01-19,138.6
2017-01-20,137.1
2017-01-23,136.5
2017-01-24,135.75
2017-01-25,134.35
2017-01-27,136.3
2017-01-30,135.5
2017-01-31,130.15
2017-02-01,130.6
2017-02-02,133.45
2017-02-03,132.55
2017-02-06,132.2
2017-02-07,132.45
2017-02-08,133.5
2017-02-09,133.5
2017-02-10,134.6
2017-02-13,133.3
2017-02-14,132.3
2017-02-15,130.3
2017-02-16,131.75
2017-02-17,131.65
2017-02-20,132.8
2017-02-21,134.85
2017-02-22,133.45
2017-02-23,138.15
2017-02-27,139.25
2017-02-28,137.95
2017-03-01,138.4
2017-03-02,134.7
2017-03-03,135.0
2017-03-06,134.5
2017-03-07,135.45
2017-03-08,132.95
2017-03-09,132.6
2017-03-10,132.7
2017-03-14,132.5
2017-03-15,131.65
2017-03-16,133.25
2017-03-17,135.25
2017-03-20,134.4
2017-03-21,133.75
2017-03-22,131.55
2017-03-23,131.65
2017-03-24,131.85
2017-03-27,129.95
2017-03-28,130.9
2017-03-29,130.85
2017-03-30,130.65
2017-03-31,129.7
2017-04-03,130.0
2017-04-05,130.2
2017-04-06,130.2
2017-04-07,130.15
2017-04-10,129.05
2017-04-11,128.4
2017-04-12,131.05
2017-04-13,129.1
2017-04-17,128.6
2017-04-18,128.5
2017-04-19,127.5
2017-04-20,127.35
2017-04-21,131.3
2017-04-24,131.2
2017-04-25,130.95
2017-04-26,129.2
2017-04-27,128.5
2017-04-28,128.4
2017-05-02,132.6
2017-05-03,131.75
2017-05-04,130.2
2017-05-05,128.4
2017-05-08,128.6
2017-05-09,128.85
2017-05-10,129.2
2017-05-11,128.8
2017-05-12,128.45
2017-05-15,129.0
2017-05-16,130.65
2017-05-17,128.6
2017-05-18,127.95
2017-05-19,126.3
2017-05-22,122.3
2017-05-23,115.75
2017-05-24,112.0
2017-05-25,117.55
2017-05-26,118.9
2017-05-29,115.4
2017-05-30,113.8
2017-05-31,115.45
2017-06-01,117.0
2017-06-02,116.75
2017-06-05,111.6
2017-06-06,107.85
2017-06-07,111.4
2017-06-08,115.7
2017-06-09,118.2
2017-06-12,116.25
2017-06-13,121.65
2017-06-14,124.05
2017-06-15,124.25
2017-06-16,124.7
2017-06-19,123.9
2017-06-20,124.8
2017-06-21,123.5
2017-06-22,121.35
2017-06-23,120.05
2017-06-27,122.15
2017-06-28,122.95
2017-06-29,124.15
2017-06-30,122.75
2017-07-03,127.25
2017-07-04,124.75
2017-07-05,128.65
2017-07-06,129.25
2017-07-07,133.45
2017-07-10,132.6
2017-07-11,134.65
2017-07-12,134.35
2017-07-13,135.1
2017-07-14,136.3
2017-07-17,136.2
2017-07-18,129.55
2017-07-19,133.9
2017-07-20,129.55
2017-07-21,126.25
2017-07-24,123.2
2017-07-25,123.8
2017-07-26,127.3
2017-07-27,125.15
2017-07-28,127.0
2017-07-31,127.95
2017-08-01,129.2
2017-08-02,128.15
2017-08-03,126.1
2017-08-04,124.1
2017-08-07,123.3
2017-08-08,120.7
2017-08-09,116.1
2017-08-10,108.75
2017-08-11,109.8
2017-08-14,111.65
2017-08-16,112.7
2017-08-17,115.1
2017-08-18,113.45
2017-08-21,110.9
2017-08-22,110.0
2017-08-23,113.7
2017-08-24,114.9
2017-08-28,118.1
2017-08-29,116.15
2017-08-30,117.45
2017-08-31,116.55
2017-09-01,119.4
2017-09-04,117.25
2017-09-05,116.8
2017-09-06,115.85
2017-09-07,115.75
2017-09-08,112.65
2017-09-11,114.1
2017-09-12,121.85
2017-09-13,122.05
2017-09-14,121.3
2017-09-15,119.85
2017-09-18,122.9
2017-09-19,121.5
2017-09-20,123.75
2017-09-21,123.1
2017-09-22,118.55
2017-09-25,116.3
2017-09-26,120.1
2017-09-27,119.05
2017-09-28,120.9
2017-09-29,120.95
2017-10-03,122.85
2017-10-04,123.15
2017-10-05,128.95
2017-10-06,128.0
2017-10-09,131.85
2017-10-10,131.65
2017-10-11,127.5
2017-10-12,130.45
2017-10-13,128.25
2017-10-16,128.65
2017-10-17,129.25
2017-10-18,127.9
2017-10-19,126.45
2017-10-23,127.0
2017-10-24,131.45
2017-10-25,135.2
2017-10-26,137.4
2017-10-27,135.35
2017-10-30,139.75
2017-10-31,148.25
2017-11-01,145.95
2017-11-02,148.65
2017-11-03,152.4
2017-11-06,156.5
2017-11-07,157.8
2017-11-08,158.45
2017-11-09,159.3
2017-11-10,160.85
2017-11-13,161.4
2017-11-14,162.95
2017-11-15,160.75
2017-11-16,168.55
2017-11-17,166.35
2017-11-20,167.55
2017-11-21,172.5
2017-11-22,171.85
2017-11-23,178.4
2017-11-24,175.7
2017-11-27,176.9
2017-11-28,178.25
2017-11-29,172.55
2017-11-30,170.65
2017-12-01,160.55
2017-12-04,157.85
2017-12-05,154.65
2017-12-06,161.7
2017-12-07,167.5
2017-12-08,166.75
2017-12-11,172.4
2017-12-12,169.75
2017-12-13,170.1
2017-12-14,169.45
2017-12-15,167.55
2017-12-18,169.5
2017-12-19,176.65
2017-12-20,171.9
2017-12-21,174.2
2017-12-22,172.9
2017-12-26,170.9
2017-12-27,172.05
2017-12-28,173.45
2017-12-29,180.75
