Date,OMAXAUTO
2017-01-02,76.25
2017-01-03,79.8
2017-01-04,79.95
2017-01-05,78.55
2017-01-06,77.9
2017-01-09,78.0
2017-01-10,78.9
2017-01-11,80.3
2017-01-12,79.25
2017-01-13,79.05
2017-01-16,78.5
2017-01-17,77.3
2017-01-18,76.8
2017-01-19,76.35
2017-01-20,75.55
2017-01-23,76.4
2017-01-24,76.95
2017-01-25,77.5
2017-01-27,77.95
2017-01-30,78.2
2017-01-31,74.25
2017-02-01,73.9
2017-02-02,72.5
2017-02-03,72.35
2017-02-06,74.2
2017-02-07,72.45
2017-02-08,72.6
2017-02-09,72.55
2017-02-10,73.4
2017-02-13,73.15
2017-02-14,72.15
2017-02-15,70.15
2017-02-16,73.8
2017-02-17,73.15
2017-02-20,72.1
2017-02-21,72.85
2017-02-22,72.85
2017-02-23,72.5
2017-02-27,73.05
2017-02-28,71.6
2017-03-01,74.9
2017-03-02,73.55
2017-03-03,75.55
2017-03-06,76.75
2017-03-07,76.7
2017-03-08,74.05
2017-03-09,75.65
2017-03-10,74.3
2017-03-14,75.55
2017-03-15,77.5
2017-03-16,77.55
2017-03-17,78.85
2017-03-20,78.5
2017-03-21,78.0
2017-03-22,76.35
2017-03-23,76.9
2017-03-24,76.55
2017-03-27,76.05
2017-03-28,77.85
2017-03-29,75.95
2017-03-30,76.1
2017-03-31,78.15
2017-04-03,78.95
2017-04-05,79.6
2017-04-06,79.25
2017-04-07,79.45
2017-04-10,79.0
2017-04-11,80.0
2017-04-12,80.45
2017-04-13,87.95
2017-04-17,92.3
2017-04-18,87.2
2017-04-19,82.75
2017-04-20,85.45
2017-04-21,85.15
2017-04-24,85.4
2017-04-25,83.8
2017-04-26,83.45
2017-04-27,88.05
2017-04-28,85.65
2017-05-02,83.85
2017-05-03,85.45
2017-05-04,83.8
2017-05-05,83.0
2017-05-08,83.7
2017-05-09,83.1
2017-05-10,83.75
2017-05-11,83.55
2017-05-12,82.65
2017-05-15,82.9
2017-05-16,83.45
2017-05-17,83.0
2017-05-18,82.1
2017-05-19,80.85
2017-05-22,79.35
2017-05-23,76.8
2017-05-24,72.75
2017-05-25,75.9
2017-05-26,77.55
2017-05-29,76.6
2017-05-30,75.25
2017-05-31,75.55
2017-06-01,76.25
2017-06-02,77.4
2017-06-05,74.65
2017-06-06,72.95
2017-06-07,73.55
2017-06-08,74.4
2017-06-09,73.85
2017-06-12,74.95
2017-06-13,75.3
2017-06-14,74.0
2017-06-15,74.05
2017-06-16,79.5
2017-06-19,79.05
2017-06-20,79.75
2017-06-21,77.3
2017-06-22,76.95
2017-06-23,75.2
2017-06-27,72.7
2017-06-28,71.95
2017-06-29,72.0
2017-06-30,71.75
2017-07-03,73.7
2017-07-04,75.3
2017-07-05,74.65
2017-07-06,73.1
2017-07-07,78.95
2017-07-10,78.65
2017-07-11,76.55
2017-07-12,80.35
2017-07-13,83.9
2017-07-14,79.65
2017-07-17,79.0
2017-07-18,78.6
2017-07-19,80.15
2017-07-20,79.55
2017-07-21,80.2
2017-07-24,80.4
2017-07-25,79.15
2017-07-26,79.35
2017-07-27,77.25
2017-07-28,77.7
2017-07-31,76.75
2017-08-01,75.8
2017-08-02,76.7
2017-08-03,75.4
2017-08-04,74.7
2017-08-07,77.7
2017-08-08,70.85
2017-08-09,67.95
2017-08-10,67.55
2017-08-11,65.05
2017-08-14,67.9
2017-08-16,69.95
2017-08-17,69.4
2017-08-18,68.5
2017-08-21,67.0
2017-08-22,66.65
2017-08-23,64.45
2017-08-24,67.1
2017-08-28,66.6
2017-08-29,67.5
2017-08-30,70.6
2017-08-31,70.95
2017-09-01,70.45
2017-09-04,71.15
2017-09-05,71.2
2017-09-06,72.7
2017-09-07,73.4
2017-09-08,70.9
2017-09-11,67.15
2017-09-12,70.95
2017-09-13,72.15
2017-09-14,69.1
2017-09-15,68.7
2017-09-18,68.3
2017-09-19,69.05
2017-09-20,68.25
2017-09-21,67.1
2017-09-22,64.95
2017-09-25,63.25
2017-09-26,64.0
2017-09-27,63.15
2017-09-28,63.35
2017-09-29,63.75
2017-10-03,63.75
2017-10-04,65.05
2017-10-05,66.0
2017-10-06,70.25
2017-10-09,69.7
2017-10-10,68.45
2017-10-11,66.3
2017-10-12,68.65
2017-10-13,70.8
2017-10-16,69.0
2017-10-17,68.1
2017-10-18,69.4
2017-10-19,69.7
2017-10-23,68.65
2017-10-24,68.65
2017-10-25,69.1
2017-10-26,68.35
2017-10-27,67.65
2017-10-30,68.3
2017-10-31,69.3
2017-11-01,69.95
2017-11-02,68.6
2017-11-03,70.4
2017-11-06,74.85
2017-11-07,71.15
2017-11-08,69.1
2017-11-09,70.0
2017-11-10,69.9
2017-11-13,68.8
2017-11-14,68.25
2017-11-15,65.8
2017-11-16,66.65
2017-11-17,67.2
2017-11-20,67.4
2017-11-21,69.3
2017-11-22,68.75
2017-11-23,70.0
2017-11-24,69.95
2017-11-27,71.3
2017-11-28,70.95
2017-11-29,70.8
2017-11-30,70.0
2017-12-01,72.2
2017-12-04,70.75
2017-12-05,69.3
2017-12-06,69.6
2017-12-07,70.0
2017-12-08,69.95
2017-12-11,77.7
2017-12-12,82.2
2017-12-13,79.0
2017-12-14,77.2
2017-12-15,77.4
2017-12-18,75.8
2017-12-19,81.2
2017-12-20,82.85
2017-12-21,83.75
2017-12-22,85.7
2017-12-26,89.45
2017-12-27,103.3
2017-12-28,99.15
2017-12-29,97.2
