Date,IDFC
2017-01-02,54.25
2017-01-03,54.5
2017-01-04,55.0
2017-01-05,57.1
2017-01-06,56.85
2017-01-09,55.75
2017-01-10,55.0
2017-01-11,57.1
2017-01-12,57.6
2017-01-13,56.85
2017-01-16,58.35
2017-01-17,58.9
2017-01-18,59.1
2017-01-19,58.9
2017-01-20,57.5
2017-01-23,57.45
2017-01-24,58.65
2017-01-25,59.2
2017-01-27,57.3
2017-01-30,56.6
2017-01-31,55.0
2017-02-01,55.0
2017-02-02,54.2
2017-02-03,54.85
2017-02-06,55.5
2017-02-07,57.1
2017-02-08,57.3
2017-02-09,56.8
2017-02-10,56.4
2017-02-13,55.45
2017-02-14,54.9
2017-02-15,52.3
2017-02-16,52.55
2017-02-17,53.3
2017-02-20,53.7
2017-02-21,54.1
2017-02-22,53.3
2017-02-23,52.85
2017-02-27,52.75
2017-02-28,53.25
2017-03-01,53.5
2017-03-02,51.25
2017-03-03,51.15
2017-03-06,52.45
2017-03-07,52.05
2017-03-08,51.6
2017-03-09,51.95
2017-03-10,51.85
2017-03-14,52.65
2017-03-15,53.8
2017-03-16,54.9
2017-03-17,55.5
2017-03-20,55.45
2017-03-21,54.65
2017-03-22,53.25
2017-03-23,53.25
2017-03-24,54.55
2017-03-27,54.5
2017-03-28,54.35
2017-03-29,54.5
2017-03-30,54.5
2017-03-31,54.5
2017-04-03,54.5
2017-04-05,54.65
2017-04-06,56.6
2017-04-07,57.35
2017-04-10,58.65
2017-04-11,59.0
2017-04-12,58.0
2017-04-13,58.0
2017-04-17,58.05
2017-04-18,58.0
2017-04-19,57.55
2017-04-20,57.15
2017-04-21,57.4
2017-04-24,57.65
2017-04-25,58.0
2017-04-26,58.45
2017-04-27,61.2
2017-04-28,61.7
2017-05-02,60.9
2017-05-03,60.6
2017-05-04,62.55
2017-05-05,62.1
2017-05-08,63.25
2017-05-09,64.4
2017-05-10,64.25
2017-05-11,64.0
2017-05-12,63.35
2017-05-15,63.7
2017-05-16,64.25
2017-05-17,63.35
2017-05-18,61.5
2017-05-19,61.15
2017-05-22,60.2
2017-05-23,58.25
2017-05-24,56.9
2017-05-25,57.6
2017-05-26,59.25
2017-05-29,58.35
2017-05-30,59.15
2017-05-31,59.05
2017-06-01,59.15
2017-06-02,59.4
2017-06-05,59.0
2017-06-06,58.7
2017-06-07,58.7
2017-06-08,57.65
2017-06-09,57.65
2017-06-12,56.4
2017-06-13,56.5
2017-06-14,56.5
2017-06-15,56.6
2017-06-16,57.05
2017-06-19,57.05
2017-06-20,57.95
2017-06-21,57.4
2017-06-22,57.7
2017-06-23,56.2
2017-06-27,54.95
2017-06-28,55.6
2017-06-29,55.15
2017-06-30,55.25
2017-07-03,54.2
2017-07-04,54.9
2017-07-05,60.45
2017-07-06,60.65
2017-07-07,59.95
2017-07-10,56.5
2017-07-11,56.0
2017-07-12,57.3
2017-07-13,56.5
2017-07-14,56.15
2017-07-17,56.1
2017-07-18,57.3
2017-07-19,59.4
2017-07-20,59.1
2017-07-21,58.3
2017-07-24,58.95
2017-07-25,58.65
2017-07-26,58.35
2017-07-27,57.6
2017-07-28,59.55
2017-07-31,58.75
2017-08-01,58.7
2017-08-02,58.2
2017-08-03,56.95
2017-08-04,57.55
2017-08-07,58.55
2017-08-08,56.9
2017-08-09,56.4
2017-08-10,54.65
2017-08-11,53.6
2017-08-14,54.7
2017-08-16,56.75
2017-08-17,56.45
2017-08-18,55.85
2017-08-21,54.3
2017-08-22,53.85
2017-08-23,54.85
2017-08-24,54.6
2017-08-28,55.0
2017-08-29,54.05
2017-08-30,54.6
2017-08-31,54.45
2017-09-01,57.9
2017-09-04,58.4
2017-09-05,59.2
2017-09-06,60.25
2017-09-07,60.2
2017-09-08,58.95
2017-09-11,58.95
2017-09-12,58.7
2017-09-13,58.75
2017-09-14,61.4
2017-09-15,62.1
2017-09-18,62.3
2017-09-19,62.1
2017-09-20,62.5
2017-09-21,61.55
2017-09-22,60.05
2017-09-25,59.85
2017-09-26,60.25
2017-09-27,58.35
2017-09-28,59.3
2017-09-29,59.0
2017-10-03,59.0
2017-10-04,59.25
2017-10-05,59.1
2017-10-06,59.7
2017-10-09,64.5
2017-10-10,64.1
2017-10-11,63.9
2017-10-12,66.55
2017-10-13,66.2
2017-10-16,65.45
2017-10-17,64.95
2017-10-18,63.3
2017-10-19,63.6
2017-10-23,63.75
2017-10-24,63.65
2017-10-25,63.4
2017-10-26,66.3
2017-10-27,63.2
2017-10-30,61.8
2017-10-31,62.95
2017-11-01,64.65
2017-11-02,63.8
2017-11-03,63.05
2017-11-06,62.3
2017-11-07,60.75
2017-11-08,59.35
2017-11-09,60.6
2017-11-10,62.45
2017-11-13,62.6
2017-11-14,61.55
2017-11-15,60.3
2017-11-16,60.7
2017-11-17,61.1
2017-11-20,61.7
2017-11-21,61.05
2017-11-22,60.65
2017-11-23,60.8
2017-11-24,61.0
2017-11-27,63.4
2017-11-28,62.55
2017-11-29,61.95
2017-11-30,62.35
2017-12-01,60.9
2017-12-04,59.65
2017-12-05,59.7
2017-12-06,58.9
2017-12-07,59.35
2017-12-08,59.8
2017-12-11,59.75
2017-12-12,58.75
2017-12-13,57.8
2017-12-14,57.3
2017-12-15,57.95
2017-12-18,58.3
2017-12-19,58.5
2017-12-20,58.5
2017-12-21,60.15
2017-12-22,60.95
2017-12-26,60.45
2017-12-27,61.85
2017-12-28,62.8
2017-12-29,62.9
