Date,KRIDHANINF
2017-01-02,55.45
2017-01-03,56.15
2017-01-04,56.6
2017-01-05,60.95
2017-01-06,62.8
2017-01-09,58.85
2017-01-10,61.4
2017-01-11,61.95
2017-01-12,59.25
2017-01-13,59.75
2017-01-16,60.3
2017-01-17,61.45
2017-01-18,57.75
2017-01-19,61.4
2017-01-20,58.8
2017-01-23,59.0
2017-01-24,57.4
2017-01-25,58.05
2017-01-27,58.6
2017-01-30,57.9
2017-01-31,57.3
2017-02-01,58.2
2017-02-02,58.5
2017-02-03,57.65
2017-02-06,54.4
2017-02-07,55.85
2017-02-08,55.7
2017-02-09,57.9
2017-02-10,57.65
2017-02-13,57.9
2017-02-14,57.8
2017-02-15,56.35
2017-02-16,55.9
2017-02-17,55.55
2017-02-20,55.25
2017-02-21,55.0
2017-02-22,54.3
2017-02-23,55.65
2017-02-27,56.05
2017-02-28,54.85
2017-03-01,53.7
2017-03-02,53.55
2017-03-03,52.4
2017-03-06,51.65
2017-03-07,51.7
2017-03-08,51.0
2017-03-09,54.3
2017-03-10,55.25
2017-03-14,50.95
2017-03-15,52.8
2017-03-16,53.65
2017-03-17,54.3
2017-03-20,53.45
2017-03-21,50.2
2017-03-22,49.1
2017-03-23,48.75
2017-03-24,48.05
2017-03-27,48.35
2017-03-28,53.0
2017-03-29,51.9
2017-03-30,51.0
2017-03-31,51.25
2017-04-03,60.0
2017-04-05,68.05
2017-04-06,66.25
2017-04-07,66.1
2017-04-10,68.35
2017-04-11,67.75
2017-04-12,65.35
2017-05-30,65.65
2017-05-31,66.05
2017-06-01,64.8
2017-06-02,67.95
2017-06-05,70.9
2017-06-06,73.6
2017-06-07,77.25
2017-06-08,75.75
2017-06-09,73.9
2017-06-12,75.0
2017-06-13,75.5
2017-06-14,75.0
2017-06-15,75.85
2017-06-16,72.6
2017-06-19,74.95
2017-06-20,75.55
2017-06-21,75.8
2017-06-22,72.85
2017-06-23,71.3
2017-06-27,69.45
2017-06-28,69.8
2017-06-29,70.85
2017-06-30,70.45
2017-07-03,73.95
2017-07-04,77.45
2017-07-05,76.75
2017-07-06,76.9
2017-07-07,75.4
2017-07-10,76.35
2017-07-11,75.25
2017-07-12,79.0
2017-07-13,82.95
2017-07-14,82.7
2017-07-17,83.3
2017-07-18,80.95
2017-07-19,81.45
2017-07-20,77.85
2017-07-21,78.85
2017-07-24,82.5
2017-07-25,80.95
2017-07-26,82.35
2017-07-27,79.05
2017-07-28,78.8
2017-07-31,78.5
2017-08-01,78.45
2017-08-02,78.7
2017-08-03,82.4
2017-08-04,86.5
2017-08-07,93.25
2017-08-08,88.95
2017-08-09,85.05
2017-08-10,79.2
2017-08-11,80.3
2017-08-14,82.75
2017-08-16,83.7
2017-08-17,85.2
2017-08-18,83.35
2017-08-21,83.25
2017-08-22,81.4
2017-08-23,82.65
2017-08-24,85.3
2017-08-28,84.95
2017-08-29,83.9
2017-08-30,89.55
2017-08-31,95.05
2017-09-01,90.15
2017-09-04,86.45
2017-09-05,89.6
2017-09-06,90.65
2017-09-07,93.6
2017-09-08,90.75
2017-09-11,90.7
2017-09-12,91.4
2017-09-13,89.5
2017-09-14,89.15
2017-09-15,87.15
2017-09-18,87.85
2017-09-19,89.0
2017-09-20,88.6
2017-09-21,86.65
2017-09-22,83.4
2017-09-25,79.75
2017-09-26,82.1
2017-09-27,79.75
2017-09-28,79.45
2017-09-29,82.2
2017-10-03,81.75
2017-10-04,85.7
2017-10-05,84.05
2017-10-06,84.85
2017-10-09,84.7
2017-10-10,85.25
2017-10-11,82.9
2017-10-12,85.5
2017-10-13,84.5
2017-10-16,90.65
2017-10-17,95.5
2017-10-18,99.1
2017-10-19,100.75
2017-10-23,100.4
2017-10-24,97.9
2017-10-25,98.2
2017-10-26,98.2
2017-10-27,103.95
2017-10-30,105.95
2017-10-31,104.65
2017-11-01,103.35
2017-11-02,102.35
2017-11-03,101.35
2017-11-06,99.7
2017-11-07,97.85
2017-11-08,94.45
2017-11-09,95.9
2017-11-10,97.75
2017-11-13,97.05
2017-11-14,96.5
2017-11-15,93.3
2017-11-16,92.35
2017-11-17,94.1
2017-11-20,95.85
2017-11-21,96.55
2017-11-22,96.3
2017-11-23,95.95
2017-11-24,95.0
2017-11-27,102.05
2017-11-28,98.8
2017-11-29,99.1
2017-11-30,99.95
2017-12-01,96.55
2017-12-04,96.8
2017-12-05,97.2
2017-12-06,93.95
2017-12-07,94.5
2017-12-08,101.0
2017-12-11,97.95
2017-12-12,99.65
2017-12-13,103.5
2017-12-14,98.6
2017-12-15,101.45
2017-12-18,100.35
2017-12-19,117.7
2017-12-20,122.7
2017-12-21,121.55
2017-12-22,118.9
2017-12-26,125.75
2017-12-27,122.25
2017-12-28,121.2
2017-12-29,120.85
