Date,JMFINANCIL
2017-01-02,67.7
2017-01-03,68.45
2017-01-04,70.1
2017-01-05,70.05
2017-01-06,69.55
2017-01-09,69.7
2017-01-10,69.4
2017-01-11,71.4
2017-01-12,71.6
2017-01-13,70.75
2017-01-16,71.15
2017-01-17,73.7
2017-01-18,73.05
2017-01-19,73.3
2017-01-20,70.85
2017-01-23,72.6
2017-01-24,71.4
2017-01-25,72.2
2017-01-27,71.9
2017-01-30,70.55
2017-01-31,68.6
2017-02-01,74.85
2017-02-02,75.35
2017-02-03,75.35
2017-02-06,75.5
2017-02-07,75.35
2017-02-08,75.6
2017-02-09,74.7
2017-02-10,75.5
2017-02-13,76.1
2017-02-14,78.15
2017-02-15,77.0
2017-02-16,81.5
2017-02-17,82.7
2017-02-20,84.65
2017-02-21,85.85
2017-02-22,84.75
2017-02-23,84.25
2017-02-27,85.45
2017-02-28,84.85
2017-03-01,84.3
2017-03-02,82.8
2017-03-03,81.85
2017-03-06,82.4
2017-03-07,81.7
2017-03-08,80.1
2017-03-09,80.7
2017-03-10,79.95
2017-03-14,83.35
2017-03-15,85.05
2017-03-16,85.95
2017-03-17,84.55
2017-03-20,81.95
2017-03-21,80.6
2017-03-22,79.85
2017-03-23,81.95
2017-03-24,82.6
2017-03-27,80.6
2017-03-28,83.9
2017-03-29,89.3
2017-03-30,89.8
2017-03-31,88.6
2017-04-03,89.8
2017-04-05,89.05
2017-04-06,89.95
2017-04-07,93.15
2017-04-10,98.55
2017-04-11,102.0
2017-04-12,101.55
2017-04-13,100.1
2017-04-17,104.35
2017-04-18,102.6
2017-04-19,104.05
2017-04-20,108.85
2017-04-21,107.85
2017-04-24,112.2
2017-04-25,114.8
2017-04-26,115.55
2017-04-27,115.2
2017-04-28,115.55
2017-05-02,117.1
2017-05-03,120.85
2017-05-04,119.7
2017-05-05,118.5
2017-05-08,119.1
2017-05-09,119.8
2017-05-10,119.5
2017-05-11,118.3
2017-05-12,117.95
2017-05-15,118.2
2017-05-16,118.3
2017-05-17,116.95
2017-05-18,114.9
2017-05-19,116.75
2017-05-22,118.15
2017-05-23,113.55
2017-05-24,115.05
2017-05-25,117.8
2017-05-26,129.8
2017-05-29,124.95
2017-05-30,124.35
2017-05-31,122.9
2017-06-01,122.6
2017-06-02,126.15
2017-06-05,125.6
2017-06-06,125.25
2017-06-07,127.4
2017-06-08,128.5
2017-06-09,127.8
2017-06-12,125.25
2017-06-13,126.15
2017-06-14,127.85
2017-06-15,126.9
2017-06-16,120.55
2017-06-19,121.35
2017-06-20,124.8
2017-06-21,122.45
2017-06-22,122.95
2017-06-23,120.3
2017-06-27,115.9
2017-06-28,115.7
2017-06-29,116.95
2017-06-30,117.5
2017-07-03,115.8
2017-07-04,120.1
2017-07-05,121.6
2017-07-06,122.1
2017-07-07,124.75
2017-07-10,125.95
2017-07-11,126.2
2017-07-12,127.55
2017-07-13,126.95
2017-07-14,125.5
2017-07-17,126.45
2017-07-18,124.25
2017-07-19,126.55
2017-07-20,127.5
2017-07-21,128.0
2017-07-24,127.3
2017-07-25,126.25
2017-07-26,124.5
2017-07-27,120.9
2017-07-28,122.35
2017-07-31,120.15
2017-08-01,119.9
2017-08-02,120.3
2017-08-03,123.4
2017-08-04,123.1
2017-08-07,123.95
2017-08-08,123.4
2017-08-09,124.25
2017-08-10,117.4
2017-08-11,117.95
2017-08-14,120.4
2017-08-16,124.65
2017-08-17,126.6
2017-08-18,125.7
2017-08-21,121.25
2017-08-22,124.5
2017-08-23,127.25
2017-08-24,126.25
2017-08-28,126.0
2017-08-29,126.35
2017-08-30,126.8
2017-08-31,134.2
2017-09-01,142.25
2017-09-04,148.0
2017-09-05,145.1
2017-09-06,146.9
2017-09-07,146.05
2017-09-08,144.0
2017-09-11,144.1
2017-09-12,148.65
2017-09-13,144.9
2017-09-14,147.8
2017-09-15,145.75
2017-09-18,148.85
2017-09-19,148.05
2017-09-20,147.6
2017-09-21,144.45
2017-09-22,139.6
2017-09-25,136.85
2017-09-26,139.95
2017-09-27,135.25
2017-09-28,139.25
2017-09-29,138.15
2017-10-03,142.75
2017-10-04,144.7
2017-10-05,146.9
2017-10-06,152.85
2017-10-09,154.9
2017-10-10,177.85
2017-10-11,168.75
2017-10-12,169.7
2017-10-13,171.2
2017-10-16,186.3
2017-10-17,181.8
2017-10-18,179.25
2017-10-19,175.0
2017-10-23,168.6
2017-10-24,170.95
2017-10-25,163.65
2017-10-26,168.9
2017-10-27,167.0
2017-10-30,166.75
2017-10-31,164.55
2017-11-01,169.0
2017-11-02,172.6
2017-11-03,174.8
2017-11-06,168.4
2017-11-07,162.15
2017-11-08,156.9
2017-11-09,155.7
2017-11-10,156.15
2017-11-13,149.8
2017-11-14,148.95
2017-11-15,143.25
2017-11-16,151.35
2017-11-17,157.5
2017-11-20,154.35
2017-11-21,153.05
2017-11-22,151.45
2017-11-23,151.8
2017-11-24,153.0
2017-11-27,154.3
2017-11-28,151.75
2017-11-29,150.3
2017-11-30,150.8
2017-12-01,145.85
2017-12-04,144.45
2017-12-05,141.4
2017-12-06,142.4
2017-12-07,142.2
2017-12-08,154.15
2017-12-11,158.55
2017-12-12,152.7
2017-12-13,152.2
2017-12-14,146.65
2017-12-15,150.0
2017-12-18,150.7
2017-12-19,154.0
2017-12-20,152.6
2017-12-21,153.1
2017-12-22,152.25
2017-12-26,150.25
2017-12-27,151.8
2017-12-28,150.05
2017-12-29,157.2
