Date,XCHANGING
2017-01-02,54.4
2017-01-03,54.55
2017-01-04,54.35
2017-01-05,55.0
2017-01-06,53.45
2017-01-09,53.65
2017-01-10,54.0
2017-01-11,53.7
2017-01-12,53.7
2017-01-13,53.95
2017-01-16,54.1
2017-01-17,54.35
2017-01-18,54.2
2017-01-19,53.55
2017-01-20,52.15
2017-01-23,51.9
2017-01-24,52.8
2017-01-25,51.5
2017-01-27,52.2
2017-01-30,51.5
2017-01-31,50.75
2017-02-01,51.0
2017-02-02,51.25
2017-02-03,51.35
2017-02-06,50.95
2017-02-07,50.5
2017-02-08,55.6
2017-02-09,56.05
2017-02-10,55.0
2017-02-13,52.1
2017-02-14,52.55
2017-02-15,50.8
2017-02-16,51.45
2017-02-17,52.4
2017-02-20,51.85
2017-02-21,52.4
2017-02-22,51.95
2017-02-23,51.8
2017-02-27,52.05
2017-02-28,52.05
2017-03-01,51.55
2017-03-02,52.2
2017-03-03,53.55
2017-03-06,53.7
2017-03-07,52.9
2017-03-08,52.5
2017-03-09,51.75
2017-03-10,51.4
2017-03-14,51.05
2017-03-15,50.4
2017-03-16,52.15
2017-03-17,51.35
2017-03-20,51.15
2017-03-21,51.05
2017-03-22,49.9
2017-03-23,50.2
2017-03-24,50.25
2017-03-27,49.4
2017-03-28,48.95
2017-03-29,46.7
2017-03-30,48.25
2017-03-31,47.55
2017-04-03,49.45
2017-04-05,52.6
2017-04-06,50.75
2017-04-07,50.7
2017-04-10,49.1
2017-04-11,49.5
2017-04-12,48.2
2017-04-13,48.7
2017-04-17,48.75
2017-04-18,49.0
2017-04-19,48.85
2017-04-20,48.75
2017-04-21,48.1
2017-04-24,49.2
2017-04-25,52.65
2017-04-26,51.3
2017-04-27,51.1
2017-04-28,51.05
2017-05-02,50.3
2017-05-03,49.65
2017-05-04,49.35
2017-05-05,50.35
2017-05-08,50.15
2017-05-09,49.5
2017-05-10,49.7
2017-05-11,49.25
2017-05-12,48.7
2017-05-15,50.1
2017-05-16,49.7
2017-05-17,52.2
2017-05-18,50.6
2017-05-19,49.55
2017-05-22,49.6
2017-05-23,53.95
2017-05-24,60.6
2017-05-25,60.6
2017-05-26,62.35
2017-05-29,63.1
2017-05-30,64.05
2017-05-31,63.8
2017-06-01,62.2
2017-06-02,62.55
2017-06-05,62.65
2017-06-06,62.8
2017-06-07,63.2
2017-06-08,62.55
2017-06-09,62.6
2017-06-12,62.5
2017-06-13,60.45
2017-06-14,60.75
2017-06-15,60.45
2017-06-16,60.1
2017-06-19,59.3
2017-06-20,55.85
2017-06-21,56.25
2017-06-22,57.3
2017-06-23,56.25
2017-06-27,55.5
2017-06-28,55.95
2017-06-29,56.2
2017-06-30,57.0
2017-07-03,56.6
2017-07-04,56.2
2017-07-05,58.95
2017-07-06,60.0
2017-07-07,58.75
2017-07-10,59.2
2017-07-11,59.85
2017-07-12,60.75
2017-07-13,60.05
2017-07-14,60.1
2017-07-17,59.2
2017-07-18,59.35
2017-07-19,62.9
2017-07-20,61.3
2017-07-21,61.55
2017-07-24,61.55
2017-07-25,61.25
2017-07-26,61.25
2017-07-27,60.2
2017-07-28,62.35
2017-07-31,61.25
2017-08-01,60.2
2017-08-02,60.0
2017-08-03,60.05
2017-08-04,60.15
2017-08-07,60.0
2017-08-08,59.6
2017-08-09,58.95
2017-08-10,55.65
2017-08-11,55.9
2017-08-14,56.65
2017-08-16,57.0
2017-08-17,57.6
2017-08-18,57.0
2017-08-21,58.7
2017-08-22,57.75
2017-08-23,58.25
2017-08-24,59.35
2017-08-28,58.9
2017-08-29,57.8
2017-08-30,57.45
2017-08-31,58.1
2017-09-01,57.45
2017-09-04,57.25
2017-09-05,57.3
2017-09-06,57.35
2017-09-07,57.25
2017-09-08,56.95
2017-09-11,56.85
2017-09-12,59.3
2017-09-13,61.6
2017-09-14,60.95
2017-09-15,60.25
2017-09-18,60.15
2017-09-19,60.1
2017-09-20,60.55
2017-09-21,65.4
2017-09-22,64.2
2017-09-25,64.45
2017-09-26,65.0
2017-09-27,64.65
2017-09-28,64.4
2017-09-29,65.75
2017-10-03,67.55
2017-10-04,67.3
2017-10-05,66.9
2017-10-06,66.45
2017-10-09,65.45
2017-10-10,65.7
2017-10-11,64.7
2017-10-12,64.8
2017-10-13,65.1
2017-10-16,63.75
2017-10-17,63.95
2017-10-18,63.55
2017-10-19,63.45
2017-10-23,62.55
2017-10-24,62.1
2017-10-25,61.05
2017-10-26,61.4
2017-10-27,62.0
2017-10-30,64.4
2017-10-31,63.15
2017-11-01,63.1
2017-11-02,63.65
2017-11-03,63.05
2017-11-06,63.0
2017-11-07,62.35
2017-11-08,61.1
2017-11-09,61.45
2017-11-10,61.55
2017-11-13,60.95
2017-11-14,61.05
2017-11-15,61.0
2017-11-16,61.25
2017-11-17,62.7
2017-11-20,58.45
2017-11-21,59.4
2017-11-22,60.0
2017-11-23,59.7
2017-11-24,60.0
2017-11-27,59.7
2017-11-28,59.7
2017-11-29,59.8
2017-11-30,59.55
2017-12-01,59.4
2017-12-04,58.75
2017-12-05,58.9
2017-12-06,58.6
2017-12-07,59.35
2017-12-08,59.35
2017-12-11,59.5
2017-12-12,61.5
2017-12-13,61.7
2017-12-14,61.65
2017-12-15,61.25
2017-12-18,61.25
2017-12-19,61.05
2017-12-20,60.85
2017-12-21,60.95
2017-12-22,61.7
2017-12-26,60.9
2017-12-27,61.3
2017-12-28,61.25
2017-12-29,61.45
