Date,STARPAPER
2017-01-02,173.85
2017-01-03,178.7
2017-01-04,178.9
2017-01-05,181.0
2017-01-06,178.8
2017-01-09,175.5
2017-01-10,176.55
2017-01-11,194.2
2017-01-12,189.4
2017-01-13,178.3
2017-01-16,181.45
2017-01-17,179.7
2017-01-18,185.8
2017-01-19,188.05
2017-01-20,183.55
2017-01-23,182.8
2017-01-24,184.45
2017-01-25,181.85
2017-01-27,181.45
2017-01-30,179.1
2017-01-31,175.3
2017-02-01,179.25
2017-02-02,180.05
2017-02-03,180.7
2017-02-06,191.6
2017-02-07,208.65
2017-02-08,204.85
2017-02-09,207.75
2017-02-10,199.35
2017-02-13,196.85
2017-02-14,187.45
2017-02-15,187.35
2017-02-16,186.6
2017-02-17,190.3
2017-02-20,188.65
2017-02-21,185.9
2017-02-22,187.4
2017-02-23,183.9
2017-02-27,185.5
2017-02-28,182.4
2017-03-01,184.0
2017-03-02,182.35
2017-03-03,180.0
2017-03-06,178.55
2017-03-07,178.85
2017-03-08,180.3
2017-03-09,182.25
2017-03-10,179.95
2017-03-14,179.45
2017-03-15,178.9
2017-03-16,177.25
2017-03-17,169.45
2017-03-20,155.15
2017-03-21,153.0
2017-03-22,142.85
2017-03-23,142.55
2017-03-24,171.05
2017-03-27,186.85
2017-03-28,192.3
2017-03-29,184.95
2017-03-30,185.05
2017-03-31,177.15
2017-04-03,180.9
2017-04-05,187.15
2017-04-06,190.45
2017-04-07,186.75
2017-04-10,189.05
2017-04-11,190.25
2017-04-12,193.5
2017-04-13,192.15
2017-04-17,187.85
2017-04-18,186.45
2017-04-19,187.2
2017-04-20,193.45
2017-04-21,192.65
2017-04-24,193.35
2017-04-25,194.0
2017-04-26,191.4
2017-04-27,190.15
2017-04-28,188.6
2017-05-02,188.75
2017-05-03,189.3
2017-05-04,188.7
2017-05-05,188.8
2017-05-08,188.2
2017-05-09,190.2
2017-05-10,202.65
2017-05-11,197.05
2017-05-12,194.15
2017-05-15,202.2
2017-05-16,198.6
2017-05-17,199.65
2017-05-18,197.1
2017-05-19,193.1
2017-05-22,192.05
2017-05-23,186.15
2017-05-24,183.8
2017-05-25,200.95
2017-05-26,204.85
2017-05-29,204.85
2017-05-30,197.9
2017-05-31,200.5
2017-06-01,199.75
2017-06-02,196.6
2017-06-05,198.4
2017-06-06,195.05
2017-06-07,198.15
2017-06-08,197.8
2017-06-09,198.35
2017-06-12,213.45
2017-06-13,206.85
2017-06-14,209.55
2017-06-15,208.15
2017-06-16,210.6
2017-06-19,209.3
2017-06-20,210.1
2017-06-21,213.85
2017-06-22,210.5
2017-06-23,203.25
2017-06-27,198.45
2017-06-28,199.95
2017-06-29,198.75
2017-06-30,198.2
2017-07-03,199.75
2017-07-04,210.75
2017-07-05,208.7
2017-07-06,206.65
2017-07-07,207.5
2017-07-10,210.95
2017-07-11,209.7
2017-07-12,208.0
2017-07-13,206.95
2017-07-14,203.4
2017-07-17,203.0
2017-07-18,201.1
2017-07-19,200.45
2017-07-20,204.0
2017-07-21,204.45
2017-07-24,206.55
2017-07-25,204.15
2017-07-26,206.2
2017-07-27,202.95
2017-07-28,205.4
2017-07-31,202.55
2017-08-01,200.0
2017-08-02,198.1
2017-08-03,195.5
2017-08-04,190.95
2017-08-07,190.35
2017-08-08,189.95
2017-08-09,183.65
2017-08-10,174.15
2017-08-11,171.15
2017-08-14,176.6
2017-08-16,189.0
2017-08-17,186.5
2017-08-18,185.5
2017-08-21,187.8
2017-08-22,183.4
2017-08-23,182.4
2017-08-24,184.25
2017-08-28,186.9
2017-08-29,181.35
2017-08-30,184.75
2017-08-31,183.95
2017-09-01,191.95
2017-09-04,187.25
2017-09-05,185.85
2017-09-06,188.5
2017-09-07,188.05
2017-09-08,186.05
2017-09-11,191.25
2017-09-12,204.05
2017-09-13,196.9
2017-09-14,188.6
2017-09-15,189.2
2017-09-18,187.9
2017-09-19,189.1
2017-09-20,186.55
2017-09-21,183.25
2017-09-22,174.2
2017-09-25,170.95
2017-09-26,177.75
2017-09-27,170.0
2017-09-28,172.7
2017-09-29,172.95
2017-10-03,173.35
2017-10-04,174.6
2017-10-05,178.5
2017-10-06,173.3
2017-10-09,177.2
2017-10-10,187.65
2017-10-11,185.5
2017-10-12,182.55
2017-10-13,181.1
2017-10-16,184.3
2017-10-17,187.5
2017-10-18,190.1
2017-10-19,190.25
2017-10-23,186.9
2017-10-24,194.55
2017-10-25,190.05
2017-10-26,193.2
2017-10-27,188.75
2017-10-30,191.95
2017-10-31,202.35
2017-11-01,198.85
2017-11-02,195.9
2017-11-03,213.65
2017-11-06,228.35
2017-11-07,225.15
2017-11-08,219.0
2017-11-09,222.9
2017-11-10,218.9
2017-11-13,211.6
2017-11-14,201.5
2017-11-15,195.05
2017-11-16,211.45
2017-11-17,210.85
2017-11-20,215.5
2017-11-21,210.1
2017-11-22,208.6
2017-11-23,212.2
2017-11-24,202.05
2017-11-27,208.05
2017-11-28,212.15
2017-11-29,206.95
2017-11-30,207.15
2017-12-01,205.2
2017-12-04,203.8
2017-12-05,203.05
2017-12-06,204.35
2017-12-07,208.85
2017-12-08,234.05
2017-12-11,280.85
2017-12-12,261.7
2017-12-13,273.9
2017-12-14,275.7
2017-12-15,274.25
2017-12-18,268.35
2017-12-19,278.2
2017-12-20,277.15
2017-12-21,292.1
2017-12-22,292.4
2017-12-26,285.75
2017-12-27,281.85
2017-12-28,280.9
2017-12-29,281.35
