Date,CMICABLES
2017-01-02,144.2
2017-01-03,163.05
2017-01-04,164.75
2017-01-05,160.0
2017-01-06,163.25
2017-01-09,167.05
2017-01-10,169.35
2017-01-11,168.0
2017-01-12,164.7
2017-01-13,183.75
2017-01-16,198.1
2017-01-17,199.15
2017-01-18,195.5
2017-01-19,188.9
2017-01-20,177.4
2017-01-23,179.6
2017-01-24,176.6
2017-01-25,173.85
2017-01-27,169.45
2017-01-30,171.0
2017-01-31,165.75
2017-02-01,167.85
2017-02-02,167.45
2017-02-03,168.8
2017-02-06,173.3
2017-02-07,181.25
2017-02-08,184.0
2017-02-09,183.95
2017-02-10,181.35
2017-02-13,173.65
2017-02-14,168.1
2017-02-15,164.55
2017-02-16,168.7
2017-02-17,168.4
2017-02-20,170.4
2017-02-21,179.25
2017-02-22,193.15
2017-02-23,187.55
2017-02-27,186.55
2017-02-28,180.2
2017-03-01,186.15
2017-03-02,179.45
2017-03-03,180.5
2017-03-06,178.35
2017-03-07,178.35
2017-03-08,173.6
2017-03-09,173.75
2017-03-10,168.95
2017-03-14,169.65
2017-03-15,171.35
2017-03-16,172.3
2017-03-17,175.85
2017-03-20,172.05
2017-03-21,168.35
2017-03-22,165.55
2017-03-23,166.1
2017-03-24,164.55
2017-03-27,163.55
2017-03-28,163.75
2017-03-29,165.4
2017-03-30,165.5
2017-03-31,171.65
2017-04-03,181.6
2017-04-05,179.8
2017-04-06,185.85
2017-04-07,182.55
2017-04-10,180.6
2017-04-11,179.7
2017-04-12,180.65
2017-04-13,182.8
2017-04-17,179.6
2017-04-18,192.85
2017-04-19,195.15
2017-04-20,207.35
2017-04-21,213.6
2017-04-24,216.95
2017-04-25,219.65
2017-04-26,211.65
2017-04-27,208.3
2017-04-28,219.65
2017-05-02,225.25
2017-05-03,223.25
2017-05-04,218.2
2017-05-05,208.9
2017-05-08,208.6
2017-05-09,215.8
2017-05-10,215.35
2017-05-11,223.4
2017-05-12,217.45
2017-05-15,224.8
2017-05-16,226.05
2017-05-17,223.8
2017-05-18,218.85
2017-05-19,213.35
2017-05-22,208.55
2017-05-23,204.65
2017-05-24,201.7
2017-05-25,201.7
2017-05-26,206.1
2017-05-29,209.75
2017-05-30,206.55
2017-05-31,207.5
2017-06-01,205.35
2017-06-02,197.9
2017-06-05,195.4
2017-06-06,196.6
2017-06-07,199.8
2017-06-08,201.6
2017-06-09,197.9
2017-06-12,196.35
2017-06-13,197.65
2017-06-14,194.1
2017-06-15,194.1
2017-06-16,191.15
2017-06-19,194.7
2017-06-20,193.9
2017-06-21,200.0
2017-06-22,213.1
2017-06-23,209.9
2017-06-27,211.6
2017-06-28,216.2
2017-06-29,227.65
2017-06-30,217.75
2017-07-03,212.6
2017-07-04,211.6
2017-07-05,210.75
2017-07-06,212.95
2017-07-07,216.15
2017-07-10,215.4
2017-07-11,211.7
2017-07-12,211.9
2017-07-13,211.0
2017-07-14,210.4
2017-07-17,208.0
2017-07-18,205.9
2017-07-19,210.85
2017-07-20,207.35
2017-07-21,204.85
2017-07-24,207.8
2017-07-25,209.0
2017-07-26,208.5
2017-07-27,205.95
2017-07-28,208.55
2017-07-31,209.1
2017-08-01,208.55
2017-08-02,208.9
2017-08-03,205.5
2017-08-04,211.95
2017-08-07,219.0
2017-08-08,215.45
2017-08-09,207.95
2017-08-10,202.7
2017-08-11,197.1
2017-08-14,197.85
2017-08-16,201.6
2017-08-17,199.8
2017-08-18,196.95
2017-08-21,197.75
2017-08-22,195.7
2017-08-23,196.25
2017-08-24,203.85
2017-08-28,200.15
2017-08-29,199.8
2017-08-30,199.35
2017-08-31,200.4
2017-09-01,205.1
2017-09-04,202.2
2017-09-05,201.5
2017-09-06,199.05
2017-09-07,198.75
2017-09-08,197.9
2017-09-11,202.3
2017-09-12,207.35
2017-09-13,207.7
2017-09-14,203.4
2017-09-15,200.4
2017-09-18,198.25
2017-09-19,199.05
2017-09-20,206.25
2017-09-21,205.0
2017-09-22,191.9
2017-09-25,191.35
2017-09-26,190.95
2017-09-27,185.85
2017-09-28,183.55
2017-09-29,187.9
2017-10-03,189.45
2017-10-04,190.25
2017-10-05,190.0
2017-10-06,190.9
2017-10-09,192.95
2017-10-10,198.8
2017-10-11,201.15
2017-10-12,206.1
2017-10-13,201.05
2017-10-16,198.7
2017-10-17,198.3
2017-10-18,198.6
2017-10-19,195.2
2017-10-23,198.8
2017-10-24,220.85
2017-10-25,213.1
2017-10-26,211.85
2017-10-27,213.45
2017-10-30,210.7
2017-10-31,214.45
2017-11-01,211.75
2017-11-02,211.2
2017-11-03,212.25
2017-11-06,213.8
2017-11-07,209.8
2017-11-08,204.4
2017-11-09,205.15
2017-11-10,198.85
2017-11-13,198.9
2017-11-14,197.25
2017-11-15,196.2
2017-11-16,201.65
2017-11-17,201.7
2017-11-20,203.05
2017-11-21,201.7
2017-11-22,203.95
2017-11-23,203.9
2017-11-24,208.35
2017-11-27,220.65
2017-11-28,235.35
2017-11-29,240.9
2017-11-30,244.1
2017-12-01,241.9
2017-12-04,243.3
2017-12-05,238.65
2017-12-06,242.15
2017-12-07,242.85
2017-12-08,252.5
2017-12-11,258.75
2017-12-12,261.25
2017-12-13,252.9
2017-12-14,246.9
2017-12-15,243.75
2017-12-18,255.45
2017-12-19,265.05
2017-12-20,278.85
2017-12-21,293.3
2017-12-22,290.6
2017-12-26,288.9
2017-12-27,280.15
2017-12-28,276.9
2017-12-29,278.25
