Date,BBL
2017-01-02,759.25
2017-01-03,770.85
2017-01-04,776.15
2017-01-05,791.05
2017-01-06,787.85
2017-01-09,785.8
2017-01-10,808.4
2017-01-11,840.3
2017-01-12,827.4
2017-01-13,837.8
2017-01-16,835.55
2017-01-17,840.4
2017-01-18,902.3
2017-01-19,902.5
2017-01-20,892.7
2017-01-23,901.55
2017-01-24,908.8
2017-01-25,873.65
2017-01-27,892.75
2017-01-30,871.85
2017-01-31,853.75
2017-02-01,867.95
2017-02-02,863.85
2017-02-03,889.45
2017-02-06,896.0
2017-02-07,879.8
2017-02-08,868.35
2017-02-09,879.05
2017-02-10,872.0
2017-02-13,853.15
2017-02-14,839.95
2017-02-15,820.1
2017-02-16,817.65
2017-02-17,846.05
2017-02-20,866.5
2017-02-21,855.7
2017-02-22,851.35
2017-02-23,852.3
2017-02-27,853.15
2017-02-28,853.45
2017-03-01,863.5
2017-03-02,850.45
2017-03-03,852.45
2017-03-06,846.2
2017-03-07,851.2
2017-03-08,831.7
2017-03-09,822.5
2017-03-10,834.8
2017-03-14,831.05
2017-03-15,832.55
2017-03-16,853.2
2017-03-17,859.5
2017-03-20,863.95
2017-03-21,847.9
2017-03-22,839.45
2017-03-23,829.95
2017-03-24,831.2
2017-03-27,841.7
2017-03-28,853.95
2017-03-29,881.2
2017-03-30,892.9
2017-03-31,915.4
2017-04-03,981.2
2017-04-05,993.1
2017-04-06,1004.8
2017-04-07,1009.0
2017-04-10,1069.65
2017-04-11,1069.2
2017-04-12,1052.95
2017-04-13,1073.2
2017-04-17,1057.4
2017-04-18,1018.1
2017-04-19,1018.55
2017-04-20,1019.2
2017-04-21,1026.25
2017-04-24,1026.45
2017-04-25,1026.95
2017-04-26,990.5
2017-04-27,982.7
2017-04-28,1003.3
2017-05-02,994.75
2017-05-03,1004.7
2017-05-04,1012.6
2017-05-05,992.35
2017-05-08,999.6
2017-05-09,1027.05
2017-05-10,1040.5
2017-05-11,1031.95
2017-05-12,1021.05
2017-05-15,1056.6
2017-05-16,1089.9
2017-05-17,1088.05
2017-05-18,1049.8
2017-05-19,1034.35
2017-05-22,1069.15
2017-05-23,1049.45
2017-05-24,1023.65
2017-05-25,1038.55
2017-05-26,1058.65
2017-05-29,1056.9
2017-05-30,1045.75
2017-05-31,1063.95
2017-06-01,1076.9
2017-06-02,1075.25
2017-06-05,1136.25
2017-06-06,1129.9
2017-06-07,1181.65
