Date,BIGBLOC
2017-01-02,52.95
2017-01-03,53.25
2017-01-04,53.15
2017-01-05,53.8
2017-01-06,56.0
2017-01-09,56.85
2017-01-10,56.25
2017-01-11,55.45
2017-01-12,57.35
2017-01-13,58.5
2017-01-16,59.2
2017-01-17,59.85
2017-01-18,62.35
2017-01-19,60.25
2017-01-20,62.0
2017-01-23,61.05
2017-01-24,62.05
2017-01-25,62.35
2017-01-27,61.15
2017-01-30,62.85
2017-01-31,62.6
2017-02-01,61.2
2017-02-02,61.1
2017-02-03,61.25
2017-02-06,62.45
2017-02-07,66.0
2017-02-08,65.45
2017-02-09,64.55
2017-02-10,63.55
2017-02-13,63.6
2017-02-14,63.75
2017-02-15,63.45
2017-02-16,64.45
2017-02-17,63.8
2017-02-20,64.75
2017-02-21,64.7
2017-02-22,64.2
2017-02-23,64.35
2017-02-27,64.65
2017-02-28,64.8
2017-03-01,64.45
2017-03-02,66.0
2017-03-03,65.25
2017-03-06,64.9
2017-03-07,63.4
2017-03-08,64.6
2017-03-09,63.4
2017-03-10,63.0
2017-03-14,64.0
2017-03-15,64.0
2017-03-16,64.35
2017-03-17,63.9
2017-03-20,64.15
2017-03-21,64.35
2017-03-22,63.1
2017-03-23,64.0
2017-03-24,66.35
2017-03-27,64.75
2017-03-28,65.0
2017-03-29,65.5
2017-03-30,68.2
2017-03-31,68.8
2017-04-03,75.65
2017-04-05,77.05
2017-04-06,78.05
2017-04-07,78.7
2017-04-10,79.15
2017-04-11,79.35
2017-04-12,79.45
2017-04-13,80.05
2017-04-17,81.15
2017-04-18,81.6
2017-04-19,82.45
2017-04-20,83.0
2017-04-21,83.8
2017-04-24,85.5
2017-04-25,85.8
2017-04-26,82.8
2017-04-27,81.8
2017-04-28,81.6
2017-05-02,78.3
2017-05-03,79.0
2017-05-04,83.5
2017-05-05,84.25
2017-05-08,84.85
2017-05-09,88.25
2017-05-10,90.75
2017-05-11,93.35
2017-05-12,92.7
2017-05-15,90.1
2017-05-16,88.85
2017-05-17,91.85
2017-05-18,89.65
2017-05-19,89.1
2017-05-22,86.95
2017-05-23,85.6
2017-05-24,85.1
2017-05-25,85.35
2017-05-26,86.65
2017-05-29,86.1
2017-05-30,85.2
2017-05-31,85.4
2017-06-01,90.4
2017-06-02,90.65
2017-06-05,91.2
2017-06-06,87.4
2017-06-07,85.15
2017-06-08,84.85
2017-06-09,85.65
2017-06-12,86.8
2017-06-13,87.55
2017-06-14,86.8
2017-06-15,86.3
2017-06-16,85.3
2017-06-19,85.3
2017-06-20,86.0
2017-06-21,86.15
2017-06-22,86.25
2017-06-23,86.45
2017-06-27,86.0
2017-06-28,85.1
2017-06-29,84.8
2017-06-30,84.25
2017-07-03,84.25
2017-07-04,81.95
2017-07-05,83.4
2017-07-06,81.55
2017-07-07,81.3
2017-07-10,84.8
2017-07-11,84.0
2017-07-12,91.6
2017-07-13,92.85
2017-07-14,91.25
2017-07-17,91.55
2017-07-18,89.55
2017-07-19,88.85
2017-07-20,88.65
2017-07-21,89.7
2017-07-24,89.0
2017-07-25,86.3
2017-07-26,87.0
2017-07-27,88.6
2017-07-28,87.85
2017-07-31,88.15
2017-08-01,88.4
2017-08-02,88.7
2017-08-03,88.4
2017-08-04,87.6
2017-08-07,89.85
2017-08-08,88.5
2017-08-09,88.95
2017-08-10,86.45
2017-08-11,86.85
2017-08-14,84.15
2017-08-16,81.8
2017-08-17,84.65
2017-08-18,84.4
2017-08-21,84.2
2017-08-22,84.55
2017-08-23,82.45
2017-08-24,82.4
2017-08-28,83.35
2017-08-29,82.2
2017-08-30,82.95
2017-08-31,83.8
2017-09-01,82.75
2017-09-04,81.55
2017-09-05,80.4
2017-09-06,82.25
2017-09-07,83.6
2017-09-08,83.6
2017-09-11,84.25
2017-09-12,84.3
2017-09-13,83.25
2017-09-14,81.95
2017-09-15,83.7
2017-09-18,84.0
2017-09-19,83.25
2017-09-20,83.4
2017-09-21,83.75
2017-09-22,83.5
2017-09-25,80.5
2017-09-26,78.1
2017-09-27,78.75
2017-09-28,79.95
2017-09-29,86.35
2017-10-03,90.05
2017-10-04,94.55
2017-10-05,96.9
2017-10-06,97.8
2017-10-09,96.8
2017-10-10,105.75
2017-10-11,103.6
2017-10-12,103.4
2017-10-13,101.55
2017-10-16,101.25
2017-10-17,98.3
2017-10-18,96.65
2017-10-19,99.4
2017-10-23,98.0
2017-10-24,98.25
2017-10-25,97.2
2017-10-26,98.35
2017-10-27,98.05
2017-10-30,104.75
2017-10-31,106.85
2017-11-01,103.9
2017-11-02,104.7
2017-11-03,104.0
2017-11-06,104.5
2017-11-07,98.6
2017-11-08,95.6
2017-11-09,96.9
2017-11-10,100.45
2017-11-13,103.75
2017-11-14,103.5
2017-11-15,100.5
2017-11-16,105.65
2017-11-17,105.4
2017-11-20,108.9
2017-11-21,114.65
2017-11-22,121.55
2017-11-23,122.85
2017-11-24,118.7
2017-11-27,115.1
2017-11-28,115.25
2017-11-29,115.15
2017-11-30,116.15
2017-12-01,116.35
2017-12-04,118.95
2017-12-05,119.8
2017-12-06,118.25
2017-12-07,121.15
2017-12-08,121.4
2017-12-11,122.65
2017-12-12,121.4
2017-12-13,118.95
2017-12-14,119.4
2017-12-15,121.85
2017-12-18,122.65
2017-12-19,133.0
2017-12-20,140.6
2017-12-21,141.05
2017-12-22,138.85
2017-12-26,145.35
2017-12-27,142.45
2017-12-28,142.1
2017-12-29,141.2
