Date,ORIENTLTD
2017-01-03,59.05
2017-01-16,62.0
2017-01-17,65.0
2017-01-18,66.6
2017-01-25,69.9
2017-01-27,69.9
2017-01-30,69.9
2017-01-31,69.7
2017-02-02,69.9
2017-02-03,68.65
2017-02-07,66.05
2017-02-08,69.35
2017-02-09,69.75
2017-02-10,71.75
2017-02-13,71.75
2017-02-14,68.45
2017-02-15,65.1
2017-02-16,62.35
2017-02-17,63.65
2017-02-20,61.3
2017-02-21,61.35
2017-02-22,61.0
2017-02-23,60.2
2017-02-27,60.75
2017-02-28,60.95
2017-03-01,60.25
2017-03-02,62.9
2017-03-03,61.45
2017-03-06,62.35
2017-03-07,63.3
2017-03-08,62.0
2017-03-09,62.9
2017-03-10,63.75
2017-03-14,64.5
2017-03-15,65.95
2017-03-16,65.2
2017-03-17,64.9
2017-03-20,65.7
2017-03-21,68.95
2017-03-22,71.45
2017-03-23,72.5
2017-03-24,70.55
2017-03-27,71.0
2017-03-28,70.0
2017-03-29,69.0
2017-03-30,71.25
2017-03-31,70.55
2017-04-03,68.0
2017-04-05,66.5
2017-04-06,67.05
2017-04-07,70.0
2017-04-10,72.0
2017-04-11,69.6
2017-04-13,68.5
2017-04-17,70.0
2017-04-18,69.95
2017-04-19,68.05
2017-04-20,66.9
2017-04-24,68.75
2017-04-25,69.8
2017-04-26,69.0
2017-04-27,70.5
2017-04-28,70.0
2017-05-02,70.0
2017-05-04,68.0
2017-05-05,69.0
2017-05-08,68.0
2017-05-09,66.0
2017-05-10,72.6
2017-05-11,78.45
2017-05-12,83.65
2017-05-15,82.45
2017-05-16,83.15
2017-05-17,82.7
2017-05-18,80.0
2017-05-19,76.7
2017-05-22,76.25
2017-05-23,73.0
2017-05-24,72.6
2017-05-25,73.65
2017-05-26,73.0
2017-05-29,72.15
2017-05-30,71.75
2017-05-31,72.0
2017-06-02,71.6
2017-06-05,72.0
2017-06-06,72.1
2017-06-07,74.95
2017-06-08,76.7
2017-06-09,75.8
2017-06-12,77.45
2017-06-13,80.0
2017-06-14,83.45
2017-06-15,84.4
2017-06-16,83.1
2017-06-19,85.95
2017-06-20,84.25
2017-06-21,86.8
2017-06-22,83.7
2017-06-23,81.6
2017-06-27,79.55
2017-06-28,80.2
2017-06-29,78.5
2017-06-30,80.0
2017-07-04,77.0
2017-07-05,84.25
2017-07-06,96.8
2017-07-07,97.25
2017-07-10,98.7
2017-07-11,94.8
2017-07-12,94.5
2017-07-13,91.7
2017-07-14,89.05
2017-07-17,86.95
2017-07-18,86.0
2017-07-19,86.05
2017-07-20,81.5
2017-07-21,82.25
2017-07-24,83.9
2017-07-25,83.8
2017-07-26,82.15
2017-07-27,81.8
2017-07-28,81.95
2017-07-31,82.5
2017-08-02,82.0
2017-08-03,83.8
2017-08-04,83.0
2017-08-07,81.7
2017-08-08,80.65
2017-08-09,79.3
2017-08-10,80.0
2017-08-11,77.0
2017-08-14,80.0
2017-08-22,79.15
2017-08-24,77.25
2017-08-28,76.65
2017-08-29,77.9
2017-08-30,75.15
2017-08-31,74.3
2017-09-01,77.4
2017-09-04,77.35
2017-09-05,75.5
2017-09-06,76.15
2017-09-07,86.2
2017-09-08,88.1
2017-09-11,92.2
2017-09-12,94.6
2017-09-13,97.45
2017-09-14,93.2
2017-09-15,99.1
2017-09-18,96.1
2017-09-19,96.6
2017-09-20,98.0
2017-09-21,99.45
2017-09-22,96.0
2017-09-25,95.7
2017-09-26,94.0
2017-09-27,112.15
2017-09-28,134.55
2017-09-29,161.45
2017-10-03,148.25
2017-10-04,135.9
2017-10-05,149.45
2017-10-06,163.55
2017-10-09,157.7
2017-10-10,152.15
2017-10-11,144.75
2017-11-14,136.2
2017-11-15,130.05
2017-11-16,127.05
2017-11-17,127.05
2017-11-20,133.4
2017-11-21,140.05
2017-11-22,147.05
2017-11-23,154.4
2017-11-24,162.1
2017-11-27,170.2
2017-11-28,161.7
2017-11-29,157.6
2017-11-30,155.35
2017-12-01,155.15
2017-12-04,155.5
2017-12-05,156.35
2017-12-06,157.5
2017-12-07,160.05
2017-12-08,162.45
2017-12-11,162.5
2017-12-12,160.0
2017-12-13,160.0
2017-12-14,160.0
2017-12-15,160.95
2017-12-18,167.2
2017-12-19,171.7
2017-12-20,180.0
2017-12-21,180.1
2017-12-22,181.0
2017-12-26,196.6
2017-12-27,213.7
2017-12-28,226.8
2017-12-29,216.25
