Date,AARTIDRUGS
2017-01-02,611.95
2017-01-03,615.1
2017-01-04,616.0
2017-01-05,625.2
2017-01-06,625.65
2017-01-09,615.45
2017-01-10,620.05
2017-01-11,620.3
2017-01-12,623.0
2017-01-13,620.05
2017-01-16,623.55
2017-01-17,625.4
2017-01-18,626.5
2017-01-19,620.35
2017-01-20,620.7
2017-01-23,617.15
2017-01-24,620.05
2017-01-25,620.05
2017-01-27,619.4
2017-01-30,621.0
2017-01-31,619.45
2017-02-01,619.9
2017-02-02,614.95
2017-02-03,616.55
2017-02-06,633.25
2017-02-07,628.1
2017-02-08,626.95
2017-02-09,616.9
2017-02-10,619.7
2017-02-13,616.3
2017-02-14,610.85
2017-02-15,606.05
2017-02-16,611.85
2017-02-17,614.7
2017-02-20,615.55
2017-02-21,615.0
2017-02-22,611.5
2017-02-23,610.1
2017-02-27,609.0
2017-02-28,600.35
2017-03-01,590.85
2017-03-02,590.6
2017-03-03,582.0
2017-03-06,583.6
2017-03-07,578.75
2017-03-08,580.45
2017-03-09,580.7
2017-03-10,579.9
2017-03-14,575.65
2017-03-15,576.8
2017-03-16,583.4
2017-03-17,580.7
2017-03-20,578.15
2017-03-21,572.1
2017-03-22,567.15
2017-03-23,570.8
2017-03-24,568.85
2017-03-27,571.3
2017-03-28,587.0
2017-03-29,576.75
2017-03-30,570.75
2017-03-31,575.9
2017-04-03,585.05
2017-04-05,579.55
2017-04-06,570.65
2017-04-07,570.8
2017-04-10,573.2
2017-04-11,570.1
2017-04-12,570.95
2017-04-13,569.85
2017-04-17,594.65
2017-04-18,586.45
2017-04-19,584.25
2017-04-20,582.65
2017-04-21,586.85
2017-04-24,586.55
2017-04-25,583.35
2017-04-26,577.65
2017-04-27,585.4
2017-04-28,568.15
2017-05-02,564.3
2017-05-03,553.9
2017-05-04,546.9
2017-05-05,529.35
2017-05-08,532.5
2017-05-09,534.7
2017-05-10,533.65
2017-05-11,531.6
2017-05-12,534.85
2017-05-15,532.1
2017-05-16,533.15
2017-05-17,531.75
2017-05-18,530.1
2017-05-19,527.1
2017-05-22,527.15
2017-05-23,518.35
2017-05-24,496.1
2017-05-25,482.4
2017-05-26,501.5
2017-05-29,490.35
2017-05-30,487.2
2017-05-31,483.95
2017-06-01,487.85
2017-06-02,489.5
2017-06-05,487.95
2017-06-06,483.95
2017-06-07,483.5
2017-06-08,494.45
2017-06-09,495.1
2017-06-12,493.95
2017-06-13,499.5
2017-06-14,501.45
2017-06-15,520.5
2017-06-16,533.45
2017-06-19,520.25
2017-06-20,516.05
2017-06-21,512.6
2017-06-22,518.1
2017-06-23,530.3
2017-06-27,536.55
2017-06-28,521.85
2017-06-29,522.45
2017-06-30,524.15
2017-07-03,536.8
2017-07-04,528.6
2017-07-05,531.8
2017-07-06,539.55
2017-07-07,554.95
2017-07-10,547.9
2017-07-11,553.7
2017-07-12,558.25
2017-07-13,558.3
2017-07-14,549.45
2017-07-17,562.95
2017-07-18,559.5
2017-07-19,562.05
2017-07-20,557.4
2017-07-21,549.25
2017-07-24,555.25
2017-07-25,561.7
2017-07-26,552.7
2017-07-27,565.15
2017-07-28,565.7
2017-07-31,565.85
2017-08-01,560.95
2017-08-02,567.8
2017-08-03,567.4
2017-08-04,554.0
2017-08-07,558.7
2017-08-08,564.65
2017-08-09,551.25
2017-08-10,526.8
2017-08-11,515.05
2017-08-14,513.15
2017-08-16,515.25
2017-08-17,504.8
2017-08-18,509.5
2017-08-21,517.65
2017-08-22,516.75
2017-08-23,517.25
2017-08-24,516.2
2017-08-28,524.55
2017-08-29,511.7
2017-08-30,515.15
2017-08-31,516.15
2017-09-01,512.7
2017-09-04,520.1
2017-09-05,528.35
2017-09-06,523.05
2017-09-07,529.05
2017-09-08,529.7
2017-09-11,530.3
2017-09-12,528.2
2017-09-13,529.5
2017-09-14,532.95
2017-09-15,537.95
2017-09-18,539.65
2017-09-19,536.2
2017-09-20,533.95
2017-09-21,535.6
2017-09-22,526.85
2017-09-25,512.1
2017-09-26,510.45
2017-09-27,510.3
2017-09-28,518.9
2017-09-29,521.55
2017-10-03,525.4
2017-10-04,511.9
2017-10-05,520.2
2017-10-06,517.9
2017-10-09,521.15
2017-10-10,535.7
2017-10-11,535.3
2017-10-12,537.05
2017-10-13,530.0
2017-10-16,534.95
2017-10-17,527.35
2017-10-18,535.7
2017-10-19,533.65
2017-10-23,536.0
2017-10-24,529.3
2017-10-25,529.45
2017-10-26,533.1
2017-10-27,539.15
2017-10-30,540.75
2017-10-31,537.8
2017-11-01,526.95
2017-11-02,537.15
2017-11-03,536.5
2017-11-06,537.9
2017-11-07,543.05
2017-11-08,535.55
2017-11-09,534.95
2017-11-10,530.3
2017-11-13,527.75
2017-11-14,528.6
2017-11-15,527.4
2017-11-16,535.15
2017-11-17,532.4
2017-11-20,536.5
2017-11-21,531.05
2017-11-22,536.25
2017-11-23,535.15
2017-11-24,535.05
2017-11-27,535.0
2017-11-28,551.6
2017-11-29,553.2
2017-11-30,552.35
2017-12-01,551.65
2017-12-04,557.5
2017-12-05,558.0
2017-12-06,545.2
2017-12-07,561.3
2017-12-08,555.75
2017-12-11,548.15
2017-12-12,545.9
2017-12-13,542.5
2017-12-14,540.15
2017-12-15,550.3
2017-12-18,553.35
2017-12-19,576.25
2017-12-20,586.65
2017-12-21,594.9
2017-12-22,603.6
2017-12-26,612.25
2017-12-27,615.3
2017-12-28,628.15
2017-12-29,641.3
