Date,M&MFIN
2017-01-02,274.4
2017-01-03,271.0
2017-01-04,273.5
2017-01-05,283.1
2017-01-06,275.4
2017-01-09,275.45
2017-01-10,281.25
2017-01-11,283.05
2017-01-12,281.9
2017-01-13,286.4
2017-01-16,286.7
2017-01-17,297.05
2017-01-18,296.6
2017-01-19,293.3
2017-01-20,275.95
2017-01-23,274.5
2017-01-24,277.7
2017-01-25,286.3
2017-01-27,282.15
2017-01-30,278.8
2017-01-31,267.1
2017-02-01,286.2
2017-02-02,296.5
2017-02-03,293.4
2017-02-06,301.55
2017-02-07,300.4
2017-02-08,299.35
2017-02-09,301.45
2017-02-10,297.25
2017-02-13,295.35
2017-02-14,295.35
2017-02-15,286.95
2017-02-16,289.7
2017-02-17,291.55
2017-02-20,291.5
2017-02-21,299.9
2017-02-22,292.4
2017-02-23,291.2
2017-02-27,290.25
2017-02-28,291.65
2017-03-01,294.3
2017-03-02,286.4
2017-03-03,289.2
2017-03-06,289.65
2017-03-07,286.2
2017-03-08,279.5
2017-03-09,280.4
2017-03-10,275.3
2017-03-14,279.9
2017-03-15,291.25
2017-03-16,293.5
2017-03-17,311.65
2017-03-20,315.15
2017-03-21,316.6
2017-03-22,310.75
2017-03-23,313.8
2017-03-24,320.45
2017-03-27,320.35
2017-03-28,328.85
2017-03-29,321.0
2017-03-30,314.9
2017-03-31,314.9
2017-04-03,319.1
2017-04-05,321.05
2017-04-06,334.15
2017-04-07,335.35
2017-04-10,338.25
2017-04-11,334.65
2017-04-12,335.4
2017-04-13,332.5
2017-04-17,337.0
2017-04-18,334.8
2017-04-19,339.9
2017-04-20,338.95
2017-04-21,344.7
2017-04-24,342.75
2017-04-25,340.3
2017-04-26,330.45
2017-04-27,332.0
2017-04-28,337.2
2017-05-02,333.4
2017-05-03,327.7
2017-05-04,330.8
2017-05-05,329.35
2017-05-08,325.85
2017-05-09,324.35
2017-05-10,331.55
2017-05-11,337.95
2017-05-12,329.9
2017-05-15,331.4
2017-05-16,339.45
2017-05-17,333.1
2017-05-18,318.9
2017-05-19,315.5
2017-05-22,311.55
2017-05-23,305.1
2017-05-24,296.5
2017-05-25,302.75
2017-05-26,313.0
2017-05-29,325.4
2017-05-30,332.25
2017-05-31,358.9
2017-06-01,362.5
2017-06-02,388.45
2017-06-05,373.5
2017-06-06,361.6
2017-06-07,364.5
2017-06-08,361.4
2017-06-09,357.1
2017-06-12,350.15
2017-06-13,345.3
2017-06-14,350.3
2017-06-15,349.9
2017-06-16,348.3
2017-06-19,349.95
2017-06-20,354.45
2017-06-21,344.95
2017-06-22,340.15
2017-06-23,330.65
2017-06-27,332.0
2017-06-28,336.5
2017-06-29,340.95
2017-06-30,344.95
2017-07-03,349.95
2017-07-04,352.4
2017-07-05,359.65
2017-07-06,360.45
2017-07-07,360.7
2017-07-10,366.4
2017-07-11,359.35
2017-07-12,365.1
2017-07-13,368.45
2017-07-14,371.85
2017-07-17,367.55
2017-07-18,350.45
2017-07-19,358.1
2017-07-20,358.15
2017-07-21,354.65
2017-07-24,363.35
2017-07-25,399.4
2017-07-26,396.85
2017-07-27,400.45
2017-07-28,401.65
2017-07-31,401.0
2017-08-01,400.65
2017-08-02,399.9
2017-08-03,395.1
2017-08-04,423.55
2017-08-07,424.35
2017-08-08,425.55
2017-08-09,423.6
2017-08-10,407.3
2017-08-11,411.4
2017-08-14,425.15
2017-08-16,424.2
2017-08-17,420.9
2017-08-18,415.55
2017-08-21,403.95
2017-08-22,404.75
2017-08-23,410.5
2017-08-24,409.65
2017-08-28,418.4
2017-08-29,411.4
2017-08-30,425.35
2017-08-31,427.5
2017-09-01,435.3
2017-09-04,425.7
2017-09-05,438.45
2017-09-06,446.6
2017-09-07,441.85
2017-09-08,446.35
2017-09-11,451.0
2017-09-12,448.7
2017-09-13,441.45
2017-09-14,434.5
2017-09-15,432.75
2017-09-18,436.35
2017-09-19,432.35
2017-09-20,425.45
2017-09-21,424.3
2017-09-22,410.05
2017-09-25,403.8
2017-09-26,404.7
2017-09-27,395.65
2017-09-28,401.35
2017-09-29,412.35
2017-10-03,422.3
2017-10-04,419.3
2017-10-05,415.95
2017-10-06,419.7
2017-10-09,421.8
2017-10-10,422.6
2017-10-11,417.25
2017-10-12,422.15
2017-10-13,420.0
2017-10-16,432.15
2017-10-17,433.05
2017-10-18,426.3
2017-10-19,422.65
2017-10-23,422.9
2017-10-24,419.55
2017-10-25,407.8
2017-10-26,416.65
2017-10-27,420.6
2017-10-30,425.1
2017-10-31,431.65
2017-11-01,436.05
2017-11-02,436.6
2017-11-03,434.35
2017-11-06,434.1
2017-11-07,424.6
2017-11-08,413.55
2017-11-09,422.25
2017-11-10,415.25
2017-11-13,433.55
2017-11-14,439.65
2017-11-15,442.45
2017-11-16,437.7
2017-11-17,438.2
2017-11-20,435.8
2017-11-21,437.5
2017-11-22,433.0
2017-11-23,437.5
2017-11-24,447.25
2017-11-27,443.15
2017-11-28,444.95
2017-11-29,449.8
2017-11-30,438.4
2017-12-01,441.05
2017-12-04,442.65
2017-12-05,442.05
2017-12-06,443.75
2017-12-07,455.65
2017-12-08,452.4
2017-12-11,478.6
2017-12-12,457.6
2017-12-13,453.4
2017-12-14,445.85
2017-12-15,461.65
2017-12-18,460.55
2017-12-19,474.35
2017-12-20,479.2
2017-12-21,473.35
2017-12-22,474.45
2017-12-26,476.05
2017-12-27,473.85
2017-12-28,468.6
2017-12-29,473.1
