Date,APCOTEXIND
2017-01-02,313.15
2017-01-03,310.3
2017-01-04,320.6
2017-01-05,320.1
2017-01-06,316.75
2017-01-09,306.55
2017-01-10,310.75
2017-01-11,316.15
2017-01-12,320.35
2017-01-13,322.2
2017-01-16,316.8
2017-01-17,313.65
2017-01-18,321.0
2017-01-19,318.95
2017-01-20,322.65
2017-01-23,324.4
2017-01-24,324.5
2017-01-25,327.05
2017-01-27,325.45
2017-01-30,316.35
2017-01-31,313.15
2017-02-01,311.45
2017-02-02,311.4
2017-02-03,309.55
2017-02-06,311.5
2017-02-07,320.45
2017-02-08,314.8
2017-02-09,327.9
2017-02-10,343.15
2017-02-13,332.3
2017-02-14,326.85
2017-02-15,319.35
2017-02-16,319.65
2017-02-17,327.15
2017-02-20,331.75
2017-02-21,336.95
2017-02-22,331.65
2017-02-23,327.15
2017-02-27,320.75
2017-02-28,318.75
2017-03-01,319.05
2017-03-02,316.6
2017-03-03,318.85
2017-03-06,315.25
2017-03-07,309.5
2017-03-08,312.95
2017-03-09,311.95
2017-03-10,310.05
2017-03-14,315.0
2017-03-15,311.0
2017-03-16,310.75
2017-03-17,313.65
2017-03-20,312.55
2017-03-21,311.7
2017-03-22,310.2
2017-03-23,315.7
2017-03-24,328.75
2017-03-27,325.55
2017-03-28,322.05
2017-03-29,321.0
2017-03-30,323.2
2017-03-31,320.55
2017-04-03,325.85
2017-04-05,322.2
2017-04-06,320.45
2017-04-07,317.45
2017-04-10,316.3
2017-04-11,317.1
2017-04-12,352.2
2017-04-13,380.4
2017-04-17,380.8
2017-04-18,367.8
2017-04-19,368.15
2017-04-20,366.1
2017-04-21,365.25
2017-04-24,374.7
2017-04-25,370.1
2017-04-26,369.8
2017-04-27,381.85
2017-04-28,381.5
2017-05-02,380.3
2017-05-03,382.2
2017-05-04,381.65
2017-05-05,380.6
2017-05-08,365.9
2017-05-09,374.75
2017-05-10,372.2
2017-05-11,365.15
2017-05-12,370.05
2017-05-15,374.65
2017-05-16,369.7
2017-05-17,362.1
2017-05-18,360.15
2017-05-19,355.25
2017-05-22,360.0
2017-05-23,384.0
2017-05-24,367.65
2017-05-25,383.65
2017-05-26,376.45
2017-05-29,374.5
2017-05-30,369.85
2017-05-31,374.1
2017-06-01,369.55
2017-06-02,369.1
2017-06-05,377.3
2017-06-06,374.25
2017-06-07,372.4
2017-06-08,381.7
2017-06-09,378.45
2017-06-12,371.2
2017-06-13,376.5
2017-06-14,377.15
2017-06-15,374.5
2017-06-16,374.1
2017-06-19,398.9
2017-06-20,399.35
2017-06-21,413.05
2017-06-22,428.9
2017-06-23,413.35
2017-06-27,401.8
2017-06-28,395.9
2017-06-29,401.0
2017-06-30,404.1
2017-07-03,407.4
2017-07-04,417.55
2017-07-05,425.75
2017-07-06,434.0
2017-07-07,432.1
2017-07-10,426.85
2017-07-11,415.5
2017-07-12,411.2
2017-07-13,425.2
2017-07-14,420.75
2017-07-17,430.15
2017-07-18,422.6
2017-07-19,428.2
2017-07-20,431.2
2017-07-21,423.65
2017-07-24,420.0
2017-07-25,421.75
2017-07-26,420.2
2017-07-27,419.9
2017-07-28,433.75
2017-07-31,435.5
2017-08-01,432.65
2017-08-02,425.45
2017-08-03,422.05
2017-08-04,413.25
2017-08-07,405.25
2017-08-08,396.8
2017-08-09,390.75
2017-08-10,391.9
2017-08-11,400.1
2017-08-14,408.4
2017-08-16,413.85
2017-08-17,416.05
2017-08-18,403.3
2017-08-21,392.15
2017-08-22,388.75
2017-08-23,387.8
2017-08-24,382.35
2017-08-28,372.95
2017-08-29,373.3
2017-08-30,379.5
2017-08-31,386.35
2017-09-01,391.7
2017-09-04,392.45
2017-09-05,388.1
2017-09-06,395.5
2017-09-07,398.05
2017-09-08,405.15
2017-09-11,399.6
2017-09-12,398.15
2017-09-13,387.75
2017-09-14,396.05
2017-09-15,444.85
2017-09-18,438.4
2017-09-19,449.2
2017-09-20,435.3
2017-09-21,431.8
2017-09-22,416.45
2017-09-25,442.55
2017-09-26,432.15
2017-09-27,428.65
2017-09-28,426.45
2017-09-29,435.7
2017-10-03,429.55
2017-10-04,456.45
2017-10-05,451.0
2017-10-06,462.15
2017-10-09,476.85
2017-10-10,477.9
2017-10-11,479.6
2017-10-12,473.6
2017-10-13,484.2
2017-10-16,475.1
2017-10-17,470.45
2017-10-18,467.65
2017-10-19,484.7
2017-10-23,469.55
2017-10-24,470.7
2017-10-25,460.95
2017-10-26,455.65
2017-10-27,444.05
2017-10-30,445.05
2017-10-31,449.2
2017-11-01,476.65
2017-11-02,473.8
2017-11-03,470.1
2017-11-06,469.05
2017-11-07,483.2
2017-11-08,486.65
2017-11-09,474.2
2017-11-10,475.35
2017-11-13,477.7
2017-11-14,475.7
2017-11-15,467.5
2017-11-16,464.15
2017-11-17,467.9
2017-11-20,478.2
2017-11-21,484.75
2017-11-22,476.0
2017-11-23,477.95
2017-11-24,478.65
2017-11-27,481.65
2017-11-28,482.9
2017-11-29,483.5
2017-11-30,478.8
2017-12-01,486.85
2017-12-04,483.7
2017-12-05,486.65
2017-12-06,492.55
2017-12-07,502.25
2017-12-08,494.95
2017-12-11,498.45
2017-12-12,491.4
2017-12-13,489.95
2017-12-14,490.2
2017-12-15,489.85
2017-12-18,499.75
2017-12-19,502.45
2017-12-20,496.25
2017-12-21,501.45
2017-12-22,503.05
2017-12-26,496.75
2017-12-27,494.65
2017-12-28,495.05
2017-12-29,493.8
