Date,VINDHYATEL
2017-01-02,611.9
2017-01-03,599.2
2017-01-04,600.15
2017-01-05,601.65
2017-01-06,600.6
2017-01-09,601.65
2017-01-10,595.05
2017-01-11,615.85
2017-01-12,632.55
2017-01-13,634.6
2017-01-16,648.9
2017-01-17,647.25
2017-01-18,668.0
2017-01-19,662.55
2017-01-20,643.6
2017-01-23,650.15
2017-01-24,668.4
2017-01-25,686.55
2017-01-27,676.95
2017-01-30,688.8
2017-01-31,682.15
2017-02-01,691.2
2017-02-02,700.45
2017-02-03,710.95
2017-02-06,722.1
2017-02-07,689.8
2017-02-08,670.3
2017-02-09,650.8
2017-02-10,634.0
2017-02-13,620.2
2017-02-14,616.5
2017-02-15,599.8
2017-02-16,610.5
2017-02-17,620.4
2017-02-20,635.8
2017-02-21,659.85
2017-02-22,645.8
2017-02-23,653.65
2017-02-27,649.1
2017-02-28,650.65
2017-03-01,652.9
2017-03-02,646.4
2017-03-03,645.75
2017-03-06,657.45
2017-03-07,667.05
2017-03-08,677.5
2017-03-09,673.6
2017-03-10,654.4
2017-03-14,653.05
2017-03-15,657.4
2017-03-16,672.5
2017-03-17,662.0
2017-03-20,662.0
2017-03-21,661.45
2017-03-22,652.4
2017-03-23,658.45
2017-03-24,651.95
2017-03-27,648.7
2017-03-28,644.3
2017-03-29,639.05
2017-03-30,648.05
2017-03-31,654.85
2017-04-03,658.5
2017-04-05,676.0
2017-04-06,691.5
2017-04-07,677.95
2017-04-10,682.8
2017-04-11,696.2
2017-04-12,695.45
2017-04-13,693.35
2017-04-17,701.3
2017-04-18,695.75
2017-04-19,696.75
2017-04-20,698.4
2017-04-21,689.65
2017-04-24,702.65
2017-04-25,693.25
2017-04-26,708.25
2017-04-27,706.7
2017-04-28,701.1
2017-05-02,693.3
2017-05-03,698.15
2017-05-04,707.45
2017-05-05,695.65
2017-05-08,694.6
2017-05-09,692.85
2017-05-10,698.75
2017-05-11,690.4
2017-05-12,683.0
2017-05-15,684.9
2017-05-16,746.6
2017-05-17,767.9
2017-05-18,737.45
2017-05-19,723.4
2017-05-22,724.6
2017-05-23,692.35
2017-05-24,677.65
2017-05-25,698.05
2017-05-26,701.05
2017-05-29,696.2
2017-05-30,705.55
2017-05-31,708.65
2017-06-01,761.0
2017-06-02,772.75
2017-06-05,812.0
2017-06-06,792.95
2017-06-07,815.55
2017-06-08,832.35
2017-06-09,820.75
2017-06-12,797.6
2017-06-13,793.8
2017-06-14,784.85
2017-06-15,804.4
2017-06-16,808.8
2017-06-19,792.5
2017-06-20,818.6
2017-06-21,812.9
2017-06-22,804.05
2017-06-23,782.65
2017-06-27,758.65
2017-06-28,759.15
2017-06-29,751.15
2017-06-30,754.15
