Date,IMPAL
2017-01-02,769.8
2017-01-03,764.35
2017-01-04,766.4
2017-01-05,765.0
2017-01-06,764.1
2017-01-09,746.15
2017-01-10,746.85
2017-01-11,753.4
2017-01-12,754.2
2017-01-13,752.0
2017-01-16,743.5
2017-01-17,755.0
2017-01-18,745.55
2017-01-19,755.4
2017-01-20,749.95
2017-01-23,744.1
2017-01-24,745.75
2017-01-25,755.1
2017-01-27,769.65
2017-01-30,747.3
2017-01-31,763.0
2017-02-01,762.95
2017-02-02,789.2
2017-02-03,782.85
2017-02-06,787.5
2017-02-07,785.0
2017-02-08,784.65
2017-02-09,768.2
2017-02-10,785.0
2017-02-13,782.0
2017-02-14,779.5
2017-02-15,762.95
2017-02-16,764.4
2017-02-17,760.75
2017-02-20,785.2
2017-02-21,777.85
2017-02-22,779.7
2017-02-23,786.65
2017-02-27,786.85
2017-02-28,774.9
2017-03-01,771.2
2017-03-02,770.0
2017-03-03,769.0
2017-03-06,779.95
2017-03-07,766.7
2017-03-08,779.0
2017-03-09,768.0
2017-03-10,779.0
2017-03-14,771.2
2017-03-15,766.5
2017-03-16,770.2
2017-03-17,777.1
2017-03-20,771.7
2017-03-21,769.65
2017-03-22,783.5
2017-03-23,771.1
2017-03-24,783.25
2017-03-27,806.1
2017-03-28,809.9
2017-03-29,812.95
2017-03-30,834.45
2017-03-31,836.25
2017-04-03,836.0
2017-04-05,805.75
2017-04-06,817.35
2017-04-07,829.5
2017-04-10,797.65
2017-04-11,816.1
2017-04-12,813.0
2017-04-13,808.55
2017-04-17,823.2
2017-04-18,814.85
2017-04-19,807.3
2017-04-20,817.65
2017-04-21,835.65
2017-04-24,841.5
2017-04-25,841.6
2017-04-26,841.65
2017-04-27,823.7
2017-04-28,808.9
2017-05-02,827.65
2017-05-03,824.95
2017-05-04,800.15
2017-05-05,804.5
2017-05-08,801.05
2017-05-09,794.15
2017-05-10,822.15
2017-05-11,816.35
2017-05-12,802.95
2017-05-15,820.0
2017-05-16,816.25
2017-05-17,816.25
2017-05-18,813.8
2017-05-19,790.85
2017-05-22,801.85
2017-05-23,800.45
2017-05-24,782.1
2017-05-25,805.65
2017-05-26,805.6
2017-05-29,796.3
2017-05-30,789.75
2017-05-31,805.0
2017-06-01,812.4
2017-06-02,820.0
2017-06-05,819.0
2017-06-06,801.2
2017-06-07,807.55
2017-06-08,815.0
2017-06-09,803.65
2017-06-12,800.25
2017-06-13,800.0
2017-06-14,803.0
2017-06-15,809.5
2017-06-16,805.05
2017-06-19,805.2
2017-06-20,803.85
2017-06-21,804.05
2017-06-22,799.9
2017-06-23,799.5
2017-06-27,795.0
2017-06-28,798.4
2017-06-29,801.05
2017-06-30,799.0
2017-07-03,786.95
2017-07-04,795.6
2017-07-05,804.45
2017-07-06,809.25
2017-07-07,811.0
2017-07-10,805.8
2017-07-11,807.9
2017-07-12,807.0
2017-07-13,803.95
2017-07-14,799.8
2017-07-17,802.0
2017-07-18,800.05
2017-07-19,817.5
2017-07-20,820.0
2017-07-21,810.6
2017-07-24,810.7
2017-07-25,832.95
2017-07-26,808.9
2017-07-27,810.0
2017-07-28,803.55
2017-07-31,809.25
2017-08-01,800.05
2017-08-02,800.05
2017-08-03,788.35
2017-08-04,791.6
2017-08-07,792.4
2017-08-08,792.15
2017-08-09,790.1
2017-08-10,790.0
2017-08-11,805.15
2017-08-14,798.75
2017-08-16,813.65
2017-08-17,792.6
2017-08-18,809.85
2017-08-21,801.1
2017-08-22,796.25
2017-08-23,808.15
2017-08-24,805.0
2017-08-28,809.25
2017-08-29,799.85
2017-08-30,794.2
2017-08-31,799.0
2017-09-01,796.25
2017-09-04,796.0
2017-09-05,810.2
2017-09-06,811.75
2017-09-07,800.05
2017-09-08,801.6
2017-09-11,800.1
2017-09-12,792.45
2017-09-13,799.6
2017-09-14,795.4
2017-09-15,797.3
2017-09-18,810.0
2017-09-19,797.85
2017-09-20,804.2
2017-09-21,801.15
2017-09-22,795.35
2017-09-25,795.5
2017-09-26,800.95
2017-09-27,795.0
2017-09-28,800.0
2017-09-29,800.0
2017-10-03,819.8
2017-10-04,801.25
2017-10-05,805.9
2017-10-06,818.45
2017-10-09,851.65
2017-10-10,870.0
2017-10-11,849.7
2017-10-12,856.25
2017-10-13,851.9
2017-10-16,850.95
2017-10-17,840.0
2017-10-18,855.1
2017-10-19,859.5
2017-10-23,851.7
2017-10-24,866.0
2017-10-25,872.0
2017-10-26,858.8
2017-10-27,876.05
2017-10-30,872.2
2017-10-31,877.45
2017-11-01,871.55
2017-11-02,883.25
2017-11-03,909.25
2017-11-06,919.95
2017-11-07,910.0
2017-11-08,904.4
2017-11-09,920.0
2017-11-10,921.4
2017-11-13,921.7
2017-11-14,929.0
2017-11-15,920.0
2017-11-16,926.2
2017-11-17,917.2
2017-11-20,916.3
2017-11-21,921.9
2017-11-22,1025.55
2017-11-23,986.5
2017-11-24,960.0
2017-11-27,972.0
2017-11-28,975.7
2017-11-29,1001.45
2017-11-30,988.2
2017-12-01,977.3
2017-12-04,974.4
2017-12-05,976.3
2017-12-06,993.25
2017-12-07,981.25
2017-12-08,974.75
2017-12-11,1010.5
2017-12-12,1014.1
2017-12-13,1117.25
2017-12-14,1154.7
2017-12-15,1144.45
2017-12-18,1129.05
2017-12-19,1110.95
2017-12-20,1117.45
2017-12-21,1111.75
2017-12-22,1147.8
2017-12-26,1108.75
2017-12-27,1112.25
2017-12-28,1108.85
2017-12-29,1105.25
