Date,EIDPARRY
2017-01-02,264.55
2017-01-03,267.75
2017-01-04,265.2
2017-01-05,278.95
2017-01-06,280.9
2017-01-09,283.2
2017-01-10,285.95
2017-01-11,282.15
2017-01-12,280.2
2017-01-13,280.4
2017-01-16,281.55
2017-01-17,279.55
2017-01-18,278.1
2017-01-19,278.05
2017-01-20,282.2
2017-01-23,282.8
2017-01-24,294.0
2017-01-25,297.6
2017-01-27,293.35
2017-01-30,288.3
2017-01-31,282.05
2017-02-01,290.15
2017-02-02,292.15
2017-02-03,289.5
2017-02-06,292.2
2017-02-07,295.55
2017-02-08,293.85
2017-02-09,286.8
2017-02-10,290.75
2017-02-13,284.75
2017-02-14,286.2
2017-02-15,282.7
2017-02-16,282.25
2017-02-17,285.1
2017-02-20,285.4
2017-02-21,288.7
2017-02-22,293.25
2017-02-23,290.15
2017-02-27,289.35
2017-02-28,288.35
2017-03-01,287.8
2017-03-02,283.95
2017-03-03,285.45
2017-03-06,285.15
2017-03-07,284.8
2017-03-08,280.7
2017-03-09,282.05
2017-03-10,279.25
2017-03-14,278.75
2017-03-15,279.85
2017-03-16,280.1
2017-03-17,280.55
2017-03-20,277.5
2017-03-21,277.3
2017-03-22,279.1
2017-03-23,280.95
2017-03-24,280.95
2017-03-27,284.45
2017-03-28,283.5
2017-03-29,288.75
2017-03-30,285.25
2017-03-31,283.15
2017-04-03,287.9
2017-04-05,284.5
2017-04-06,281.25
2017-04-07,277.4
2017-04-10,278.0
2017-04-11,276.4
2017-04-12,292.1
2017-04-13,294.4
2017-04-17,285.85
2017-04-18,288.05
2017-04-19,300.65
2017-04-20,305.5
2017-04-21,302.3
2017-04-24,295.3
2017-04-25,307.9
2017-04-26,303.8
2017-04-27,301.4
2017-04-28,300.9
2017-05-02,301.4
2017-05-03,298.4
2017-05-04,317.1
2017-05-05,327.0
2017-05-08,328.7
2017-05-09,331.6
2017-05-10,349.3
2017-05-11,342.85
2017-05-12,332.6
2017-05-15,336.65
2017-05-16,342.3
2017-05-17,331.4
2017-05-18,330.65
2017-05-19,322.4
2017-05-22,308.9
2017-05-23,311.25
2017-05-24,305.5
2017-05-25,320.35
2017-05-26,324.25
2017-05-29,311.25
2017-05-30,316.45
2017-05-31,334.75
2017-06-01,333.1
2017-06-02,330.15
2017-06-05,329.35
2017-06-06,326.75
2017-06-07,322.75
2017-06-08,327.5
2017-06-09,327.0
2017-06-12,326.75
2017-06-13,326.7
2017-06-14,326.75
2017-06-15,329.9
2017-06-16,329.25
2017-06-19,323.75
2017-06-20,319.6
2017-06-21,326.5
2017-06-22,317.25
2017-06-23,309.95
2017-06-27,297.8
2017-06-28,296.55
2017-06-29,300.75
2017-06-30,309.45
2017-07-03,315.3
2017-07-04,315.05
2017-07-05,314.2
2017-07-06,313.05
2017-07-07,315.5
2017-07-10,313.9
2017-07-11,314.45
2017-07-12,312.9
2017-07-13,315.4
2017-07-14,314.5
2017-07-17,318.5
2017-07-18,325.9
2017-07-19,322.4
2017-07-20,324.0
2017-07-21,323.1
2017-07-24,319.95
2017-07-25,321.45
2017-07-26,320.5
2017-07-27,318.8
2017-07-28,329.05
2017-07-31,336.85
2017-08-01,338.65
2017-08-02,334.75
2017-08-03,330.0
2017-08-04,320.0
2017-08-07,314.5
2017-08-08,312.7
2017-08-09,307.4
2017-08-10,302.55
2017-08-11,299.4
2017-08-14,308.95
2017-08-16,322.9
2017-08-17,336.65
2017-08-18,324.85
2017-08-21,323.9
2017-08-22,319.9
2017-08-23,322.95
2017-08-24,315.4
2017-08-28,320.1
2017-08-29,316.45
2017-08-30,321.05
2017-08-31,323.75
2017-09-01,327.15
2017-09-04,323.45
2017-09-05,330.65
2017-09-06,329.5
2017-09-07,341.0
2017-09-08,340.55
2017-09-11,334.1
2017-09-12,335.25
2017-09-13,334.2
2017-09-14,353.5
2017-09-15,359.8
2017-09-18,359.15
2017-09-19,365.2
2017-09-20,358.35
2017-09-21,365.05
2017-09-22,348.65
2017-09-25,340.05
2017-09-26,340.6
2017-09-27,337.35
2017-09-28,338.65
2017-09-29,343.1
2017-10-03,346.75
2017-10-04,348.55
2017-10-05,346.65
2017-10-06,361.7
2017-10-09,361.25
2017-10-10,358.6
2017-10-11,359.7
2017-10-12,359.95
2017-10-13,354.2
2017-10-16,351.1
2017-10-17,354.7
2017-10-18,349.9
2017-10-19,352.35
2017-10-23,354.85
2017-10-24,358.2
2017-10-25,368.6
2017-10-26,375.15
2017-10-27,369.45
2017-10-30,372.25
2017-10-31,371.85
2017-11-01,372.45
2017-11-02,365.2
2017-11-03,370.15
2017-11-06,372.0
2017-11-07,365.6
2017-11-08,373.35
2017-11-09,371.05
2017-11-10,370.8
2017-11-13,371.05
2017-11-14,370.95
2017-11-15,369.35
2017-11-16,366.7
2017-11-17,363.95
2017-11-20,364.9
2017-11-21,364.9
2017-11-22,361.45
2017-11-23,366.3
2017-11-24,371.25
2017-11-27,367.7
2017-11-28,371.45
2017-11-29,370.65
2017-11-30,369.1
2017-12-01,364.25
2017-12-04,364.1
2017-12-05,355.55
2017-12-06,354.55
2017-12-07,361.0
2017-12-08,371.8
2017-12-11,363.15
2017-12-12,360.0
2017-12-13,352.85
2017-12-14,347.5
2017-12-15,343.15
2017-12-18,349.6
2017-12-19,352.05
2017-12-20,352.95
2017-12-21,353.8
2017-12-22,350.4
2017-12-26,362.05
2017-12-27,373.8
2017-12-28,370.9
2017-12-29,371.1
