Date,CAMLINFINE
2017-01-02,102.35
2017-01-03,104.0
2017-01-04,108.7
2017-01-05,108.7
2017-01-06,116.55
2017-01-09,117.3
2017-01-10,115.15
2017-01-11,111.95
2017-01-12,110.75
2017-01-13,110.85
2017-01-16,114.25
2017-01-17,114.65
2017-01-18,114.05
2017-01-19,114.25
2017-01-20,111.0
2017-01-23,110.4
2017-01-24,111.6
2017-01-25,111.8
2017-01-27,112.0
2017-01-30,111.55
2017-01-31,110.2
2017-02-01,110.1
2017-02-02,111.15
2017-02-03,113.05
2017-02-06,111.85
2017-02-07,109.35
2017-02-08,106.65
2017-02-09,104.6
2017-02-10,104.25
2017-02-13,100.35
2017-02-14,99.75
2017-02-15,97.75
2017-02-16,97.95
2017-02-17,98.0
2017-02-20,95.9
2017-02-21,95.25
2017-02-22,94.75
2017-02-23,95.3
2017-02-27,94.75
2017-02-28,94.2
2017-03-01,93.65
2017-03-02,92.4
2017-03-03,90.85
2017-03-06,90.7
2017-03-07,90.25
2017-03-08,93.35
2017-03-09,91.6
2017-03-10,89.7
2017-03-14,90.6
2017-03-15,90.15
2017-03-16,92.4
2017-03-17,92.65
2017-03-20,91.1
2017-03-21,90.15
2017-03-22,91.15
2017-03-23,91.75
2017-03-24,90.95
2017-03-27,90.1
2017-03-28,90.4
2017-03-29,90.0
2017-03-30,89.35
2017-03-31,89.5
2017-04-03,89.5
2017-04-05,91.9
2017-04-06,96.45
2017-04-07,96.7
2017-04-10,96.65
2017-04-11,97.65
2017-04-12,95.75
2017-04-13,97.25
2017-04-17,96.05
2017-04-18,93.4
2017-04-19,92.55
2017-04-20,95.25
2017-04-21,95.3
2017-04-24,94.45
2017-04-25,95.3
2017-04-26,93.55
2017-04-27,90.55
2017-04-28,91.9
2017-05-02,91.65
2017-05-03,94.1
2017-05-04,92.75
2017-05-05,90.15
2017-05-08,90.0
2017-05-09,89.65
2017-05-10,90.75
2017-05-11,91.2
2017-05-12,90.2
2017-05-15,90.45
2017-05-16,90.95
2017-05-17,91.5
2017-05-18,89.85
2017-05-19,90.15
2017-05-22,86.85
2017-05-23,83.0
2017-05-24,80.6
2017-05-25,76.9
2017-05-26,81.25
2017-05-29,79.4
2017-05-30,77.85
2017-05-31,76.1
2017-06-01,77.65
2017-06-02,81.2
2017-06-05,79.7
2017-06-06,79.95
2017-06-07,80.85
2017-06-08,82.25
2017-06-09,84.15
2017-06-12,85.75
2017-06-13,85.6
2017-06-14,83.9
2017-06-15,82.65
2017-06-16,85.6
2017-06-19,83.0
2017-06-20,86.25
2017-06-21,87.6
2017-06-22,92.45
2017-06-23,91.5
2017-06-27,89.6
2017-06-28,86.2
2017-06-29,86.1
2017-06-30,84.85
2017-07-03,85.5
2017-07-04,86.55
2017-07-05,85.25
2017-07-06,86.9
2017-07-07,89.05
2017-07-10,90.85
2017-07-11,89.95
2017-07-12,90.05
2017-07-13,88.25
2017-07-14,87.85
2017-07-17,87.75
2017-07-18,85.9
2017-07-19,86.4
2017-07-20,85.95
2017-07-21,87.95
2017-07-24,88.2
2017-07-25,88.0
2017-07-26,88.3
2017-07-27,86.4
2017-07-28,85.8
2017-07-31,85.05
2017-08-01,83.3
2017-08-02,84.45
2017-08-03,83.85
2017-08-04,83.0
2017-08-07,81.8
2017-08-08,81.2
2017-08-09,79.65
2017-08-10,76.8
2017-08-11,76.55
2017-08-14,78.85
2017-08-16,78.4
2017-08-17,77.8
2017-08-18,78.4
2017-08-21,76.9
2017-08-22,75.3
2017-08-23,75.9
2017-08-24,74.95
2017-08-28,74.8
2017-08-29,73.25
2017-08-30,74.3
2017-08-31,75.05
2017-09-01,74.4
2017-09-04,74.35
2017-09-05,75.1
2017-09-06,74.4
2017-09-07,74.9
2017-09-08,74.4
2017-09-11,74.35
2017-09-12,73.85
2017-09-13,73.15
2017-09-14,75.3
2017-09-15,74.45
2017-09-18,74.05
2017-09-19,74.4
2017-09-20,75.1
2017-09-21,81.2
2017-09-22,79.2
2017-09-25,81.55
2017-09-26,82.8
2017-09-27,78.9
2017-09-28,85.75
2017-09-29,81.35
2017-10-03,81.15
2017-10-04,81.7
2017-10-05,80.1
2017-10-06,83.6
2017-10-09,82.75
2017-10-10,86.75
2017-10-11,85.6
2017-10-12,90.5
2017-10-13,90.05
2017-10-16,90.3
2017-10-17,90.4
2017-10-18,90.1
2017-10-19,89.0
2017-10-23,87.05
2017-10-24,87.4
2017-10-25,87.15
2017-10-26,90.15
2017-10-27,89.5
2017-10-30,89.45
2017-10-31,88.6
2017-11-01,88.2
2017-11-02,84.15
2017-11-03,83.35
2017-11-06,87.5
2017-11-07,85.35
2017-11-08,86.5
2017-11-09,89.15
2017-11-10,91.65
2017-11-13,89.95
2017-11-14,90.5
2017-11-15,93.0
2017-11-16,92.2
2017-11-17,92.8
2017-11-20,92.1
2017-11-21,93.85
2017-11-22,92.05
2017-11-23,92.2
2017-11-24,110.4
2017-11-27,105.65
2017-11-28,107.45
2017-11-29,114.95
2017-11-30,108.3
2017-12-01,105.15
2017-12-04,101.0
2017-12-05,104.7
2017-12-06,103.05
2017-12-07,105.3
2017-12-08,104.55
2017-12-11,113.1
2017-12-12,110.05
2017-12-13,108.55
2017-12-14,113.8
2017-12-15,112.45
2017-12-18,112.05
2017-12-19,118.35
2017-12-20,131.15
2017-12-21,138.0
2017-12-22,131.3
2017-12-26,126.6
2017-12-27,129.6
2017-12-28,130.15
2017-12-29,128.95
