Date,PANORAMUNI
2017-01-02,9.95
2017-01-03,9.85
2017-01-04,9.7
2017-01-05,10.05
2017-01-06,9.8
2017-01-09,9.8
2017-01-10,10.35
2017-01-11,10.25
2017-01-12,10.0
2017-01-13,9.85
2017-01-16,9.8
2017-01-17,9.8
2017-01-18,9.8
2017-01-19,10.0
2017-01-20,9.7
2017-01-23,9.95
2017-01-24,9.85
2017-01-25,9.9
2017-01-27,9.8
2017-01-30,9.8
2017-01-31,10.0
2017-02-01,9.85
2017-02-02,9.85
2017-02-03,9.9
2017-02-06,9.95
2017-02-07,9.9
2017-02-08,9.75
2017-02-09,9.75
2017-02-10,9.9
2017-02-13,9.65
2017-02-14,9.45
2017-02-15,9.5
2017-02-16,9.45
2017-02-17,9.45
2017-02-20,9.3
2017-02-21,9.4
2017-02-22,9.2
2017-02-23,9.0
2017-02-27,9.45
2017-02-28,9.6
2017-03-01,9.95
2017-03-02,9.65
2017-03-03,9.6
2017-03-06,9.75
2017-03-07,9.65
2017-03-08,9.55
2017-03-09,9.6
2017-03-10,9.55
2017-03-14,9.45
2017-03-15,9.45
2017-03-16,9.45
2017-03-17,10.15
2017-03-20,10.15
2017-03-21,10.0
2017-03-22,10.0
2017-03-23,10.1
2017-03-24,10.2
2017-03-27,10.55
2017-03-28,10.6
2017-03-29,10.5
2017-03-30,10.15
2017-03-31,10.2
2017-04-03,10.5
2017-04-05,11.15
2017-04-06,11.25
2017-04-07,11.65
2017-04-10,11.85
2017-04-11,11.65
2017-04-12,11.5
2017-04-13,11.2
2017-04-17,11.35
2017-04-18,11.1
2017-04-19,11.2
2017-04-20,11.2
2017-04-21,11.0
2017-04-24,13.2
2017-04-25,14.05
2017-04-26,13.45
2017-04-27,13.5
2017-04-28,12.95
2017-05-02,11.6
2017-05-03,12.15
2017-05-04,11.75
2017-05-05,11.3
2017-05-08,11.25
2017-05-09,11.65
2017-05-10,11.8
2017-05-11,12.05
2017-05-12,11.5
2017-05-15,11.8
2017-05-16,11.35
2017-05-17,11.2
2017-05-18,11.0
2017-05-19,10.65
2017-05-22,10.05
2017-05-23,9.9
2017-05-24,9.8
2017-05-25,10.15
2017-05-26,10.0
2017-05-29,10.05
2017-05-30,9.85
2017-05-31,9.65
2017-06-01,9.75
2017-06-02,9.85
2017-06-05,10.0
2017-06-06,9.85
2017-06-07,9.85
2017-06-08,9.7
2017-06-09,9.65
2017-06-12,9.5
2017-06-13,9.4
2017-06-14,9.3
2017-06-15,9.5
2017-06-16,9.6
2017-06-19,9.65
2017-06-20,9.6
2017-06-21,9.75
2017-06-22,10.0
2017-06-23,9.7
2017-06-27,10.05
2017-06-28,9.75
2017-06-29,9.85
2017-06-30,9.9
2017-07-03,9.75
2017-07-04,9.5
2017-07-05,9.55
2017-07-06,9.8
2017-07-07,9.55
2017-07-10,9.5
2017-07-11,9.4
2017-07-12,9.5
2017-07-13,9.35
2017-07-14,9.35
2017-07-17,9.25
2017-07-18,9.25
2017-07-19,9.15
2017-07-20,9.2
2017-07-21,9.35
2017-07-24,9.15
2017-07-25,9.2
2017-07-26,9.2
2017-07-27,9.0
2017-07-28,9.2
2017-07-31,9.1
2017-08-01,9.0
2017-08-02,9.1
2017-08-03,9.05
2017-08-04,8.95
2017-08-07,8.7
2017-08-08,8.85
2017-08-09,8.5
2017-08-10,8.15
2017-08-11,7.0
2017-08-14,7.9
2017-08-16,7.9
2017-08-17,8.1
2017-08-18,7.95
2017-08-21,7.7
2017-08-22,7.7
2017-08-23,7.65
2017-08-24,7.8
2017-08-28,7.7
2017-08-29,7.95
2017-08-30,7.75
2017-08-31,7.9
2017-09-01,7.85
2017-09-04,7.75
2017-09-05,7.7
2017-09-06,7.9
2017-09-07,7.9
2017-09-08,7.85
2017-09-11,7.8
2017-09-12,7.8
2017-09-13,7.75
2017-09-14,7.75
2017-09-15,7.8
2017-09-18,7.65
2017-09-19,8.0
2017-09-20,9.6
2017-09-21,9.6
2017-09-22,8.5
2017-09-25,8.4
2017-09-26,8.5
2017-09-27,8.45
2017-09-28,8.9
2017-09-29,8.5
2017-10-03,8.4
2017-10-04,8.85
2017-10-05,8.8
2017-10-06,8.75
2017-10-09,8.45
2017-10-10,8.55
2017-10-11,8.7
2017-10-12,8.55
2017-10-13,10.1
2017-10-16,9.25
2017-10-17,9.0
2017-10-18,9.4
2017-10-19,9.05
2017-10-23,9.0
2017-10-24,9.1
2017-10-25,8.75
2017-10-26,8.55
2017-10-27,8.75
2017-10-30,8.8
2017-10-31,8.85
2017-11-01,8.85
2017-11-02,9.0
2017-11-03,8.75
2017-11-06,8.95
2017-11-07,9.15
2017-11-08,8.9
2017-11-09,8.9
2017-11-10,8.9
2017-11-13,8.8
2017-11-14,8.8
2017-11-15,8.65
2017-11-16,8.5
2017-11-17,8.45
2017-11-20,8.45
2017-11-21,8.6
2017-11-22,10.3
2017-11-23,9.35
2017-11-24,9.2
2017-11-27,8.95
2017-11-28,9.35
2017-11-29,9.15
2017-11-30,9.55
2017-12-01,9.9
2017-12-04,9.7
2017-12-05,9.75
2017-12-06,9.65
2017-12-07,9.7
2017-12-08,9.5
2017-12-11,9.55
2017-12-12,9.35
2017-12-13,9.65
2017-12-14,9.35
2017-12-15,9.3
2017-12-18,9.05
2017-12-19,9.2
2017-12-20,9.2
2017-12-21,9.35
2017-12-22,9.35
2017-12-26,9.3
2017-12-27,9.6
2017-12-28,10.15
2017-12-29,11.15
