Date,CPSEETF
2017-01-02,25.37
2017-01-03,25.98
2017-01-04,25.92
2017-01-05,26.34
2017-01-06,26.4
2017-01-09,26.11
2017-01-10,26.22
2017-01-11,26.63
2017-01-12,26.77
2017-01-13,26.87
2017-01-16,26.8
2017-01-17,26.5
2017-01-18,26.53
2017-01-19,26.75
2017-01-20,26.34
2017-01-23,26.71
2017-01-24,27.06
2017-01-25,27.58
2017-01-27,27.84
2017-01-30,27.53
2017-01-31,26.94
2017-02-01,27.37
2017-02-02,27.6
2017-02-03,27.88
2017-02-06,27.99
2017-02-07,27.51
2017-02-08,27.87
2017-02-09,28.03
2017-02-10,27.93
2017-02-13,27.73
2017-02-14,27.74
2017-02-15,27.48
2017-02-16,27.67
2017-02-17,27.82
2017-02-20,28.09
2017-02-21,28.31
2017-02-22,28.39
2017-02-23,28.3
2017-02-27,28.26
2017-02-28,28.13
2017-03-01,28.04
2017-03-02,27.9
2017-03-03,27.99
2017-03-06,28.26
2017-03-07,28.29
2017-03-08,27.9
2017-03-09,27.66
2017-03-10,27.71
2017-03-14,27.78
2017-03-15,27.69
2017-03-16,27.97
2017-03-17,27.89
2017-03-20,27.98
2017-03-21,27.99
2017-03-22,27.82
2017-03-23,28.11
2017-03-24,28.22
2017-03-27,27.96
2017-03-28,27.78
2017-03-29,27.97
2017-03-30,27.93
2017-03-31,28.21
2017-04-03,28.3
2017-04-05,28.4
2017-04-06,28.57
2017-04-07,28.74
2017-04-10,29.01
2017-04-11,29.58
2017-04-12,29.42
2017-04-13,29.58
2017-04-17,29.48
2017-04-18,29.32
2017-04-19,29.53
2017-04-20,29.5
2017-04-21,29.41
2017-04-24,29.59
2017-04-25,29.84
2017-04-26,29.68
2017-04-27,29.74
2017-04-28,30.1
2017-05-02,30.52
2017-05-03,30.4
2017-05-04,30.37
2017-05-05,29.96
2017-05-08,30.06
2017-05-09,30.36
2017-05-10,30.38
2017-05-11,29.86
2017-05-12,29.89
2017-05-15,30.19
2017-05-16,30.17
2017-05-17,30.12
2017-05-18,29.75
2017-05-19,29.56
2017-05-22,29.09
2017-05-23,28.81
2017-05-24,28.59
2017-05-25,28.79
2017-05-26,28.86
2017-05-29,28.48
2017-05-30,28.74
2017-05-31,28.61
2017-06-01,28.24
2017-06-02,28.22
2017-06-05,28.24
2017-06-06,28.07
2017-06-07,28.22
2017-06-08,27.95
2017-06-09,27.74
2017-06-12,27.8
2017-06-13,27.68
2017-06-14,27.6
2017-06-15,27.28
2017-06-16,27.35
2017-06-19,27.32
2017-06-20,27.54
2017-06-21,27.14
2017-06-22,26.6
2017-06-23,26.07
2017-06-27,26.21
2017-06-28,26.11
2017-06-29,25.93
2017-06-30,25.91
2017-07-03,26.19
2017-07-04,26.19
2017-07-05,26.34
2017-07-06,26.41
2017-07-07,26.34
2017-07-10,26.79
2017-07-11,26.62
2017-07-12,26.82
2017-07-13,26.56
2017-07-14,26.42
2017-07-17,26.51
2017-07-18,26.49
2017-07-19,26.69
2017-07-20,26.87
2017-07-21,27.01
2017-07-24,26.87
2017-07-25,26.68
2017-07-26,26.75
2017-07-27,26.61
2017-07-28,26.51
2017-07-31,26.67
2017-08-01,26.8
2017-08-02,26.51
2017-08-03,26.68
2017-08-04,27.32
2017-08-07,27.82
2017-08-08,27.28
2017-08-09,27.17
2017-08-10,26.43
2017-08-11,26.32
2017-08-14,26.67
2017-08-16,26.72
2017-08-17,27.19
2017-08-18,27.17
2017-08-21,26.58
2017-08-22,26.69
2017-08-23,26.96
2017-08-24,27.09
2017-08-28,27.42
2017-08-29,27.05
2017-08-30,27.57
2017-08-31,27.44
2017-09-01,27.66
2017-09-04,27.47
2017-09-05,27.75
2017-09-06,27.84
2017-09-07,27.82
2017-09-08,27.69
2017-09-11,28.09
2017-09-12,28.32
2017-09-13,27.99
2017-09-14,28.05
2017-09-15,28.15
2017-09-18,28.25
2017-09-19,28.4
2017-09-20,28.34
2017-09-21,28.06
2017-09-22,27.62
2017-09-25,27.61
2017-09-26,27.93
2017-09-27,27.57
2017-09-28,27.82
2017-09-29,28.16
2017-10-03,28.37
2017-10-04,28.49
2017-10-05,28.39
2017-10-06,28.9
2017-10-09,28.71
2017-10-10,28.77
2017-10-11,28.69
2017-10-12,28.8
2017-10-13,28.9
2017-10-16,28.98
2017-10-17,28.99
2017-10-18,29.15
2017-10-19,28.75
2017-10-23,28.91
2017-10-24,29.24
2017-10-25,29.72
2017-10-26,30.24
2017-10-27,30.35
2017-10-30,30.57
2017-10-31,30.67
2017-11-01,30.72
2017-11-02,30.8
2017-11-03,30.84
2017-11-06,30.98
2017-11-07,30.45
2017-11-08,30.3
2017-11-09,30.1
2017-11-10,30.07
2017-11-13,29.61
2017-11-14,29.3
2017-11-15,29.0
2017-11-16,29.12
2017-11-17,29.2
2017-11-20,29.52
2017-11-21,29.53
2017-11-22,29.61
2017-11-23,29.6
2017-11-24,29.66
2017-11-27,29.66
2017-11-28,29.49
2017-11-29,29.61
2017-11-30,29.48
2017-12-01,29.06
2017-12-04,29.11
2017-12-05,28.94
2017-12-06,28.89
2017-12-07,29.12
2017-12-08,29.49
2017-12-11,29.46
2017-12-12,29.32
2017-12-13,29.41
2017-12-14,29.49
2017-12-15,29.69
2017-12-18,29.74
2017-12-19,30.01
2017-12-20,30.19
2017-12-21,30.24
2017-12-22,30.47
2017-12-26,30.59
2017-12-27,30.28
2017-12-28,30.25
2017-12-29,30.18
