Date,KTIL
2017-01-02,201.25
2017-01-03,205.1
2017-01-04,201.3
2017-01-05,208.35
2017-01-06,206.05
2017-01-09,208.4
2017-01-10,207.05
2017-01-11,205.3
2017-01-12,205.0
2017-01-13,203.35
2017-01-16,204.85
2017-01-17,205.45
2017-01-18,211.6
2017-01-19,210.0
2017-01-20,207.7
2017-01-23,234.55
2017-01-24,226.65
2017-01-25,227.25
2017-01-27,221.8
2017-01-30,214.0
2017-01-31,208.7
2017-02-01,220.5
2017-02-02,222.25
2017-02-03,214.55
2017-02-06,211.75
2017-02-07,210.05
2017-02-08,208.5
2017-02-09,207.4
2017-02-10,212.4
2017-02-13,209.4
2017-02-14,207.1
2017-02-15,205.1
2017-02-16,205.15
2017-02-17,206.5
2017-02-20,206.2
2017-02-21,206.45
2017-02-22,204.65
2017-02-23,201.4
2017-02-27,210.55
2017-02-28,207.85
2017-03-01,208.6
2017-03-02,202.75
2017-03-03,202.85
2017-03-06,204.95
2017-03-07,210.45
2017-03-08,209.3
2017-03-09,205.4
2017-03-10,200.65
2017-03-14,201.75
2017-03-15,202.85
2017-03-16,204.15
2017-03-17,202.0
2017-03-20,199.1
2017-03-21,195.85
2017-03-22,193.75
2017-03-23,192.3
2017-03-24,191.8
2017-03-27,190.2
2017-03-28,192.1
2017-03-29,188.0
2017-03-30,191.45
2017-03-31,191.75
2017-04-03,214.6
2017-04-05,220.95
2017-04-06,227.0
2017-04-07,228.35
2017-04-10,227.55
2017-04-11,225.45
2017-04-12,219.9
2017-04-13,219.55
2017-04-17,216.45
2017-04-18,209.5
2017-04-19,210.7
2017-04-20,213.35
2017-04-21,214.05
2017-04-24,213.7
2017-04-25,213.3
2017-04-26,208.75
2017-04-27,207.05
2017-04-28,209.45
2017-05-02,210.2
2017-05-03,209.45
2017-05-04,208.1
2017-05-05,205.3
2017-05-08,208.7
2017-05-09,209.2
2017-05-10,206.2
2017-05-11,206.05
2017-05-12,204.3
2017-05-15,204.95
2017-05-16,203.9
2017-05-17,203.7
2017-05-18,201.85
2017-05-19,201.7
2017-05-22,196.1
2017-05-23,194.2
2017-05-24,190.9
2017-05-25,189.75
2017-05-26,197.15
2017-05-29,203.25
2017-05-30,196.15
2017-05-31,187.65
2017-06-01,179.5
2017-06-02,175.4
2017-06-05,183.95
2017-06-06,185.35
2017-06-07,180.3
2017-06-08,176.4
2017-06-09,175.85
2017-06-12,174.4
2017-06-13,174.15
2017-06-14,183.9
2017-06-15,181.8
2017-06-16,181.3
2017-06-19,217.55
2017-06-20,223.0
2017-06-21,219.3
2017-06-22,212.5
2017-06-23,200.5
2017-06-27,197.15
2017-06-28,194.9
2017-06-29,202.7
2017-06-30,208.3
2017-07-03,203.1
2017-07-04,217.75
2017-07-05,221.8
2017-07-06,225.35
2017-07-07,220.7
2017-07-10,225.85
2017-07-11,230.7
2017-07-12,232.55
2017-07-13,230.8
2017-07-14,230.5
2017-07-17,226.8
2017-07-18,221.95
2017-07-19,229.15
2017-07-20,229.35
2017-07-21,228.45
2017-07-24,229.65
2017-07-25,229.55
2017-07-26,225.15
2017-07-27,225.0
2017-07-28,222.1
2017-07-31,217.8
2017-08-01,215.1
2017-08-02,215.0
2017-08-03,210.65
2017-08-04,210.55
2017-08-07,206.2
2017-08-08,205.15
2017-08-09,200.0
2017-08-10,194.25
2017-08-11,191.4
2017-08-14,195.7
2017-08-16,205.05
2017-08-17,205.95
2017-08-18,201.2
2017-08-21,202.0
2017-08-22,201.15
2017-08-23,211.95
2017-08-24,220.4
2017-08-28,215.35
2017-08-29,215.35
2017-08-30,243.35
2017-08-31,238.55
2017-09-01,241.7
2017-09-04,246.7
2017-09-05,244.85
2017-09-06,241.15
2017-09-07,238.75
2017-09-08,228.8
2017-09-11,226.4
2017-09-12,229.7
2017-09-13,215.65
2017-09-14,208.55
2017-09-15,211.9
2017-09-18,205.85
2017-09-19,205.05
2017-09-20,204.6
2017-09-21,204.45
2017-09-22,202.45
2017-09-25,196.85
2017-09-26,198.6
2017-09-27,198.0
2017-09-28,192.95
2017-09-29,195.0
2017-10-03,184.0
2017-10-04,184.85
2017-10-05,194.55
2017-10-06,195.7
2017-10-09,197.4
2017-10-10,209.1
2017-10-11,199.85
2017-10-12,199.95
2017-10-13,201.6
2017-10-16,199.15
2017-10-17,196.3
2017-10-18,198.2
2017-10-19,198.25
2017-10-23,196.9
2017-10-24,198.75
2017-10-25,195.65
2017-10-26,194.95
2017-10-27,195.8
2017-10-30,195.75
2017-10-31,195.05
2017-11-01,195.8
2017-11-02,194.75
2017-11-03,193.25
2017-11-06,193.55
2017-11-07,190.45
2017-11-08,187.75
2017-11-09,186.1
2017-11-10,187.95
2017-11-13,185.3
2017-11-14,186.35
2017-11-15,182.6
2017-11-16,182.0
2017-11-17,185.35
2017-11-20,190.15
2017-11-21,191.15
2017-11-22,206.2
2017-11-23,203.65
2017-11-24,195.65
2017-11-27,193.8
2017-11-28,194.75
2017-11-29,191.25
2017-11-30,189.0
2017-12-01,189.75
2017-12-04,184.3
2017-12-05,181.4
2017-12-06,185.5
2017-12-07,185.75
2017-12-08,183.5
2017-12-11,183.1
2017-12-12,180.95
2017-12-13,180.25
2017-12-14,179.8
2017-12-15,183.85
2017-12-18,183.8
2017-12-19,185.2
2017-12-20,182.8
2017-12-21,182.65
2017-12-22,179.6
2017-12-26,180.95
2017-12-27,180.45
2017-12-28,180.45
2017-12-29,177.8
