Date,FCL
2017-01-02,27.9
2017-01-03,29.35
2017-01-04,30.15
2017-01-05,29.7
2017-01-06,29.85
2017-01-09,29.85
2017-01-10,30.4
2017-01-11,30.4
2017-01-12,30.0
2017-01-13,29.8
2017-01-16,29.75
2017-01-17,29.3
2017-01-18,28.9
2017-01-19,29.2
2017-01-20,28.85
2017-01-23,30.65
2017-01-24,32.25
2017-01-25,32.2
2017-01-27,32.3
2017-01-30,31.0
2017-01-31,30.55
2017-02-01,30.9
2017-02-02,31.4
2017-02-03,31.0
2017-02-06,33.45
2017-02-07,33.1
2017-02-08,34.1
2017-02-09,34.05
2017-02-10,33.75
2017-02-13,30.65
2017-02-14,31.25
2017-02-15,30.5
2017-02-16,33.2
2017-02-17,33.95
2017-02-20,34.7
2017-02-21,34.8
2017-02-22,35.2
2017-02-23,34.45
2017-02-27,34.45
2017-02-28,33.95
2017-03-01,33.3
2017-03-02,33.15
2017-03-03,33.0
2017-03-06,33.65
2017-03-07,33.1
2017-03-08,32.0
2017-03-09,33.35
2017-03-10,33.5
2017-03-14,33.5
2017-03-15,33.4
2017-03-16,33.2
2017-03-17,34.35
2017-03-20,34.75
2017-03-21,34.1
2017-03-22,34.15
2017-03-23,34.25
2017-03-24,33.85
2017-03-27,35.95
2017-03-28,35.3
2017-03-29,33.5
2017-03-30,34.6
2017-03-31,34.1
2017-04-03,34.2
2017-04-05,35.45
2017-04-06,34.95
2017-04-07,34.5
2017-04-10,33.5
2017-04-11,34.1
2017-04-12,35.6
2017-04-13,35.5
2017-04-17,35.35
2017-04-18,35.5
2017-04-19,35.2
2017-04-20,37.85
2017-04-21,38.65
2017-04-24,38.6
2017-04-25,40.75
2017-04-26,38.5
2017-04-27,37.8
2017-04-28,37.8
2017-05-02,37.6
2017-05-03,36.85
2017-05-04,37.05
2017-05-05,35.9
2017-05-08,35.65
2017-05-09,37.25
2017-05-10,37.85
2017-05-11,38.8
2017-05-12,37.95
2017-05-15,38.1
2017-05-16,37.6
2017-05-17,37.25
2017-05-18,36.9
2017-05-19,35.9
2017-05-22,34.75
2017-05-23,34.65
2017-05-24,33.5
2017-05-25,33.45
2017-05-26,33.4
2017-05-29,33.9
2017-05-30,33.2
2017-05-31,33.35
2017-06-01,34.75
2017-06-02,33.1
2017-06-05,33.1
2017-06-06,31.95
2017-06-07,31.95
2017-06-08,31.9
2017-06-09,33.3
2017-06-12,32.4
2017-06-13,32.7
2017-06-14,32.5
2017-06-15,32.7
2017-06-16,31.55
2017-06-19,31.25
2017-06-20,31.3
2017-06-21,31.25
2017-06-22,32.6
2017-06-23,31.75
2017-06-27,30.4
2017-06-28,30.85
2017-06-29,30.8
2017-06-30,30.8
2017-07-03,31.5
2017-07-04,31.35
2017-07-05,33.2
2017-07-06,34.9
2017-07-07,34.3
2017-07-10,33.95
2017-07-11,33.35
2017-07-12,32.75
2017-07-13,32.75
2017-07-14,35.75
2017-07-17,34.75
2017-07-18,32.85
2017-07-19,33.85
2017-07-20,33.65
2017-07-21,33.25
2017-07-24,33.8
2017-07-25,33.35
2017-07-26,33.35
2017-07-27,32.5
2017-07-28,32.7
2017-07-31,32.25
2017-08-01,32.05
2017-08-02,31.45
2017-08-03,31.05
2017-08-04,29.7
2017-08-07,31.1
2017-08-08,30.55
2017-08-09,29.5
2017-08-10,28.25
2017-08-11,27.8
2017-08-14,29.05
2017-08-16,29.1
2017-08-17,28.85
2017-08-18,29.05
2017-08-21,29.1
2017-08-22,29.15
2017-08-23,29.15
2017-08-24,29.0
2017-08-28,28.9
2017-08-29,27.85
2017-08-30,28.05
2017-08-31,28.75
2017-09-01,28.75
2017-09-04,28.6
2017-09-05,29.8
2017-09-06,31.4
2017-09-07,31.75
2017-09-08,30.45
2017-09-11,29.05
2017-09-12,29.45
2017-09-13,27.85
2017-09-14,29.1
2017-09-15,28.35
2017-09-18,28.95
2017-09-19,29.45
2017-09-20,30.2
2017-09-21,30.45
2017-09-22,29.4
2017-09-25,29.0
2017-09-26,28.9
2017-09-27,28.75
2017-09-28,31.05
2017-09-29,31.0
2017-10-03,31.65
2017-10-04,32.85
2017-10-05,34.9
2017-10-06,35.2
2017-10-09,34.95
2017-10-10,37.55
2017-10-11,37.35
2017-10-12,39.9
2017-10-13,39.0
2017-10-16,38.95
2017-10-17,37.1
2017-10-18,36.65
2017-10-19,36.75
2017-10-23,35.4
2017-10-24,34.95
2017-10-25,34.8
2017-10-26,35.5
2017-10-27,35.95
2017-10-30,38.35
2017-10-31,39.5
2017-11-01,38.55
2017-11-02,37.25
2017-11-03,37.35
2017-11-06,38.2
2017-11-07,37.9
2017-11-08,37.0
2017-11-09,37.35
2017-11-10,37.2
2017-11-13,36.65
2017-11-14,35.8
2017-11-15,34.9
2017-11-16,36.8
2017-11-17,37.1
2017-11-20,36.85
2017-11-21,36.7
2017-11-22,36.15
2017-11-23,35.9
2017-11-24,36.4
2017-11-27,36.05
2017-11-28,36.15
2017-11-29,36.6
2017-11-30,38.3
2017-12-01,41.95
2017-12-04,45.6
2017-12-05,45.1
2017-12-06,42.4
2017-12-07,45.85
2017-12-08,47.15
2017-12-11,45.95
2017-12-12,44.35
2017-12-13,41.75
2017-12-14,40.7
2017-12-15,41.0
2017-12-18,42.7
2017-12-19,45.9
2017-12-20,47.7
2017-12-21,49.95
2017-12-22,50.65
2017-12-26,51.5
2017-12-27,53.5
2017-12-28,63.75
2017-12-29,76.2
