Date,ARROWTEX
2017-01-02,37.75
2017-01-03,39.9
2017-01-04,42.25
2017-01-05,43.25
2017-01-06,41.75
2017-01-09,44.4
2017-01-10,44.2
2017-01-11,43.05
2017-01-12,42.3
2017-01-13,41.85
2017-01-16,42.25
2017-01-17,42.25
2017-01-18,42.2
2017-01-19,43.95
2017-01-20,42.3
2017-01-23,42.2
2017-01-24,42.3
2017-01-25,41.95
2017-01-27,41.85
2017-01-30,40.9
2017-01-31,40.65
2017-02-01,39.55
2017-02-02,42.85
2017-02-03,50.7
2017-02-06,52.85
2017-02-07,51.1
2017-02-08,50.75
2017-02-09,51.8
2017-02-10,48.6
2017-02-13,44.7
2017-02-14,44.6
2017-02-15,44.4
2017-02-16,45.6
2017-02-17,45.55
2017-02-20,45.5
2017-02-21,45.25
2017-02-22,45.15
2017-02-23,45.25
2017-02-27,44.95
2017-02-28,45.15
2017-03-01,44.55
2017-03-02,45.2
2017-03-03,45.15
2017-03-06,44.2
2017-03-07,44.85
2017-03-08,44.25
2017-03-09,44.3
2017-03-10,44.3
2017-03-14,43.8
2017-03-15,44.1
2017-03-16,44.3
2017-03-17,44.1
2017-03-20,44.05
2017-03-21,44.35
2017-03-22,43.85
2017-03-23,44.1
2017-03-24,44.1
2017-03-27,43.75
2017-03-28,44.0
2017-03-29,43.6
2017-03-30,44.25
2017-03-31,43.95
2017-04-03,44.35
2017-04-05,45.0
2017-04-06,44.7
2017-04-07,44.9
2017-04-10,48.5
2017-04-11,49.15
2017-04-12,46.85
2017-04-13,46.4
2017-04-17,47.5
2017-04-18,45.75
2017-04-19,46.0
2017-04-20,46.65
2017-04-21,51.3
2017-04-24,49.2
2017-04-25,49.5
2017-04-26,47.6
2017-04-27,47.75
2017-04-28,46.45
2017-05-02,46.0
2017-05-03,46.65
2017-05-04,46.2
2017-05-05,45.3
2017-05-08,48.95
2017-05-09,47.85
2017-05-10,47.75
2017-05-11,48.2
2017-05-12,46.3
2017-05-15,47.05
2017-05-16,49.25
2017-05-17,49.4
2017-05-18,47.7
2017-05-19,47.3
2017-05-22,46.6
2017-05-23,44.8
2017-05-24,43.8
2017-05-25,46.6
2017-05-26,47.0
2017-05-29,46.3
2017-05-30,45.8
2017-05-31,45.25
2017-06-01,46.05
2017-06-02,47.25
2017-06-05,47.35
2017-06-06,48.75
2017-06-07,47.45
2017-06-08,47.05
2017-06-09,47.1
2017-06-12,46.7
2017-06-13,47.05
2017-06-14,46.95
2017-06-15,47.2
2017-06-16,46.6
2017-06-19,46.15
2017-06-20,45.6
2017-06-21,45.7
2017-06-22,46.6
2017-06-23,45.8
2017-06-27,45.0
2017-06-28,44.9
2017-06-29,44.85
2017-06-30,44.85
2017-07-03,44.7
2017-07-04,45.35
2017-07-05,46.0
2017-07-06,45.3
2017-07-07,45.85
2017-07-10,46.25
2017-07-11,45.6
2017-07-12,46.1
2017-07-13,46.2
2017-07-14,45.25
2017-07-17,45.05
2017-07-18,45.35
2017-07-19,45.05
2017-07-20,45.25
2017-07-21,45.05
2017-07-24,44.9
2017-07-25,44.65
2017-07-26,44.85
2017-07-27,44.65
2017-07-28,44.8
2017-07-31,44.6
2017-08-01,44.95
2017-08-02,44.85
2017-08-03,44.15
2017-08-04,43.55
2017-08-07,43.7
2017-08-08,43.85
2017-08-09,43.25
2017-08-10,41.4
2017-08-11,40.45
2017-08-14,41.2
2017-08-16,42.1
2017-08-17,43.25
2017-08-18,42.6
2017-08-21,42.15
2017-08-22,41.8
2017-08-23,41.9
2017-08-24,41.9
2017-08-28,42.85
2017-08-29,42.4
2017-08-30,43.1
2017-08-31,43.35
2017-09-01,43.65
2017-09-04,44.0
2017-09-05,44.75
2017-09-06,48.7
2017-09-07,50.35
2017-09-08,47.65
2017-09-11,47.8
2017-09-12,46.75
2017-09-13,46.15
2017-09-14,48.25
2017-09-15,47.85
2017-09-18,46.35
2017-09-19,46.9
2017-09-20,46.4
2017-09-21,45.7
2017-09-22,44.35
2017-09-25,43.5
2017-09-26,43.55
2017-09-27,42.8
2017-09-28,41.4
2017-09-29,42.7
2017-10-03,41.5
2017-10-04,41.9
2017-10-05,41.85
2017-10-06,50.2
2017-10-09,54.55
2017-10-10,50.5
2017-10-11,48.4
2017-10-12,47.65
2017-10-13,47.45
2017-10-16,46.2
2017-10-17,45.0
2017-10-18,44.15
2017-10-19,45.05
2017-10-23,45.1
2017-10-24,45.2
2017-10-25,50.1
2017-10-26,52.35
2017-10-27,48.25
2017-10-30,49.2
2017-10-31,48.3
2017-11-01,48.15
2017-11-02,47.25
2017-11-03,47.85
2017-11-06,48.2
2017-11-07,46.85
2017-11-08,46.9
2017-11-09,46.35
2017-11-10,46.55
2017-11-13,46.55
2017-11-14,45.75
2017-11-15,44.65
2017-11-16,45.25
2017-11-17,45.85
2017-11-20,46.55
2017-11-21,46.55
2017-11-22,46.25
2017-11-23,46.0
2017-11-24,46.1
2017-11-27,47.65
2017-11-28,48.2
2017-11-29,47.95
2017-11-30,47.75
2017-12-01,47.15
2017-12-04,46.25
2017-12-05,46.7
2017-12-06,45.6
2017-12-07,47.55
2017-12-08,46.95
2017-12-11,46.35
2017-12-12,45.2
2017-12-13,44.35
2017-12-14,44.1
2017-12-15,44.95
2017-12-18,44.35
2017-12-19,45.2
2017-12-20,44.75
2017-12-21,46.5
2017-12-22,46.2
2017-12-26,46.15
2017-12-27,45.65
2017-12-28,45.15
2017-12-29,45.6
