Date,POKARNA
2017-01-02,908.0
2017-01-03,919.55
2017-01-04,916.95
2017-01-05,912.8
2017-01-06,913.25
2017-01-09,1089.2
2017-01-10,1042.85
2017-01-11,1037.05
2017-01-12,1043.55
2017-01-13,1029.85
2017-01-16,1130.05
2017-01-17,1143.25
2017-01-18,1214.95
2017-01-19,1262.7
2017-01-20,1207.0
2017-01-23,1220.25
2017-01-24,1200.3
2017-01-25,1195.15
2017-01-27,1190.15
2017-01-30,1148.05
2017-01-31,1159.2
2017-02-01,1163.6
2017-02-02,1192.3
2017-02-03,1170.8
2017-02-06,1192.2
2017-02-07,1192.9
2017-02-08,1170.6
2017-02-09,1190.6
2017-02-10,1224.05
2017-02-13,1098.0
2017-02-14,1133.9
2017-02-15,1114.1
2017-02-16,1131.35
2017-02-17,1097.55
2017-02-20,1088.1
2017-02-21,1090.05
2017-02-22,1072.3
2017-02-23,1058.8
2017-02-27,1050.5
2017-02-28,1090.05
2017-03-01,1121.35
2017-03-02,1102.45
2017-03-03,1099.65
2017-03-06,1107.3
2017-03-07,1104.45
2017-03-08,1083.15
2017-03-09,1092.1
2017-03-10,1096.95
2017-03-14,1097.35
2017-03-15,1115.2
2017-03-16,1093.15
2017-03-17,1095.35
2017-03-20,1090.7
2017-03-21,1087.9
2017-03-22,1066.95
2017-03-23,1061.7
2017-03-24,1055.15
2017-03-27,1037.15
2017-03-28,1008.7
2017-03-29,1007.15
2017-03-30,1029.2
2017-03-31,1045.0
2017-04-03,1238.05
2017-04-05,1239.05
2017-04-06,1251.95
2017-04-07,1235.6
2017-04-10,1226.2
2017-04-11,1331.05
2017-04-12,1277.05
2017-04-13,1344.15
2017-04-17,1430.35
2017-04-18,1408.0
2017-04-19,1421.15
2017-04-20,1432.95
2017-04-21,1423.4
2017-04-24,1427.85
2017-04-25,1566.4
2017-04-26,1533.85
2017-04-27,1506.1
2017-04-28,1483.95
2017-05-02,1529.35
2017-05-03,1540.3
2017-05-04,1546.35
2017-05-05,1530.25
2017-05-08,1541.95
2017-05-09,1516.35
2017-05-10,1516.7
2017-05-11,1497.45
2017-05-12,1442.7
2017-05-15,1515.3
2017-05-16,1512.55
2017-05-17,1522.2
2017-05-18,1498.25
2017-05-19,1481.5
2017-05-22,1490.1
2017-05-23,1471.55
2017-05-24,1410.35
2017-05-25,1391.55
2017-05-26,1409.65
2017-05-29,1394.6
2017-05-30,1395.25
2017-05-31,1395.3
2017-06-01,1425.8
2017-06-02,1464.65
2017-06-05,1408.3
2017-06-06,1387.8
2017-06-07,1395.75
2017-06-08,1389.95
2017-06-09,1389.65
2017-06-12,1406.0
2017-06-13,1393.4
2017-06-14,1377.85
2017-06-15,1377.55
2017-06-16,1375.25
2017-06-19,1358.75
2017-06-20,1342.45
2017-06-21,1321.4
2017-06-22,1361.4
2017-06-23,1343.95
2017-06-27,1334.95
2017-06-28,1342.8
2017-06-29,1347.05
2017-06-30,1347.85
2017-07-03,1359.55
2017-07-04,1363.05
2017-07-05,1380.65
2017-07-06,1380.55
2017-07-07,1373.5
2017-07-10,1390.95
2017-07-11,1379.4
2017-07-12,1399.45
2017-07-13,1387.3
2017-07-14,1399.5
2017-07-17,1382.3
2017-07-18,1385.3
2017-07-19,1368.35
2017-07-20,1365.1
2017-07-21,1364.5
2017-07-24,1378.35
2017-07-25,1357.4
2017-07-26,1371.05
2017-07-27,1349.95
2017-07-28,1323.35
2017-07-31,1291.2
2017-08-01,1311.6
2017-08-02,1293.95
2017-08-03,1281.3
2017-08-04,1296.0
2017-08-07,1307.75
2017-08-08,1294.25
2017-08-09,1227.55
2017-08-10,1220.6
2017-08-11,1189.35
2017-08-14,1227.95
2017-08-16,1231.9
2017-08-17,1228.7
2017-08-18,1205.5
2017-08-21,1179.15
2017-08-22,1167.5
2017-08-23,1199.2
2017-08-24,1241.35
2017-08-28,1261.75
2017-08-29,1257.65
2017-08-30,1268.0
2017-08-31,1269.6
2017-09-01,1260.7
2017-09-04,1257.85
2017-09-05,1278.85
2017-09-06,1279.3
2017-09-07,1273.85
2017-09-08,1266.65
2017-09-11,1269.1
2017-09-12,1257.2
2017-09-13,1220.05
2017-09-14,1220.8
2017-09-15,1175.0
2017-09-18,1150.2
2017-09-19,1099.4
2017-09-20,1059.25
2017-09-21,1087.5
2017-09-22,1054.95
2017-09-25,1015.2
2017-09-26,1013.5
2017-09-27,987.7
2017-09-28,995.25
2017-09-29,1021.2
2017-10-03,1040.15
2017-10-04,1026.5
2017-10-05,1028.95
2017-10-06,1057.25
2017-10-09,1070.6
2017-10-10,1065.85
2017-10-11,1031.8
2017-10-12,1054.4
2017-10-13,1039.0
2017-10-16,1019.3
2017-10-17,1040.6
2017-10-18,210.8
2017-10-19,209.2
2017-10-23,210.75
2017-10-24,216.5
2017-10-25,212.05
2017-10-26,211.4
2017-10-27,211.4
2017-10-30,213.95
2017-10-31,219.2
2017-11-01,218.6
2017-11-02,219.1
2017-11-03,217.8
2017-11-06,220.3
2017-11-07,219.3
2017-11-08,214.35
2017-11-09,214.9
2017-11-10,224.6
2017-11-13,222.95
2017-11-14,223.55
2017-11-15,224.15
2017-11-16,230.65
2017-11-17,225.45
2017-11-20,237.85
2017-11-21,228.55
2017-11-22,227.5
2017-11-23,229.9
2017-11-24,228.3
2017-11-27,227.5
2017-11-28,231.75
2017-11-29,227.95
2017-11-30,227.2
2017-12-01,227.9
2017-12-04,226.9
2017-12-05,222.85
2017-12-06,224.4
2017-12-07,205.35
2017-12-08,204.85
2017-12-11,204.15
2017-12-12,200.8
2017-12-13,202.5
2017-12-14,203.3
2017-12-15,205.25
2017-12-18,203.45
2017-12-19,201.5
2017-12-20,202.9
2017-12-21,207.15
2017-12-22,208.25
2017-12-26,223.45
2017-12-27,217.65
2017-12-28,215.15
2017-12-29,213.5
