Date,GTL
2017-01-02,16.8
2017-01-03,16.75
2017-01-04,16.55
2017-01-05,16.85
2017-01-06,16.45
2017-01-09,16.5
2017-01-10,16.65
2017-01-11,17.15
2017-01-12,17.0
2017-01-13,16.75
2017-01-16,17.2
2017-01-17,16.9
2017-01-18,16.8
2017-01-19,16.7
2017-01-20,16.25
2017-01-23,16.25
2017-01-24,16.05
2017-01-25,16.0
2017-01-27,16.2
2017-01-30,16.65
2017-01-31,16.2
2017-02-01,16.15
2017-02-02,16.05
2017-02-03,16.8
2017-02-06,17.45
2017-02-07,17.35
2017-02-08,18.1
2017-02-09,17.9
2017-02-10,17.45
2017-02-13,17.2
2017-02-14,16.65
2017-02-15,16.25
2017-02-16,16.55
2017-02-17,16.45
2017-02-20,17.15
2017-02-21,16.85
2017-02-22,17.05
2017-02-23,18.6
2017-02-27,19.05
2017-02-28,18.7
2017-03-01,19.1
2017-03-02,18.3
2017-03-03,18.2
2017-03-06,17.7
2017-03-07,17.6
2017-03-08,17.0
2017-03-09,17.0
2017-03-10,17.0
2017-03-14,16.85
2017-03-15,18.9
2017-03-16,18.1
2017-03-17,17.65
2017-03-20,17.9
2017-03-21,17.6
2017-03-22,17.2
2017-03-23,17.25
2017-03-24,17.15
2017-03-27,16.9
2017-03-28,16.85
2017-03-29,16.7
2017-03-30,17.4
2017-03-31,17.15
2017-04-03,17.15
2017-04-05,17.5
2017-04-06,17.65
2017-04-07,17.65
2017-04-10,17.6
2017-04-11,17.8
2017-04-12,17.25
2017-04-13,17.1
2017-04-17,17.7
2017-04-18,17.35
2017-04-19,17.4
2017-04-20,17.4
2017-04-21,17.25
2017-04-24,17.45
2017-04-25,17.3
2017-04-26,17.65
2017-04-27,17.75
2017-04-28,17.5
2017-05-02,17.1
2017-05-03,17.1
2017-05-04,17.1
2017-05-05,16.8
2017-05-08,16.8
2017-05-09,16.85
2017-05-10,17.0
2017-05-11,16.6
2017-05-12,16.35
2017-05-15,16.5
2017-05-16,16.3
2017-05-17,16.2
2017-05-18,16.0
2017-05-19,15.65
2017-05-22,15.1
2017-05-23,14.5
2017-05-24,14.1
2017-05-25,14.45
2017-05-26,14.85
2017-05-29,14.2
2017-05-30,14.05
2017-05-31,13.95
2017-06-01,13.9
2017-06-02,14.2
2017-06-05,14.15
2017-06-06,13.95
2017-06-07,13.85
2017-06-08,13.7
2017-06-09,13.6
2017-06-12,13.6
2017-06-13,13.55
2017-06-14,13.3
2017-06-15,13.15
2017-06-16,13.3
2017-06-19,13.0
2017-06-20,12.85
2017-06-21,12.85
2017-06-22,12.85
2017-06-23,12.8
2017-06-27,12.7
2017-06-28,12.7
2017-06-29,12.8
2017-06-30,12.75
2017-07-03,13.05
2017-07-04,13.35
2017-07-05,13.5
2017-07-06,13.75
2017-07-07,14.9
2017-07-10,14.9
2017-07-11,17.4
2017-07-12,16.6
2017-07-13,16.4
2017-07-14,15.7
2017-07-17,17.05
2017-07-18,16.4
2017-07-19,16.85
2017-07-20,16.55
2017-07-21,16.95
2017-07-24,16.95
2017-07-25,16.8
2017-07-26,18.1
2017-07-27,17.3
2017-07-28,17.25
2017-07-31,16.95
2017-08-01,17.25
2017-08-02,16.8
2017-08-03,16.2
2017-08-04,15.85
2017-08-07,16.1
2017-08-08,16.85
2017-08-09,15.8
2017-08-10,14.55
2017-08-11,14.45
2017-08-14,16.0
2017-08-16,15.75
2017-08-17,15.85
2017-08-18,15.55
2017-08-21,15.35
2017-08-22,15.0
2017-08-23,15.1
2017-08-24,15.05
2017-08-28,15.2
2017-08-29,14.7
2017-08-30,15.2
2017-08-31,15.1
2017-09-01,15.35
2017-09-04,15.1
2017-09-05,15.4
2017-09-06,17.1
2017-09-07,17.05
2017-09-08,16.3
2017-09-11,16.15
2017-09-12,16.2
2017-09-13,15.9
2017-09-14,16.5
2017-09-15,16.45
2017-09-18,16.75
2017-09-19,16.6
2017-09-20,16.5
2017-09-21,16.25
2017-09-22,15.5
2017-09-25,15.0
2017-09-26,15.05
2017-09-27,14.9
2017-09-28,14.85
2017-09-29,14.85
2017-10-03,14.3
2017-10-04,14.4
2017-10-05,14.4
2017-10-06,14.65
2017-10-09,14.6
2017-10-10,14.5
2017-10-11,14.5
2017-10-12,14.5
2017-10-13,14.5
2017-10-16,14.35
2017-10-17,15.55
2017-10-18,15.35
2017-10-19,15.3
2017-10-23,15.95
2017-10-24,15.65
2017-10-25,15.7
2017-10-26,16.05
2017-10-27,15.8
2017-10-30,16.0
2017-10-31,15.8
2017-11-01,15.95
2017-11-02,15.55
2017-11-03,16.1
2017-11-06,16.15
2017-11-07,15.9
2017-11-08,14.8
2017-11-09,14.55
2017-11-10,14.4
2017-11-13,14.3
2017-11-14,14.15
2017-11-15,13.75
2017-11-16,14.2
2017-11-17,14.75
2017-11-20,14.7
2017-11-21,14.6
2017-11-22,14.75
2017-11-23,14.6
2017-11-24,14.7
2017-11-27,14.7
2017-11-28,14.65
2017-11-29,15.15
2017-11-30,15.0
2017-12-01,14.6
2017-12-04,14.4
2017-12-05,14.4
2017-12-06,14.25
2017-12-07,14.45
2017-12-08,14.55
2017-12-11,14.5
2017-12-12,14.35
2017-12-13,14.3
2017-12-14,14.1
2017-12-15,14.0
2017-12-18,13.9
2017-12-19,14.05
2017-12-20,14.35
2017-12-21,15.05
2017-12-22,15.25
2017-12-26,15.7
2017-12-27,15.35
2017-12-28,15.8
2017-12-29,17.25
