Date,PRICOLLTD
2017-02-27,90.9
2017-02-28,87.7
2017-03-01,89.45
2017-03-02,86.75
2017-03-03,84.2
2017-03-06,84.25
2017-03-07,84.25
2017-03-08,81.0
2017-03-09,81.25
2017-03-10,77.75
2017-03-14,78.75
2017-03-15,80.6
2017-03-16,85.75
2017-03-17,83.35
2017-03-20,85.05
2017-03-21,84.45
2017-03-22,83.35
2017-03-23,83.2
2017-03-24,81.95
2017-03-27,80.2
2017-03-28,81.45
2017-03-29,78.25
2017-03-30,79.1
2017-03-31,79.05
2017-04-03,86.45
2017-04-05,90.8
2017-04-06,89.4
2017-04-07,90.55
2017-04-10,89.05
2017-04-11,88.3
2017-04-12,87.4
2017-04-13,89.55
2017-04-17,91.3
2017-04-18,87.5
2017-04-19,87.75
2017-04-20,89.05
2017-04-21,88.0
2017-04-24,88.15
2017-04-25,87.35
2017-04-26,85.8
2017-04-27,84.45
2017-04-28,84.5
2017-05-02,84.65
2017-05-03,85.5
2017-05-04,84.6
2017-05-05,82.95
2017-05-08,83.4
2017-05-09,83.85
2017-05-10,84.0
2017-05-11,84.75
2017-05-12,83.5
2017-05-15,84.6
2017-05-16,84.35
2017-05-17,83.95
2017-05-18,82.45
2017-05-19,81.05
2017-05-22,79.7
2017-05-23,78.55
2017-05-24,78.15
2017-05-25,80.0
2017-05-26,80.6
2017-05-29,80.6
2017-05-30,79.3
2017-05-31,78.3
2017-06-01,78.95
2017-06-02,78.15
2017-06-05,78.95
2017-06-06,81.85
2017-06-07,80.3
2017-06-08,79.75
2017-06-09,82.95
2017-06-12,80.25
2017-06-13,80.0
2017-06-14,79.95
2017-06-15,82.55
2017-06-16,82.5
2017-06-19,83.25
2017-06-20,81.6
2017-06-21,81.2
2017-06-22,81.0
2017-06-23,79.6
2017-06-27,81.15
2017-06-28,79.4
2017-06-29,81.0
2017-06-30,80.1
2017-07-03,80.85
2017-07-04,80.35
2017-07-05,81.0
2017-07-06,80.5
2017-07-07,82.4
2017-07-10,82.5
2017-07-11,81.4
2017-07-12,82.5
2017-07-13,90.45
2017-07-14,91.95
2017-07-17,89.65
2017-07-18,88.15
2017-07-19,89.0
2017-07-20,90.4
2017-07-21,90.65
2017-07-24,90.5
2017-07-25,89.75
2017-07-26,89.15
2017-07-27,86.85
2017-07-28,88.25
2017-07-31,89.6
2017-08-01,87.8
2017-08-02,86.9
2017-08-03,87.8
2017-08-04,87.35
2017-08-07,85.6
2017-08-08,87.0
2017-08-09,85.0
2017-08-10,84.4
2017-08-11,82.25
2017-08-14,82.0
2017-08-16,82.75
2017-08-17,82.45
2017-08-18,81.65
2017-08-21,81.65
2017-08-22,81.25
2017-08-23,79.05
2017-08-24,79.55
2017-08-28,81.05
2017-08-29,81.05
2017-08-30,81.5
2017-08-31,80.6
2017-09-01,80.8
2017-09-04,80.9
2017-09-05,80.55
2017-09-06,81.35
2017-09-07,87.9
2017-09-08,86.6
2017-09-11,90.05
2017-09-12,90.0
2017-09-13,87.1
2017-09-14,87.5
2017-09-15,86.1
2017-09-18,86.9
2017-09-19,86.3
2017-09-20,90.8
2017-09-21,88.8
2017-09-22,86.2
2017-09-25,85.65
2017-09-26,87.65
2017-09-27,84.4
2017-09-28,84.8
2017-09-29,84.9
2017-10-03,84.8
2017-10-04,84.8
2017-10-05,89.1
2017-10-06,88.05
2017-10-09,86.45
2017-10-10,86.6
2017-10-11,85.55
2017-10-12,86.0
2017-10-13,86.15
2017-10-16,89.9
2017-10-17,89.1
2017-10-18,87.5
2017-10-19,87.65
2017-10-23,88.65
2017-10-24,88.4
2017-10-25,87.7
2017-10-26,88.05
2017-10-27,88.7
2017-10-30,89.5
2017-10-31,102.5
2017-11-01,98.75
2017-11-02,100.0
2017-11-03,99.55
2017-11-06,99.05
2017-11-07,96.25
2017-11-08,94.5
2017-11-09,99.65
2017-11-10,100.25
2017-11-13,91.95
2017-11-14,88.9
2017-11-15,86.85
2017-11-16,91.05
2017-11-17,98.8
2017-11-20,107.7
2017-11-21,105.7
2017-11-22,113.05
2017-11-23,111.65
2017-11-24,116.05
2017-11-27,119.8
2017-11-28,117.95
2017-11-29,115.65
2017-11-30,116.55
2017-12-01,115.1
2017-12-04,113.55
2017-12-05,116.35
2017-12-06,113.0
2017-12-07,121.3
2017-12-08,122.1
2017-12-11,117.1
2017-12-12,116.9
2017-12-13,115.8
2017-12-14,115.35
2017-12-15,113.8
2017-12-18,112.7
2017-12-19,117.85
2017-12-20,118.4
2017-12-21,118.8
2017-12-22,116.4
2017-12-26,115.3
2017-12-27,114.95
2017-12-28,114.3
2017-12-29,115.2
