Date,NITESHEST
2017-01-02,10.15
2017-01-03,10.4
2017-01-04,10.05
2017-01-05,9.8
2017-01-06,10.0
2017-01-09,9.75
2017-01-10,9.7
2017-01-11,9.7
2017-01-12,9.3
2017-01-13,9.2
2017-01-16,9.2
2017-01-17,9.25
2017-01-18,9.15
2017-01-19,9.1
2017-01-20,8.9
2017-01-23,8.65
2017-01-24,8.3
2017-01-25,8.3
2017-01-27,9.15
2017-01-30,9.2
2017-01-31,9.05
2017-02-01,9.0
2017-02-02,8.85
2017-02-03,8.8
2017-02-06,8.95
2017-02-07,9.0
2017-02-08,8.65
2017-02-09,8.6
2017-02-10,8.2
2017-02-13,7.8
2017-02-14,7.65
2017-02-15,7.6
2017-02-16,7.4
2017-02-17,7.65
2017-02-20,7.85
2017-02-21,7.9
2017-02-22,7.85
2017-02-23,8.05
2017-02-27,8.45
2017-02-28,8.55
2017-03-01,8.85
2017-03-02,8.45
2017-03-03,8.3
2017-03-06,8.45
2017-03-07,8.2
2017-03-08,8.15
2017-03-09,8.05
2017-03-10,8.1
2017-03-14,8.0
2017-03-15,7.95
2017-03-16,7.9
2017-03-17,7.8
2017-03-20,7.85
2017-03-21,7.8
2017-03-22,8.0
2017-03-23,8.2
2017-03-24,8.15
2017-03-27,8.3
2017-03-28,8.55
2017-03-29,8.2
2017-03-30,8.55
2017-03-31,8.4
2017-04-03,8.2
2017-04-05,9.8
2017-04-06,9.45
2017-04-07,9.55
2017-04-10,9.5
2017-04-11,9.4
2017-04-12,9.05
2017-04-13,9.35
2017-04-17,11.1
2017-04-18,11.05
2017-04-19,11.3
2017-04-20,10.6
2017-04-21,11.1
2017-04-24,11.55
2017-04-25,11.55
2017-04-26,11.0
2017-04-27,11.35
2017-04-28,11.3
2017-05-02,11.0
2017-05-03,10.8
2017-05-04,10.95
2017-05-05,10.4
2017-05-08,10.45
2017-05-09,10.8
2017-05-10,10.7
2017-05-11,10.55
2017-05-12,10.5
2017-05-15,10.25
2017-05-16,10.3
2017-05-17,10.35
2017-05-18,10.05
2017-05-19,9.95
2017-05-22,9.8
2017-05-23,9.45
2017-05-24,9.05
2017-05-25,9.15
2017-05-26,9.1
2017-05-29,8.65
2017-05-30,8.65
2017-05-31,9.05
2017-06-01,8.65
2017-06-02,9.1
2017-06-05,9.1
2017-06-06,9.05
2017-06-07,9.2
2017-06-08,8.85
2017-06-09,9.15
2017-06-12,9.05
2017-06-13,9.2
2017-06-14,9.1
2017-06-15,8.95
2017-06-16,8.85
2017-06-19,8.85
2017-06-20,8.8
2017-06-21,8.85
2017-06-22,8.9
2017-06-23,8.7
2017-06-27,8.6
2017-06-28,8.55
2017-06-29,8.75
2017-06-30,8.75
2017-07-03,8.8
2017-07-04,8.75
2017-07-05,8.85
2017-07-06,8.75
2017-07-07,8.85
2017-07-10,8.9
2017-07-11,8.75
2017-07-12,8.85
2017-07-13,9.15
2017-07-14,9.0
2017-07-17,8.95
2017-07-18,8.8
2017-07-19,8.75
2017-07-20,8.85
2017-07-21,8.75
2017-07-24,8.8
2017-07-25,10.15
2017-07-26,9.65
2017-07-27,9.7
2017-07-28,9.8
2017-07-31,9.5
2017-08-01,9.7
2017-08-02,9.4
2017-08-03,9.0
2017-08-04,8.9
2017-08-07,9.05
2017-08-08,8.7
2017-08-09,8.65
2017-08-10,8.85
2017-08-11,8.75
2017-08-14,9.0
2017-08-16,9.0
2017-08-17,9.0
2017-08-18,8.9
2017-08-21,9.0
2017-08-22,8.8
2017-08-23,8.75
2017-08-24,8.75
2017-08-28,8.95
2017-08-29,8.75
2017-08-30,8.85
2017-08-31,8.8
2017-09-01,8.75
2017-09-04,8.75
2017-09-05,8.8
2017-09-06,8.75
2017-09-07,8.85
2017-09-08,9.65
2017-09-11,9.3
2017-09-12,9.7
2017-09-13,9.65
2017-09-14,10.3
2017-09-15,9.7
2017-09-18,9.5
2017-09-19,9.4
2017-09-20,9.2
2017-09-21,9.3
2017-09-22,9.0
2017-09-25,8.9
2017-09-26,8.9
2017-09-27,8.75
2017-09-28,8.8
2017-09-29,9.0
2017-10-03,8.9
2017-10-04,8.9
2017-10-05,9.5
2017-10-06,9.2
2017-10-09,9.3
2017-10-10,9.3
2017-10-11,9.1
2017-10-12,9.0
2017-10-13,9.0
2017-10-16,9.0
2017-10-17,9.2
2017-10-18,9.25
2017-10-19,9.2
2017-10-23,9.5
2017-10-24,9.2
2017-10-25,9.25
2017-10-26,10.5
2017-10-27,10.4
2017-10-30,10.45
2017-10-31,11.45
2017-11-01,12.4
2017-11-02,12.1
2017-11-03,11.65
2017-11-06,11.25
2017-11-07,10.6
2017-11-08,10.65
2017-11-09,10.6
2017-11-10,10.8
2017-11-13,10.3
2017-11-14,10.6
2017-11-15,10.25
2017-11-16,10.5
2017-11-17,11.0
2017-11-20,10.95
2017-11-21,11.0
2017-11-22,10.75
2017-11-23,10.95
2017-11-24,11.25
2017-11-27,13.25
2017-11-28,14.15
2017-11-29,13.1
2017-11-30,12.95
2017-12-01,12.05
2017-12-04,12.0
2017-12-05,11.8
2017-12-06,11.95
2017-12-07,11.9
2017-12-08,11.85
2017-12-11,11.8
2017-12-12,11.9
2017-12-13,11.1
2017-12-14,10.95
2017-12-15,11.25
2017-12-18,11.15
2017-12-19,11.15
2017-12-20,11.9
2017-12-21,12.3
2017-12-22,11.8
2017-12-26,11.75
2017-12-27,12.1
2017-12-28,13.5
2017-12-29,13.8
