Date,JPPOWER
2017-01-02,4.0
2017-01-03,4.05
2017-01-04,4.15
2017-01-05,4.3
2017-01-06,4.15
2017-01-09,4.1
2017-01-10,4.1
2017-01-11,4.15
2017-01-12,4.15
2017-01-13,4.05
2017-01-16,4.0
2017-01-17,4.0
2017-01-18,4.0
2017-01-19,4.0
2017-01-20,3.95
2017-01-23,3.95
2017-01-24,4.0
2017-01-25,4.0
2017-01-27,4.0
2017-01-30,4.15
2017-01-31,4.95
2017-02-01,5.85
2017-02-02,5.7
2017-02-03,6.15
2017-02-06,6.55
2017-02-07,6.0
2017-02-08,6.05
2017-02-09,6.0
2017-02-10,5.95
2017-02-13,5.7
2017-02-14,5.25
2017-02-15,4.95
2017-02-16,5.4
2017-02-17,5.9
2017-02-20,6.15
2017-02-21,5.9
2017-02-22,5.75
2017-02-23,6.0
2017-02-27,6.2
2017-02-28,6.15
2017-03-01,6.2
2017-03-02,5.8
2017-03-03,5.7
2017-03-06,5.7
2017-03-07,5.75
2017-03-08,5.8
2017-03-09,5.85
2017-03-10,5.8
2017-03-14,5.55
2017-03-15,5.65
2017-03-16,5.55
2017-03-17,5.4
2017-03-20,5.15
2017-03-21,5.4
2017-03-22,5.25
2017-03-23,5.25
2017-03-24,5.2
2017-03-27,5.15
2017-03-28,5.05
2017-03-29,4.95
2017-03-30,5.0
2017-03-31,5.0
2017-04-03,5.05
2017-04-05,5.0
2017-04-06,4.95
2017-04-07,4.85
2017-04-10,4.85
2017-04-11,4.75
2017-04-12,4.75
2017-04-13,4.7
2017-04-17,4.65
2017-04-18,4.7
2017-04-19,4.7
2017-04-20,4.7
2017-04-21,4.8
2017-04-24,5.05
2017-04-25,4.95
2017-04-26,4.9
2017-04-27,4.9
2017-04-28,4.85
2017-05-02,4.85
2017-05-03,4.75
2017-05-04,4.75
2017-05-05,4.65
2017-05-08,4.65
2017-05-09,4.65
2017-05-10,4.7
2017-05-11,4.65
2017-05-12,4.65
2017-05-15,4.65
2017-05-16,4.65
2017-05-17,4.6
2017-05-18,4.65
2017-05-19,4.6
2017-05-22,4.5
2017-05-23,4.25
2017-05-24,4.0
2017-05-25,4.25
2017-05-26,4.45
2017-05-29,4.2
2017-05-30,4.15
2017-05-31,4.15
2017-06-01,4.15
2017-06-02,4.2
2017-06-05,4.3
2017-06-06,4.2
2017-06-07,4.15
2017-06-08,4.15
2017-06-09,4.15
2017-06-12,4.15
2017-06-13,4.25
2017-06-14,4.2
2017-06-15,4.25
2017-06-16,4.2
2017-06-19,4.15
2017-06-20,4.15
2017-06-21,4.1
2017-06-22,4.25
2017-06-23,4.6
2017-06-27,5.4
2017-06-28,5.25
2017-06-29,5.45
2017-06-30,5.6
2017-07-03,5.35
2017-07-04,5.05
2017-07-05,5.25
2017-07-06,5.1
2017-07-07,5.3
2017-07-10,5.45
2017-07-11,5.2
2017-07-12,5.05
2017-07-13,4.95
2017-07-14,4.9
2017-07-17,5.05
2017-07-18,4.95
2017-07-19,5.0
2017-07-20,4.95
2017-07-21,5.45
2017-07-24,6.5
2017-07-25,7.8
2017-07-26,8.35
2017-07-27,7.55
2017-07-28,7.4
2017-07-31,7.4
2017-08-01,7.65
2017-08-02,7.05
2017-08-03,6.6
2017-08-04,7.2
2017-08-07,7.5
2017-08-08,6.85
2017-08-09,6.8
2017-08-10,6.25
2017-08-11,5.7
2017-08-14,5.65
2017-08-16,5.9
2017-08-17,6.15
2017-08-18,5.95
2017-08-21,5.95
2017-08-22,5.75
2017-08-23,5.65
2017-08-24,5.9
2017-08-28,5.85
2017-08-29,5.9
2017-08-30,6.0
2017-08-31,5.9
2017-09-01,5.95
2017-09-04,6.2
2017-09-05,6.5
2017-09-06,6.8
2017-09-07,7.1
2017-09-08,7.15
2017-09-11,7.45
2017-09-12,7.8
2017-09-13,8.05
2017-09-14,7.65
2017-09-15,7.3
2017-09-18,7.0
2017-09-19,7.35
2017-09-20,7.7
2017-09-21,7.35
2017-09-22,7.5
2017-09-25,7.3
2017-09-26,7.35
2017-09-27,7.0
2017-09-28,6.85
2017-09-29,7.15
2017-10-03,7.45
2017-10-04,7.45
2017-10-05,7.5
2017-10-06,7.65
2017-10-09,7.6
2017-10-10,7.45
2017-10-11,7.25
2017-10-12,7.3
2017-10-13,7.3
2017-10-16,8.0
2017-10-17,8.4
2017-10-18,8.45
2017-10-19,8.35
2017-10-23,8.45
2017-10-24,8.2
2017-10-25,8.0
2017-10-26,7.95
2017-10-27,8.0
2017-10-30,8.05
2017-10-31,7.95
2017-11-01,7.9
2017-11-02,7.8
2017-11-03,8.1
2017-11-06,7.8
2017-11-07,7.45
2017-11-08,7.25
2017-11-09,7.45
2017-11-10,7.35
2017-11-13,7.9
2017-11-14,7.65
2017-11-15,7.2
2017-11-16,7.25
2017-11-17,7.2
2017-11-20,7.2
2017-11-21,7.1
2017-11-22,7.25
2017-11-23,7.15
2017-11-24,7.15
2017-11-27,7.05
2017-11-28,7.05
2017-11-29,7.0
2017-11-30,7.0
2017-12-01,6.85
2017-12-04,6.7
2017-12-05,6.85
2017-12-06,6.8
2017-12-07,6.85
2017-12-08,7.2
2017-12-11,7.3
2017-12-12,7.25
2017-12-13,6.95
2017-12-14,6.7
2017-12-15,6.7
2017-12-18,6.85
2017-12-19,6.9
2017-12-20,6.95
2017-12-21,7.15
2017-12-22,6.95
2017-12-26,7.15
2017-12-27,7.25
2017-12-28,7.9
2017-12-29,9.45
