Date,JBMA
2017-01-02,236.8
2017-01-03,234.9
2017-01-04,235.25
2017-01-05,248.0
2017-01-06,242.95
2017-01-09,245.15
2017-01-10,246.6
2017-01-11,260.1
2017-01-12,252.3
2017-01-13,257.4
2017-01-16,257.0
2017-01-17,264.75
2017-01-18,261.3
2017-01-19,260.85
2017-01-20,255.25
2017-01-23,259.5
2017-01-24,262.65
2017-01-25,258.95
2017-01-27,256.35
2017-01-30,254.0
2017-01-31,245.7
2017-02-01,254.0
2017-02-02,254.75
2017-02-03,252.55
2017-02-06,260.25
2017-02-07,254.85
2017-02-08,266.25
2017-02-09,267.1
2017-02-10,277.6
2017-02-13,281.25
2017-02-14,273.85
2017-02-15,270.75
2017-02-16,276.45
2017-02-17,275.8
2017-02-20,271.7
2017-02-21,271.8
2017-02-22,267.7
2017-02-23,268.5
2017-02-27,277.75
2017-02-28,279.7
2017-03-01,280.15
2017-03-02,274.9
2017-03-03,273.75
2017-03-06,270.45
2017-03-07,271.35
2017-03-08,269.3
2017-03-09,264.0
2017-03-10,260.65
2017-03-14,262.75
2017-03-15,271.65
2017-03-16,277.3
2017-03-17,271.45
2017-03-20,281.45
2017-03-21,279.15
2017-03-22,275.35
2017-03-23,276.1
2017-03-24,280.7
2017-03-27,276.4
2017-03-28,278.0
2017-03-29,277.7
2017-03-30,277.3
2017-03-31,275.95
2017-04-03,280.05
2017-04-05,283.85
2017-04-06,281.45
2017-04-07,273.9
2017-04-10,269.5
2017-04-11,274.6
2017-04-12,268.25
2017-04-13,268.25
2017-04-17,266.75
2017-04-18,264.45
2017-04-19,265.2
2017-04-20,275.0
2017-04-21,282.5
2017-04-24,283.55
2017-04-25,284.8
2017-04-26,278.9
2017-04-27,280.4
2017-04-28,278.45
2017-05-02,277.35
2017-05-03,275.15
2017-05-04,273.95
2017-05-05,275.25
2017-05-08,273.9
2017-05-09,276.4
2017-05-10,278.4
2017-05-11,273.6
2017-05-12,276.65
2017-05-15,285.15
2017-05-16,281.4
2017-05-17,285.0
2017-05-18,281.35
2017-05-19,280.6
2017-05-22,279.7
2017-05-23,275.8
2017-05-24,269.95
2017-05-25,277.45
2017-05-26,284.3
2017-05-29,282.15
2017-05-30,282.0
2017-05-31,273.8
2017-06-01,273.4
2017-06-02,272.3
2017-06-05,269.55
2017-06-06,268.4
2017-06-07,269.0
2017-06-08,267.7
2017-06-09,271.7
2017-06-12,268.1
2017-06-13,273.3
2017-06-14,286.2
2017-06-15,282.05
2017-06-16,282.15
2017-06-19,277.3
2017-06-20,280.5
2017-06-21,275.4
2017-06-22,273.65
2017-06-23,269.2
2017-06-27,262.45
2017-06-28,264.4
2017-06-29,264.35
2017-06-30,262.15
2017-07-03,277.2
2017-07-04,291.85
2017-07-05,286.55
2017-07-06,342.9
2017-07-07,369.8
2017-07-10,365.0
2017-07-11,350.9
2017-07-12,356.9
2017-07-13,364.65
2017-07-14,365.65
2017-07-17,367.9
2017-07-18,359.55
2017-07-19,355.55
2017-07-20,364.2
2017-07-21,363.3
2017-07-24,355.65
2017-07-25,355.9
2017-07-26,354.7
2017-07-27,348.5
2017-07-28,345.75
2017-07-31,352.35
2017-08-01,350.2
2017-08-02,344.45
2017-08-03,333.65
2017-08-04,331.35
2017-08-07,360.25
2017-08-08,344.8
2017-08-09,335.75
2017-08-10,313.5
2017-08-11,308.15
2017-08-14,323.65
2017-08-16,335.7
2017-08-17,334.8
2017-08-18,343.35
2017-08-21,343.85
2017-08-22,338.1
2017-08-23,342.95
2017-08-24,343.55
2017-08-28,342.9
2017-08-29,346.35
2017-08-30,368.1
2017-08-31,401.1
2017-09-01,403.7
2017-09-04,421.95
2017-09-05,408.9
2017-09-06,413.3
2017-09-07,411.2
2017-09-08,429.05
2017-09-11,512.5
2017-09-12,575.5
2017-09-13,552.45
2017-09-14,588.35
2017-09-15,599.2
2017-09-18,612.85
2017-09-19,610.2
2017-09-20,595.1
2017-09-21,590.15
2017-09-22,575.9
2017-09-25,523.65
2017-09-26,557.95
2017-09-27,547.95
2017-09-28,551.5
2017-09-29,550.55
2017-10-03,570.55
2017-10-04,578.75
2017-10-05,569.6
2017-10-06,572.6
2017-10-09,549.75
2017-10-10,557.55
2017-10-11,544.35
2017-10-12,541.35
2017-10-13,537.55
2017-10-16,546.3
2017-10-17,543.2
2017-10-18,535.35
2017-10-19,538.65
2017-10-23,522.5
2017-10-24,522.85
2017-10-25,526.8
2017-10-26,519.25
2017-10-27,534.0
2017-10-30,535.95
2017-10-31,538.7
2017-11-01,537.4
2017-11-02,556.1
2017-11-03,557.45
2017-11-06,550.05
2017-11-07,541.55
2017-11-08,532.3
2017-11-09,525.05
2017-11-10,513.2
2017-11-13,493.4
2017-11-14,487.15
2017-11-15,519.0
2017-11-16,538.65
2017-11-17,540.25
2017-11-20,543.65
2017-11-21,535.7
2017-11-22,532.3
2017-11-23,535.95
2017-11-24,531.65
2017-11-27,535.2
2017-11-28,528.8
2017-11-29,525.45
2017-11-30,519.2
2017-12-01,533.65
2017-12-04,518.45
2017-12-05,519.4
2017-12-06,512.0
2017-12-07,518.4
2017-12-08,521.6
2017-12-11,524.65
2017-12-12,525.15
2017-12-13,512.5
2017-12-14,507.35
2017-12-15,506.4
2017-12-18,500.4
2017-12-19,501.9
2017-12-20,533.05
2017-12-21,553.5
2017-12-22,557.75
2017-12-26,562.05
2017-12-27,554.3
2017-12-28,553.5
2017-12-29,549.4
