Date,LOVABLE
2017-01-02,249.7
2017-01-03,252.25
2017-01-04,250.65
2017-01-05,254.2
2017-01-06,247.85
2017-01-09,248.05
2017-01-10,249.9
2017-01-11,249.6
2017-01-12,244.45
2017-01-13,244.4
2017-01-16,246.2
2017-01-17,249.55
2017-01-18,249.85
2017-01-19,250.15
2017-01-20,244.35
2017-01-23,244.8
2017-01-24,244.4
2017-01-25,245.85
2017-01-27,244.45
2017-01-30,245.05
2017-01-31,244.5
2017-02-01,244.15
2017-02-02,243.15
2017-02-03,242.95
2017-02-06,243.6
2017-02-07,242.5
2017-02-08,242.9
2017-02-09,251.4
2017-02-10,253.15
2017-02-13,250.1
2017-02-14,238.6
2017-02-15,233.85
2017-02-16,230.3
2017-02-17,229.35
2017-02-20,230.35
2017-02-21,229.4
2017-02-22,235.65
2017-02-23,233.25
2017-02-27,232.0
2017-02-28,233.95
2017-03-01,235.65
2017-03-02,231.85
2017-03-03,230.65
2017-03-06,231.75
2017-03-07,230.85
2017-03-08,227.45
2017-03-09,224.85
2017-03-10,227.95
2017-03-14,228.45
2017-03-15,231.85
2017-03-16,232.05
2017-03-17,238.35
2017-03-20,236.7
2017-03-21,233.55
2017-03-22,236.85
2017-03-23,238.95
2017-03-24,235.5
2017-03-27,235.05
2017-03-28,241.45
2017-03-29,244.05
2017-03-30,249.8
2017-03-31,246.2
2017-04-03,250.3
2017-04-05,250.1
2017-04-06,246.8
2017-04-07,245.7
2017-04-10,249.2
2017-04-11,249.15
2017-04-12,245.75
2017-04-13,245.2
2017-04-17,245.1
2017-04-18,243.55
2017-04-19,241.5
2017-04-20,244.45
2017-04-21,254.3
2017-04-24,263.05
2017-04-25,265.85
2017-04-26,256.1
2017-04-27,256.7
2017-04-28,255.7
2017-05-02,257.55
2017-05-03,259.85
2017-05-04,260.0
2017-05-05,255.2
2017-05-08,254.8
2017-05-09,253.75
2017-05-10,252.1
2017-05-11,249.9
2017-05-12,251.35
2017-05-15,257.65
2017-05-16,255.15
2017-05-17,253.45
2017-05-18,247.05
2017-05-19,246.1
2017-05-22,242.65
2017-05-23,237.35
2017-05-24,229.55
2017-05-25,232.55
2017-05-26,239.2
2017-05-29,235.4
2017-05-30,220.25
2017-05-31,217.0
2017-06-01,220.6
2017-06-02,232.8
2017-06-05,230.05
2017-06-06,231.85
2017-06-07,230.05
2017-06-08,233.15
2017-06-09,231.0
2017-06-12,229.05
2017-06-13,228.35
2017-06-14,256.9
2017-06-15,267.25
2017-06-16,263.55
2017-06-19,273.1
2017-06-20,268.85
2017-06-21,268.75
2017-06-22,262.7
2017-06-23,253.35
2017-06-27,243.8
2017-06-28,241.05
2017-06-29,248.15
2017-06-30,243.4
2017-07-03,248.8
2017-07-04,257.5
2017-07-05,260.2
2017-07-06,258.45
2017-07-07,257.5
2017-07-10,257.8
2017-07-11,257.35
2017-07-12,263.7
2017-07-13,259.95
2017-07-14,255.95
2017-07-17,255.25
2017-07-18,255.55
2017-07-19,255.1
2017-07-20,253.0
2017-07-21,252.0
2017-07-24,250.9
2017-07-25,251.5
2017-07-26,255.9
2017-07-27,250.75
2017-07-28,249.35
2017-07-31,249.6
2017-08-01,249.7
2017-08-02,247.0
2017-08-03,240.7
2017-08-04,240.5
2017-08-07,242.8
2017-08-08,237.2
2017-08-09,230.55
2017-08-10,223.05
2017-08-11,220.05
2017-08-14,225.65
2017-08-16,222.2
2017-08-17,228.0
2017-08-18,225.0
2017-08-21,223.35
2017-08-22,223.4
2017-08-23,224.75
2017-08-24,232.2
2017-08-28,236.1
2017-08-29,233.15
2017-08-30,236.15
2017-08-31,235.5
2017-09-01,234.5
2017-09-04,231.2
2017-09-05,235.55
2017-09-06,236.75
2017-09-07,236.45
2017-09-08,238.45
2017-09-11,239.55
2017-09-12,239.0
2017-09-13,238.25
2017-09-14,237.5
2017-09-15,238.9
2017-09-18,238.55
2017-09-19,243.15
2017-09-20,243.8
2017-09-21,240.6
2017-09-22,232.1
2017-09-25,226.3
2017-09-26,229.45
2017-09-27,224.0
2017-09-28,225.3
2017-09-29,245.75
2017-10-03,243.0
2017-10-04,246.95
2017-10-05,247.2
2017-10-06,251.1
2017-10-09,240.65
2017-10-10,239.1
2017-10-11,232.1
2017-10-12,233.9
2017-10-13,231.85
2017-10-16,232.3
2017-10-17,233.6
2017-10-18,233.4
2017-10-19,233.65
2017-10-23,233.75
2017-10-24,230.85
2017-10-25,230.3
2017-10-26,231.3
2017-10-27,230.95
2017-10-30,231.8
2017-10-31,231.75
2017-11-01,231.95
2017-11-02,232.65
2017-11-03,235.5
2017-11-06,236.75
2017-11-07,233.85
2017-11-08,232.2
2017-11-09,233.5
2017-11-10,230.85
2017-11-13,232.35
2017-11-14,229.2
2017-11-15,226.6
2017-11-16,230.05
2017-11-17,229.55
2017-11-20,230.9
2017-11-21,231.85
2017-11-22,235.6
2017-11-23,234.4
2017-11-24,232.9
2017-11-27,234.05
2017-11-28,235.1
2017-11-29,235.1
2017-11-30,236.75
2017-12-01,242.25
2017-12-04,242.65
2017-12-05,241.15
2017-12-06,238.4
2017-12-07,235.9
2017-12-08,237.3
2017-12-11,235.45
2017-12-12,236.65
2017-12-13,234.65
2017-12-14,233.15
2017-12-15,233.55
2017-12-18,231.35
2017-12-19,232.75
2017-12-20,235.8
2017-12-21,238.8
2017-12-22,235.95
2017-12-26,236.2
2017-12-27,237.4
2017-12-28,236.4
2017-12-29,238.85
