Date,SPAL
2017-01-02,350.75
2017-01-03,345.65
2017-01-04,341.3
2017-01-05,349.85
2017-01-06,347.65
2017-01-09,351.9
2017-01-10,354.35
2017-01-11,355.3
2017-01-12,349.5
2017-01-13,352.25
2017-01-16,350.4
2017-01-17,347.5
2017-01-18,359.6
2017-01-19,368.7
2017-01-20,374.1
2017-01-23,378.8
2017-01-24,378.75
2017-01-25,379.6
2017-01-27,378.5
2017-01-30,374.45
2017-01-31,376.1
2017-02-01,379.4
2017-02-02,378.15
2017-02-03,378.9
2017-02-06,399.95
2017-02-07,407.2
2017-02-08,424.75
2017-02-09,421.55
2017-02-10,421.2
2017-02-13,424.4
2017-02-14,413.15
2017-02-15,395.3
2017-02-16,409.1
2017-02-17,425.5
2017-02-20,438.35
2017-02-21,444.1
2017-02-22,443.55
2017-02-23,430.7
2017-02-27,424.25
2017-02-28,427.3
2017-03-01,431.7
2017-03-02,419.3
2017-03-03,424.65
2017-03-06,419.35
2017-03-07,420.85
2017-03-08,423.45
2017-03-09,420.05
2017-03-10,420.65
2017-03-14,437.75
2017-03-15,444.4
2017-03-16,460.45
2017-03-17,468.5
2017-03-20,459.85
2017-03-21,448.25
2017-03-22,443.1
2017-03-23,448.0
2017-03-24,446.4
2017-03-27,435.05
2017-03-28,436.45
2017-03-29,428.95
2017-03-30,432.4
2017-03-31,428.5
2017-04-03,424.8
2017-04-05,425.55
2017-04-06,418.25
2017-04-07,415.0
2017-04-10,412.3
2017-04-11,410.0
2017-04-12,411.55
2017-04-13,415.85
2017-04-17,418.95
2017-04-18,414.3
2017-04-19,420.95
2017-04-20,420.55
2017-04-21,427.3
2017-04-24,419.95
2017-04-25,419.45
2017-04-26,416.2
2017-04-27,409.85
2017-04-28,417.45
2017-05-02,410.95
2017-05-03,400.5
2017-05-04,392.35
2017-05-05,396.0
2017-05-08,397.75
2017-05-09,403.1
2017-05-10,397.95
2017-05-11,394.55
2017-05-12,395.4
2017-05-15,393.5
2017-05-16,389.7
2017-05-17,374.2
2017-05-18,368.9
2017-05-19,377.5
2017-05-22,374.1
2017-05-23,364.7
2017-05-24,354.95
2017-05-25,389.15
2017-05-26,420.8
2017-05-29,422.45
2017-05-30,417.6
2017-05-31,415.15
2017-06-01,414.8
2017-06-02,421.65
2017-06-05,447.2
2017-06-06,442.9
2017-06-07,456.2
2017-06-08,459.95
2017-06-09,469.35
2017-06-12,460.35
2017-06-13,462.05
2017-06-14,457.85
2017-06-15,459.9
2017-06-16,472.3
2017-06-19,469.3
2017-06-20,468.45
2017-06-21,473.85
2017-06-22,472.9
2017-06-23,460.15
2017-06-27,451.95
2017-06-28,450.8
2017-06-29,443.1
2017-06-30,443.5
2017-07-03,464.5
2017-07-04,457.7
2017-07-05,463.1
2017-07-06,453.7
2017-07-07,456.75
2017-07-10,456.55
2017-07-11,460.9
2017-07-12,456.75
2017-07-13,447.4
2017-07-14,453.85
2017-07-17,450.1
2017-07-18,448.65
2017-07-19,447.65
2017-07-20,444.75
2017-07-21,440.7
2017-07-24,447.6
2017-07-25,450.8
2017-07-26,461.25
2017-07-27,459.7
2017-07-28,451.55
2017-07-31,452.0
2017-08-01,446.15
2017-08-02,440.25
2017-08-03,439.8
2017-08-04,433.35
2017-08-07,435.7
2017-08-08,439.5
2017-08-09,433.75
2017-08-10,424.15
2017-08-11,418.4
2017-08-14,410.0
2017-08-16,394.6
2017-08-17,397.75
2017-08-18,399.85
2017-08-21,396.35
2017-08-22,383.85
2017-08-23,389.4
2017-08-24,387.8
2017-08-28,399.9
2017-08-29,418.2
2017-08-30,424.25
2017-08-31,418.45
2017-09-01,418.85
2017-09-04,406.25
2017-09-05,411.45
2017-09-06,408.65
2017-09-07,419.95
2017-09-08,410.85
2017-09-11,404.6
2017-09-12,404.65
2017-09-13,408.4
2017-09-14,408.05
2017-09-15,405.95
2017-09-18,407.9
2017-09-19,416.2
2017-09-20,418.8
2017-09-21,415.1
2017-09-22,409.6
2017-09-25,383.05
2017-09-26,395.25
2017-09-27,384.85
2017-09-28,387.15
2017-09-29,391.4
2017-10-03,397.7
2017-10-04,394.55
2017-10-05,389.55
2017-10-06,396.15
2017-10-09,398.8
2017-10-10,402.4
2017-10-11,410.05
2017-10-12,405.6
2017-10-13,405.15
2017-10-16,399.9
2017-10-17,397.95
2017-10-18,400.8
2017-10-19,405.45
2017-10-23,394.7
2017-10-24,392.2
2017-10-25,385.95
2017-10-26,388.55
2017-10-27,396.6
2017-10-30,393.5
2017-10-31,401.9
2017-11-01,390.05
2017-11-02,386.85
2017-11-03,396.1
2017-11-06,402.75
2017-11-07,392.8
2017-11-08,388.3
2017-11-09,381.85
2017-11-10,379.4
2017-11-13,378.7
2017-11-14,383.75
2017-11-15,376.2
2017-11-16,367.1
2017-11-17,381.05
2017-11-20,377.8
2017-11-21,372.15
2017-11-22,368.75
2017-11-23,377.65
2017-11-24,382.8
2017-11-27,392.2
2017-11-28,393.45
2017-11-29,395.05
2017-11-30,387.35
2017-12-01,386.85
2017-12-04,380.8
2017-12-05,382.35
2017-12-06,377.0
2017-12-07,374.3
2017-12-08,398.85
2017-12-11,399.6
2017-12-12,399.35
2017-12-13,397.2
2017-12-14,389.9
2017-12-15,388.7
2017-12-18,390.25
2017-12-19,396.35
2017-12-20,392.55
2017-12-21,397.7
2017-12-22,392.6
2017-12-26,393.4
2017-12-27,415.5
2017-12-28,423.05
2017-12-29,422.45
