Date,KOTAKNV20
2017-01-03,36.7
2017-01-11,37.5
2017-01-13,37.0
2017-01-16,37.9
2017-01-17,37.9
2017-01-18,37.9
2017-01-19,37.5
2017-01-23,36.8
2017-01-27,38.01
2017-01-30,38.25
2017-02-01,37.7
2017-02-02,37.45
2017-02-03,38.3
2017-02-06,38.3
2017-02-07,38.5
2017-02-09,37.6
2017-02-10,38.2
2017-02-14,38.4
2017-02-15,38.0
2017-02-20,38.05
2017-02-21,38.3
2017-02-22,38.5
2017-02-23,38.9
2017-02-27,39.3
2017-03-03,39.0
2017-03-06,38.9
2017-03-10,39.6
2017-03-14,40.1
2017-03-15,40.5
2017-03-17,40.05
2017-03-21,40.05
2017-03-23,39.4
2017-03-27,39.0
2017-03-29,39.7
2017-03-30,40.3
2017-03-31,39.67
2017-04-03,40.0
2017-04-05,39.7
2017-04-06,38.81
2017-04-07,38.5
2017-04-10,39.0
2017-04-11,40.0
2017-04-13,40.5
2017-04-17,40.0
2017-04-18,40.3
2017-04-25,39.8
2017-04-26,40.47
2017-04-27,40.65
2017-04-28,40.7
2017-05-02,40.67
2017-05-03,40.7
2017-05-04,41.37
2017-05-05,40.9
2017-05-08,41.05
2017-05-10,41.4
2017-05-11,41.5
2017-05-12,41.4
2017-05-15,41.3
2017-05-17,41.7
2017-05-18,41.55
2017-05-19,41.3
2017-05-22,41.3
2017-05-23,40.95
2017-05-24,40.9
2017-05-25,40.73
2017-05-26,48.03
2017-05-29,42.25
2017-05-30,43.5
2017-05-31,42.5
2017-06-01,42.15
2017-06-02,42.25
2017-06-05,42.0
2017-06-06,42.0
2017-06-08,41.8
2017-06-09,41.7
2017-06-12,41.54
2017-06-13,41.4
2017-06-14,41.5
2017-06-15,41.65
2017-06-16,41.7
2017-06-19,41.3
2017-06-20,41.2
2017-06-21,41.6
2017-06-22,41.65
2017-06-23,41.3
2017-06-27,41.2
2017-06-28,41.25
2017-06-29,41.2
2017-06-30,41.1
2017-07-03,41.2
2017-07-04,42.0
2017-07-06,41.8
2017-07-07,41.9
2017-07-10,42.0
2017-07-11,42.0
2017-07-13,42.0
2017-07-14,43.3
2017-07-17,43.76
2017-07-18,43.0
2017-07-19,43.58
2017-07-20,43.2
2017-07-21,43.4
2017-07-24,44.0
2017-07-25,44.5
2017-07-26,45.55
2017-07-27,45.0
2017-07-28,43.9
2017-07-31,44.4
2017-08-01,44.5
2017-08-02,44.9
2017-08-03,44.7
2017-08-04,44.45
2017-08-07,44.4
2017-08-08,44.5
2017-08-09,44.5
2017-08-10,44.01
2017-08-11,43.0
2017-08-14,43.2
2017-08-16,43.9
2017-08-17,44.0
2017-08-22,43.3
2017-08-23,43.59
2017-08-24,44.05
2017-08-28,44.0
2017-08-29,43.5
2017-09-01,44.01
2017-09-04,43.5
2017-09-05,44.05
2017-09-06,44.01
2017-09-07,44.1
2017-09-08,43.01
2017-09-12,43.75
2017-09-13,44.2
2017-09-14,44.5
2017-09-15,44.5
2017-09-18,44.5
2017-09-19,44.5
2017-09-21,44.2
2017-09-22,42.25
2017-09-26,43.4
2017-09-27,43.0
2017-09-28,43.05
2017-09-29,43.31
2017-10-03,43.5
2017-10-04,43.6
2017-10-05,43.0
2017-10-06,43.8
2017-10-09,44.1
2017-10-10,44.25
2017-10-13,44.9
2017-10-16,45.61
2017-10-17,45.67
2017-10-18,45.25
2017-10-19,45.5
2017-10-23,43.29
2017-10-25,47.25
2017-10-26,46.92
2017-10-27,47.15
2017-10-30,46.9
2017-10-31,46.9
2017-11-01,47.35
2017-11-03,47.7
2017-11-06,47.8
2017-11-07,47.8
2017-11-08,47.2
2017-11-09,47.35
2017-11-10,47.4
2017-11-14,47.0
2017-11-15,46.72
2017-11-16,47.31
2017-11-17,47.8
2017-11-20,47.9
2017-11-21,47.9
2017-11-22,48.0
2017-11-23,47.65
2017-11-24,48.1
2017-11-27,48.0
2017-11-28,47.85
2017-11-29,48.3
2017-11-30,47.7
2017-12-01,47.0
2017-12-04,47.0
2017-12-05,47.3
2017-12-06,47.0
2017-12-07,48.29
2017-12-08,47.85
2017-12-11,47.8
2017-12-12,47.5
2017-12-13,47.65
2017-12-14,47.6
2017-12-15,48.0
2017-12-18,48.15
2017-12-19,48.55
2017-12-20,48.2
2017-12-21,48.3
2017-12-22,48.2
2017-12-26,49.53
2017-12-27,48.85
2017-12-28,48.7
2017-12-29,48.9
