Date,SREEL
2017-01-02,156.1
2017-01-03,161.0
2017-01-04,155.8
2017-01-05,155.55
2017-01-06,155.95
2017-01-09,151.0
2017-01-10,154.55
2017-01-11,159.45
2017-01-12,160.4
2017-01-13,161.85
2017-01-16,156.8
2017-01-17,157.1
2017-01-18,155.0
2017-01-19,155.75
2017-01-20,159.0
2017-01-23,158.2
2017-01-24,150.5
2017-01-25,151.45
2017-01-27,153.9
2017-01-30,150.15
2017-01-31,147.0
2017-02-01,150.65
2017-02-02,148.45
2017-02-03,148.0
2017-02-06,149.4
2017-02-07,150.0
2017-02-08,148.3
2017-02-09,143.2
2017-02-10,148.5
2017-02-13,147.05
2017-02-14,150.6
2017-02-15,144.55
2017-02-16,147.95
2017-02-17,144.65
2017-02-20,145.5
2017-02-21,153.15
2017-02-22,144.9
2017-02-23,140.65
2017-02-27,143.2
2017-02-28,140.35
2017-03-01,139.7
2017-03-02,135.95
2017-03-03,135.1
2017-03-06,134.6
2017-03-07,134.65
2017-03-08,130.8
2017-03-09,128.05
2017-03-10,125.1
2017-03-14,126.05
2017-03-15,128.65
2017-03-16,126.85
2017-03-17,127.2
2017-03-20,129.4
2017-03-21,128.35
2017-03-22,127.0
2017-03-23,128.95
2017-03-24,131.1
2017-03-27,131.0
2017-03-28,131.5
2017-03-29,122.6
2017-03-30,123.55
2017-03-31,121.55
2017-04-03,126.75
2017-04-05,125.9
2017-04-06,125.4
2017-04-07,125.35
2017-04-10,128.25
2017-04-11,125.15
2017-04-12,124.7
2017-04-13,124.1
2017-04-17,120.9
2017-04-18,118.4
2017-04-19,122.1
2017-04-20,124.0
2017-04-21,125.0
2017-04-24,125.25
2017-04-25,122.85
2017-04-26,122.6
2017-04-27,126.2
2017-04-28,125.4
2017-05-02,125.1
2017-05-03,122.2
2017-05-04,125.15
2017-05-05,124.65
2017-05-08,130.1
2017-05-09,129.8
2017-05-10,130.4
2017-05-11,130.0
2017-05-12,129.25
2017-05-15,136.7
2017-05-16,142.35
2017-05-17,141.9
2017-05-18,140.05
2017-05-19,137.4
2017-05-22,138.65
2017-05-23,141.65
2017-05-24,140.0
2017-05-25,141.0
2017-05-26,140.1
2017-05-29,138.4
2017-05-30,140.0
2017-05-31,143.8
2017-06-01,142.45
2017-06-02,143.9
2017-06-05,145.95
2017-06-06,145.6
2017-06-07,143.05
2017-06-08,171.65
2017-06-09,195.9
2017-06-12,187.65
2017-06-13,192.75
2017-06-14,190.0
2017-06-15,191.3
2017-06-16,190.35
2017-06-19,181.1
2017-06-20,171.3
2017-06-21,172.15
2017-08-23,152.45
2017-08-24,153.65
2017-08-28,149.8
2017-08-29,149.5
2017-08-30,151.0
2017-08-31,150.1
2017-09-01,153.45
2017-09-04,152.3
2017-09-05,154.35
2017-09-06,153.8
2017-09-07,155.6
2017-09-08,156.8
2017-09-11,164.6
2017-09-12,172.8
2017-09-13,168.8
2017-09-14,168.7
2017-09-15,177.1
2017-09-18,185.95
2017-09-19,195.0
2017-09-20,185.25
2017-09-21,178.3
2017-09-22,169.4
2017-09-25,169.35
2017-09-26,165.45
2017-09-27,165.8
2017-09-28,169.55
2017-09-29,164.85
2017-10-03,163.25
2017-10-04,168.8
2017-10-05,177.2
2017-10-06,186.05
2017-10-09,200.9
2017-10-10,188.75
2017-10-11,200.0
2017-10-12,220.0
2017-10-13,208.3
2017-10-16,187.5
2017-10-17,194.0
2017-10-18,197.5
2017-10-19,199.15
2017-10-23,194.35
2017-10-24,191.75
2017-10-25,188.75
2017-10-26,190.4
2017-10-27,184.2
2017-10-30,185.75
2017-10-31,184.35
2017-11-01,186.35
2017-11-02,185.05
2017-11-03,183.35
2017-11-06,175.35
2017-11-07,177.0
2017-11-08,175.1
2017-11-09,174.25
2017-11-10,174.75
2017-11-13,175.05
2017-11-14,172.5
2017-11-15,172.95
2017-11-16,171.35
2017-11-17,175.05
2017-11-20,173.65
2017-11-21,174.55
2017-11-22,180.75
2017-11-23,176.9
2017-11-24,172.9
2017-11-27,173.35
2017-11-28,177.85
2017-11-29,178.05
2017-11-30,174.4
2017-12-01,174.15
2017-12-04,174.75
2017-12-05,176.9
2017-12-06,176.35
2017-12-07,176.1
2017-12-08,175.15
2017-12-11,179.2
2017-12-12,182.5
2017-12-13,191.45
2017-12-14,189.65
2017-12-15,214.2
2017-12-18,257.0
2017-12-19,282.7
2017-12-20,310.95
2017-12-21,304.6
2017-12-22,288.35
2017-12-26,274.35
2017-12-27,301.75
2017-12-28,297.15
2017-12-29,295.5
