Date,GSPL
2017-01-02,140.15
2017-01-03,140.1
2017-01-04,139.9
2017-01-05,139.6
2017-01-06,137.4
2017-01-09,137.45
2017-01-10,136.65
2017-01-11,136.7
2017-01-12,139.3
2017-01-13,137.05
2017-01-16,136.25
2017-01-17,144.9
2017-01-18,154.1
2017-01-19,155.2
2017-01-20,155.4
2017-01-23,157.55
2017-01-24,155.05
2017-01-25,152.85
2017-01-27,152.45
2017-01-30,159.15
2017-01-31,152.25
2017-02-01,155.7
2017-02-02,155.2
2017-02-03,157.9
2017-02-06,156.5
2017-02-07,166.35
2017-02-08,165.85
2017-02-09,165.6
2017-02-10,162.85
2017-02-13,163.5
2017-02-14,167.3
2017-02-15,162.9
2017-02-16,165.2
2017-02-17,164.2
2017-02-20,163.55
2017-02-21,159.4
2017-02-22,158.0
2017-02-23,157.4
2017-02-27,154.8
2017-02-28,154.45
2017-03-01,155.9
2017-03-02,156.0
2017-03-03,162.85
2017-03-06,163.5
2017-03-07,160.7
2017-03-08,161.9
2017-03-09,160.4
2017-03-10,160.15
2017-03-14,160.4
2017-03-15,161.45
2017-03-16,159.05
2017-03-17,160.6
2017-03-20,159.9
2017-03-21,159.95
2017-03-22,158.3
2017-03-23,158.85
2017-03-24,158.35
2017-03-27,158.3
2017-03-28,165.75
2017-03-29,165.85
2017-03-30,162.5
2017-03-31,161.5
2017-04-03,164.65
2017-04-05,160.35
2017-04-06,159.5
2017-04-07,159.55
2017-04-10,159.25
2017-04-11,163.35
2017-04-12,165.75
2017-04-13,172.15
2017-04-17,174.5
2017-04-18,173.75
2017-04-19,180.2
2017-04-20,185.65
2017-04-21,193.35
2017-04-24,199.25
2017-04-25,196.6
2017-04-26,189.55
2017-04-27,183.1
2017-04-28,181.0
2017-05-02,183.6
2017-05-03,183.8
2017-05-04,182.95
2017-05-05,183.35
2017-05-08,174.1
2017-05-09,170.55
2017-05-10,178.35
2017-05-11,177.35
2017-05-12,173.25
2017-05-15,176.75
2017-05-16,175.45
2017-05-17,171.35
2017-05-18,172.6
2017-05-19,174.0
2017-05-22,173.75
2017-05-23,171.4
2017-05-24,172.6
2017-05-25,173.95
2017-05-26,170.0
2017-05-29,170.1
2017-05-30,170.9
2017-05-31,170.4
2017-06-01,177.85
2017-06-02,178.75
2017-06-05,179.2
2017-06-06,177.75
2017-06-07,171.85
2017-06-08,174.0
2017-06-09,170.1
2017-06-12,167.55
2017-06-13,165.05
2017-06-14,165.55
2017-06-15,166.9
2017-06-16,169.95
2017-06-19,164.4
2017-06-20,167.95
2017-06-21,165.15
2017-06-22,160.15
2017-06-23,158.9
2017-06-27,163.4
2017-06-28,173.15
2017-06-29,168.2
2017-06-30,176.55
2017-07-03,178.05
2017-07-04,178.1
2017-07-05,177.2
2017-07-06,176.1
2017-07-07,172.45
2017-07-10,171.5
2017-07-11,168.4
2017-07-12,165.5
2017-07-13,166.35
2017-07-14,166.35
2017-07-17,169.0
2017-07-18,171.15
2017-07-19,174.7
2017-07-20,172.9
2017-07-21,174.25
2017-07-24,180.5
2017-07-25,183.0
2017-07-26,185.1
2017-07-27,192.0
2017-07-28,191.85
2017-07-31,194.75
2017-08-01,190.0
2017-08-02,185.0
2017-08-03,187.7
2017-08-04,183.9
2017-08-07,187.35
2017-08-08,185.25
2017-08-09,186.4
2017-08-10,178.55
2017-08-11,180.1
2017-08-14,183.95
2017-08-16,184.0
2017-08-17,183.3
2017-08-18,184.35
2017-08-21,187.3
2017-08-22,188.95
2017-08-23,197.5
2017-08-24,193.1
2017-08-28,196.95
2017-08-29,191.95
2017-08-30,193.4
2017-08-31,191.0
2017-09-01,187.1
2017-09-04,187.5
2017-09-05,187.15
2017-09-06,189.55
2017-09-07,192.4
2017-09-08,193.3
2017-09-11,196.9
2017-09-12,198.8
2017-09-13,198.45
2017-09-14,196.35
2017-09-15,196.35
2017-09-18,197.35
2017-09-19,203.75
2017-09-20,207.6
2017-09-21,204.5
2017-09-22,196.6
2017-09-25,195.65
2017-09-26,191.8
2017-09-27,192.8
2017-09-28,195.1
2017-09-29,200.3
2017-10-03,195.55
2017-10-04,195.9
2017-10-05,195.75
2017-10-06,195.9
2017-10-09,195.5
2017-10-10,199.85
2017-10-11,196.45
2017-10-12,197.4
2017-10-13,196.9
2017-10-16,201.85
2017-10-17,198.2
2017-10-18,201.25
2017-10-19,203.3
2017-10-23,208.55
2017-10-24,212.25
2017-10-25,209.05
2017-10-26,209.2
2017-10-27,208.95
2017-10-30,209.9
2017-10-31,204.5
2017-11-01,204.1
2017-11-02,209.3
2017-11-03,212.15
2017-11-06,219.85
2017-11-07,210.1
2017-11-08,206.45
2017-11-09,216.15
2017-11-10,212.85
2017-11-13,214.65
2017-11-14,213.95
2017-11-15,209.95
2017-11-16,207.4
2017-11-17,207.8
2017-11-20,208.85
2017-11-21,207.65
2017-11-22,210.1
2017-11-23,207.9
2017-11-24,207.95
2017-11-27,207.7
2017-11-28,208.2
2017-11-29,205.85
2017-11-30,210.15
2017-12-01,200.45
2017-12-04,204.5
2017-12-05,204.0
2017-12-06,203.2
2017-12-07,209.6
2017-12-08,209.5
2017-12-11,208.0
2017-12-12,203.65
2017-12-13,202.45
2017-12-14,203.0
2017-12-15,204.0
2017-12-18,203.9
2017-12-19,203.35
2017-12-20,204.55
2017-12-21,206.3
2017-12-22,220.8
2017-12-26,222.8
2017-12-27,226.5
2017-12-28,225.4
2017-12-29,227.5
