Date,PGEL
2017-01-02,134.0
2017-01-03,134.05
2017-01-04,148.35
2017-01-05,149.65
2017-01-06,179.35
2017-01-09,179.3
2017-01-10,176.4
2017-01-11,165.7
2017-01-12,171.75
2017-01-13,166.05
2017-01-16,162.85
2017-01-17,165.35
2017-01-18,164.85
2017-01-19,170.6
2017-01-20,166.45
2017-01-23,169.85
2017-01-24,168.8
2017-01-25,159.9
2017-01-27,160.05
2017-01-30,162.7
2017-01-31,159.9
2017-02-01,157.5
2017-02-02,156.65
2017-02-03,185.35
2017-02-06,189.75
2017-02-07,187.85
2017-02-08,192.1
2017-02-09,193.15
2017-02-10,194.25
2017-02-13,192.3
2017-02-14,193.05
2017-02-15,192.15
2017-02-16,194.4
2017-02-17,191.4
2017-02-20,191.65
2017-02-21,193.0
2017-02-22,185.05
2017-02-23,183.85
2017-02-27,182.05
2017-02-28,184.75
2017-03-01,186.8
2017-03-02,180.1
2017-03-03,179.3
2017-03-06,179.1
2017-03-07,177.5
2017-03-08,173.15
2017-03-09,175.65
2017-03-10,185.5
2017-03-14,202.35
2017-03-15,197.65
2017-03-16,198.95
2017-03-17,197.8
2017-03-20,192.6
2017-03-21,197.95
2017-03-22,198.0
2017-03-23,193.3
2017-03-24,190.25
2017-03-27,186.05
2017-03-28,192.15
2017-03-29,184.0
2017-03-30,185.65
2017-03-31,184.85
2017-04-03,186.45
2017-04-05,185.35
2017-04-06,184.35
2017-04-07,180.75
2017-04-10,176.55
2017-04-11,183.75
2017-04-12,186.65
2017-04-13,189.05
2017-04-17,192.8
2017-04-18,190.1
2017-04-19,192.0
2017-04-20,192.05
2017-04-21,190.9
2017-04-24,189.05
2017-04-25,189.95
2017-04-26,188.6
2017-04-27,189.4
2017-04-28,185.7
2017-05-02,185.1
2017-05-03,183.4
2017-05-04,182.75
2017-05-05,176.05
2017-05-08,181.25
2017-05-09,181.3
2017-05-10,180.3
2017-05-11,179.3
2017-05-12,180.4
2017-05-15,176.4
2017-05-16,181.1
2017-05-17,180.6
2017-05-18,177.35
2017-05-19,180.55
2017-05-22,177.4
2017-05-23,175.7
2017-05-24,173.7
2017-05-25,175.75
2017-05-26,174.8
2017-05-29,182.95
2017-05-30,202.3
2017-05-31,201.05
2017-06-01,197.6
2017-06-02,206.15
2017-06-05,201.35
2017-06-06,196.5
2017-06-07,199.1
2017-06-08,197.35
2017-06-09,200.25
2017-06-12,196.9
2017-06-13,236.25
2017-06-14,259.8
2017-06-15,257.4
2017-06-16,251.3
2017-06-19,255.5
2017-06-20,268.45
2017-06-21,262.65
2017-06-22,255.5
2017-06-23,250.35
2017-06-27,247.35
2017-06-28,245.3
2017-06-29,272.15
2017-06-30,287.85
2017-07-03,286.0
2017-07-04,276.3
2017-07-05,275.95
2017-07-06,273.4
2017-07-07,279.95
2017-07-10,274.55
2017-07-11,267.85
2017-07-12,263.15
2017-07-13,269.05
2017-07-14,264.25
2017-07-17,305.8
2017-07-18,305.3
2017-07-19,304.45
2017-07-20,311.8
2017-07-21,320.55
2017-07-24,336.05
2017-07-25,347.05
2017-07-26,344.65
2017-07-27,338.4
2017-07-28,322.85
2017-07-31,345.35
2017-08-01,342.2
2017-08-02,338.3
2017-08-03,334.95
2017-08-04,333.45
2017-08-07,335.35
2017-08-08,330.75
2017-08-09,303.5
2017-08-10,300.4
2017-08-11,301.0
2017-08-14,328.6
2017-08-16,350.05
2017-08-17,339.4
2017-08-18,330.25
2017-08-21,327.65
2017-08-22,317.2
2017-08-23,320.75
2017-08-24,319.8
2017-08-28,316.7
2017-08-29,316.0
2017-08-30,330.4
2017-08-31,319.2
2017-09-01,320.9
2017-09-04,317.25
2017-09-05,319.3
2017-09-06,309.5
2017-09-07,301.95
2017-09-08,314.35
2017-09-11,328.5
2017-09-12,355.7
2017-09-13,364.55
2017-09-14,363.9
2017-09-15,358.25
2017-09-18,389.6
2017-09-19,375.0
2017-09-20,377.35
2017-09-21,371.55
2017-09-22,358.0
2017-09-25,373.3
2017-09-26,361.0
2017-09-27,372.25
2017-09-28,373.75
2017-09-29,389.75
2017-10-03,385.85
2017-10-04,382.95
2017-10-05,381.75
2017-10-06,397.55
2017-10-09,417.6
2017-10-10,414.05
2017-10-11,406.2
2017-10-12,404.9
2017-10-13,399.7
2017-10-16,400.65
2017-10-17,399.4
2017-10-18,402.8
2017-10-19,397.35
2017-10-23,396.25
2017-10-24,403.55
2017-10-25,398.6
2017-10-26,396.05
2017-10-27,392.55
2017-10-30,397.05
2017-10-31,437.0
2017-11-01,438.2
2017-11-02,430.25
2017-11-03,417.4
2017-11-06,414.85
2017-11-07,404.0
2017-11-08,395.9
2017-11-09,399.15
2017-11-10,389.4
2017-11-13,391.4
2017-11-14,397.05
2017-11-15,386.85
2017-11-16,388.4
2017-11-17,390.75
2017-11-20,393.45
2017-11-21,394.95
2017-11-22,400.8
2017-11-23,419.65
2017-11-24,411.2
2017-11-27,418.55
2017-11-28,408.55
2017-11-29,395.4
2017-11-30,401.45
2017-12-01,401.8
2017-12-04,403.8
2017-12-05,397.25
2017-12-06,388.95
2017-12-07,401.9
2017-12-08,400.25
2017-12-11,400.7
2017-12-12,393.3
2017-12-13,388.95
2017-12-14,384.95
2017-12-15,390.15
2017-12-18,380.5
2017-12-19,407.4
2017-12-20,398.5
2017-12-21,392.5
2017-12-22,390.2
2017-12-26,389.65
2017-12-27,386.2
2017-12-28,400.85
2017-12-29,423.55
