Date,ICICIMCAP
2017-01-02,51.26
2017-01-03,51.91
2017-01-04,51.83
2017-01-05,52.33
2017-01-06,52.7
2017-01-09,52.4
2017-01-10,52.34
2017-01-11,53.41
2017-01-12,53.41
2017-01-13,53.55
2017-01-16,53.82
2017-01-17,54.19
2017-01-18,54.12
2017-01-19,54.6
2017-01-20,54.3
2017-01-23,53.7
2017-01-24,54.26
2017-01-25,54.52
2017-01-27,55.25
2017-01-30,55.68
2017-01-31,54.94
2017-02-01,55.5
2017-02-02,56.27
2017-02-03,56.62
2017-02-06,56.58
2017-02-07,57.1
2017-02-08,57.0
2017-02-09,57.41
2017-02-10,57.6
2017-02-13,57.52
2017-02-14,57.25
2017-02-15,56.84
2017-02-16,56.63
2017-02-17,57.52
2017-02-20,57.78
2017-02-21,57.8
2017-02-22,57.38
2017-02-23,57.82
2017-02-27,57.78
2017-02-28,57.72
2017-03-01,57.76
2017-03-02,57.47
2017-03-03,56.79
2017-03-06,57.3
2017-03-07,57.35
2017-03-08,57.46
2017-03-09,57.45
2017-03-10,57.0
2017-03-14,58.15
2017-03-15,58.5
2017-03-16,59.82
2017-03-17,59.85
2017-03-20,60.03
2017-03-21,59.77
2017-03-22,59.11
2017-03-23,59.43
2017-03-24,60.0
2017-03-27,59.79
2017-03-28,60.16
2017-03-29,60.13
2017-03-30,60.19
2017-03-31,60.85
2017-04-03,61.15
2017-04-05,61.1
2017-04-06,61.16
2017-04-07,61.55
2017-04-10,61.7
2017-04-11,62.15
2017-04-12,61.61
2017-04-13,62.12
2017-04-17,62.61
2017-04-18,62.87
2017-04-19,62.3
2017-04-20,63.08
2017-04-21,63.01
2017-04-24,63.9
2017-04-25,64.62
2017-04-26,64.74
2017-04-27,64.5
2017-04-28,64.64
2017-05-02,64.77
2017-05-03,64.87
2017-05-04,64.81
2017-05-05,64.47
2017-05-08,64.75
2017-05-09,64.2
2017-05-10,64.93
2017-05-11,65.59
2017-05-12,64.69
2017-05-15,65.45
2017-05-16,65.44
2017-05-17,65.36
2017-05-18,64.25
2017-05-19,63.48
2017-05-22,63.05
2017-05-23,61.4
2017-05-24,61.5
2017-05-25,61.41
2017-05-26,63.0
2017-05-29,63.25
2017-05-30,63.76
2017-05-31,64.6
2017-06-01,64.76
2017-06-02,65.11
2017-06-05,65.2
2017-06-06,64.7
2017-06-07,65.0
2017-06-08,65.52
2017-06-09,65.68
2017-06-12,65.03
2017-06-13,65.45
2017-06-14,64.99
2017-06-15,64.93
2017-06-16,65.32
2017-06-19,65.4
2017-06-20,65.42
2017-06-21,65.31
2017-06-22,65.1
2017-06-23,64.31
2017-06-27,63.5
2017-06-28,63.64
2017-06-29,64.18
2017-06-30,63.8
2017-07-03,65.0
2017-07-04,64.76
2017-07-05,65.42
2017-07-07,65.7
2017-07-10,70.0
2017-07-11,65.45
2017-07-12,66.13
2017-07-13,66.5
2017-07-14,66.52
2017-07-17,66.64
2017-07-18,66.15
2017-07-19,67.0
2017-07-20,66.7
2017-07-21,66.5
2017-07-24,66.8
2017-07-25,67.26
2017-07-26,67.33
2017-07-27,66.88
2017-07-28,67.24
2017-07-31,67.39
2017-08-01,68.14
2017-08-02,67.77
2017-08-03,68.08
2017-08-04,68.59
2017-08-07,69.32
2017-08-08,68.58
2017-08-09,67.13
2017-08-10,65.4
2017-08-11,65.64
2017-08-14,67.32
2017-08-16,67.58
2017-08-17,67.77
2017-08-18,67.53
2017-08-21,66.31
2017-08-22,66.18
2017-08-23,67.12
2017-08-24,68.09
2017-08-28,68.5
2017-08-29,67.68
2017-08-30,68.68
2017-08-31,69.0
2017-09-01,69.5
2017-09-04,68.89
2017-09-05,69.29
2017-09-06,69.91
2017-09-07,70.28
2017-09-08,69.85
2017-09-11,70.5
2017-09-12,71.27
2017-09-13,71.0
2017-09-14,71.28
2017-09-15,70.9
2017-09-18,71.54
2017-09-19,71.02
2017-09-20,71.38
2017-09-21,70.7
2017-09-22,69.26
2017-09-25,68.39
2017-09-26,68.8
2017-09-27,67.5
2017-09-28,67.64
2017-09-29,68.85
2017-10-03,69.32
2017-10-04,69.3
2017-10-05,69.52
2017-10-06,70.06
2017-10-09,70.57
2017-10-10,70.95
2017-10-11,70.41
2017-10-12,71.11
2017-10-13,70.98
2017-10-16,71.29
2017-10-17,71.85
2017-10-18,72.15
2017-10-19,71.39
2017-10-23,71.81
2017-10-24,71.68
2017-10-25,71.12
2017-10-26,71.49
2017-10-27,71.66
2017-10-30,72.35
2017-10-31,72.48
2017-11-01,72.6
2017-11-02,73.21
2017-11-03,72.49
2017-11-06,73.06
2017-11-07,72.5
2017-11-08,71.69
2017-11-09,71.91
2017-11-10,72.35
2017-11-13,72.34
2017-11-14,72.29
2017-11-15,71.92
2017-11-16,72.12
2017-11-17,73.06
2017-11-20,73.71
2017-11-21,73.72
2017-11-22,73.74
2017-11-23,73.47
2017-11-24,74.31
2017-11-27,74.6
2017-11-28,74.67
2017-11-29,74.96
2017-11-30,74.35
2017-12-01,73.54
2017-12-04,73.0
2017-12-05,73.89
2017-12-06,73.13
2017-12-07,74.14
2017-12-08,75.15
2017-12-11,75.14
2017-12-12,74.39
2017-12-13,73.65
2017-12-14,73.81
2017-12-15,74.56
2017-12-18,75.5
2017-12-19,76.56
2017-12-20,76.74
2017-12-21,77.2
2017-12-22,77.59
2017-12-26,78.11
2017-12-27,77.68
2017-12-28,77.76
2017-12-29,78.12
