Date,VENUSREM
2017-01-02,96.95
2017-01-03,97.75
2017-01-04,103.75
2017-01-05,105.2
2017-01-06,102.5
2017-01-09,102.6
2017-01-10,102.9
2017-01-11,103.1
2017-01-12,102.1
2017-01-13,100.6
2017-01-16,100.05
2017-01-17,105.15
2017-01-18,105.9
2017-01-19,103.65
2017-01-20,102.95
2017-01-23,107.1
2017-01-24,107.05
2017-01-25,104.65
2017-01-27,107.6
2017-01-30,107.3
2017-01-31,104.95
2017-02-01,105.85
2017-02-02,104.45
2017-02-03,104.85
2017-02-06,105.4
2017-02-07,104.8
2017-02-08,104.0
2017-02-09,99.95
2017-02-10,100.35
2017-02-13,98.4
2017-02-14,97.4
2017-02-15,95.5
2017-02-16,95.5
2017-02-17,103.55
2017-02-20,105.85
2017-02-21,106.7
2017-02-22,103.1
2017-02-23,104.7
2017-02-27,102.2
2017-02-28,102.3
2017-03-01,102.0
2017-03-02,100.05
2017-03-03,100.4
2017-03-06,100.15
2017-03-07,100.5
2017-03-08,99.75
2017-03-09,99.35
2017-03-10,98.3
2017-03-14,98.35
2017-03-15,97.1
2017-03-16,102.8
2017-03-17,100.7
2017-03-20,101.55
2017-03-21,100.95
2017-03-22,98.95
2017-03-23,99.35
2017-03-24,98.9
2017-03-27,98.2
2017-03-28,98.4
2017-03-29,97.6
2017-03-30,97.6
2017-03-31,97.65
2017-04-03,103.15
2017-04-05,103.65
2017-04-06,102.4
2017-04-07,102.6
2017-04-10,102.8
2017-04-11,102.7
2017-04-12,101.45
2017-04-13,101.65
2017-04-17,108.3
2017-04-18,104.05
2017-04-19,105.95
2017-04-20,107.1
2017-04-21,112.3
2017-04-24,111.05
2017-04-25,108.6
2017-04-26,105.7
2017-04-27,105.4
2017-04-28,104.55
2017-05-02,105.15
2017-05-03,104.15
2017-05-04,101.95
2017-05-05,104.1
2017-05-08,102.85
2017-05-09,104.55
2017-05-10,103.15
2017-05-11,102.45
2017-05-12,105.85
2017-05-15,106.45
2017-05-16,104.15
2017-05-17,105.4
2017-05-18,102.4
2017-05-19,101.5
2017-05-22,100.25
2017-05-23,98.4
2017-05-24,95.3
2017-05-25,96.5
2017-05-26,97.1
2017-05-29,93.9
2017-05-30,93.6
2017-05-31,97.45
2017-06-01,98.55
2017-06-02,94.55
2017-06-05,94.8
2017-06-06,95.1
2017-06-07,95.1
2017-06-08,94.4
2017-06-09,95.7
2017-06-12,95.6
2017-06-13,94.75
2017-06-14,94.05
2017-06-15,95.6
2017-06-16,94.3
2017-06-19,94.65
2017-06-20,99.2
2017-06-21,96.4
2017-06-22,95.1
2017-06-23,93.95
2017-06-27,91.4
2017-06-28,90.85
2017-06-29,91.8
2017-06-30,91.8
2017-07-03,94.1
2017-07-04,94.35
2017-07-05,94.5
2017-07-06,94.1
2017-07-07,94.1
2017-07-10,94.6
2017-07-11,93.85
2017-07-12,93.95
2017-07-13,94.4
2017-07-14,93.0
2017-07-17,93.05
2017-07-18,93.05
2017-07-19,94.25
2017-07-20,94.25
2017-07-21,93.5
2017-07-24,91.25
2017-07-25,91.95
2017-07-26,91.95
2017-07-27,90.65
2017-07-28,91.35
2017-07-31,109.6
2017-08-01,114.65
2017-08-02,111.15
2017-08-03,111.5
2017-08-04,107.8
2017-08-07,108.5
2017-08-08,104.6
2017-08-09,96.8
2017-08-10,92.95
2017-08-11,91.1
2017-08-14,93.9
2017-08-16,94.7
2017-08-17,94.6
2017-08-18,91.7
2017-08-21,88.25
2017-08-22,91.3
2017-08-23,92.4
2017-08-24,97.6
2017-08-28,97.7
2017-08-29,95.2
2017-08-30,96.0
2017-08-31,98.25
2017-09-01,102.2
2017-09-04,97.35
2017-09-05,100.75
2017-09-06,97.95
2017-09-07,96.25
2017-09-08,96.8
2017-09-11,96.3
2017-09-12,97.0
2017-09-13,96.3
2017-09-14,96.85
2017-09-15,95.65
2017-09-18,95.85
2017-09-19,100.0
2017-09-20,104.7
2017-09-21,106.6
2017-09-22,104.3
2017-09-25,99.6
2017-09-26,100.65
2017-09-27,98.2
2017-09-28,97.85
2017-09-29,97.2
2017-10-03,96.6
2017-10-04,98.65
2017-10-05,98.8
2017-10-06,101.4
2017-10-09,105.85
2017-10-10,104.0
2017-10-11,104.85
2017-10-12,105.85
2017-10-13,104.0
2017-10-16,104.2
2017-10-17,103.5
2017-10-18,102.35
2017-10-19,102.75
2017-10-23,101.05
2017-10-24,100.25
2017-10-25,100.95
2017-10-26,101.4
2017-10-27,104.55
2017-10-30,103.6
2017-10-31,105.6
2017-11-01,104.05
2017-11-02,105.65
2017-11-03,104.2
2017-11-06,102.6
2017-11-07,102.2
2017-11-08,101.6
2017-11-09,101.85
2017-11-10,101.85
2017-11-13,101.45
2017-11-14,100.8
2017-11-15,97.85
2017-11-16,97.85
2017-11-17,98.7
2017-11-20,106.65
2017-11-21,104.2
2017-11-22,102.8
2017-11-23,102.9
2017-11-24,102.15
2017-11-27,105.45
2017-11-28,104.8
2017-11-29,104.55
2017-11-30,102.6
2017-12-01,107.05
2017-12-04,105.45
2017-12-05,105.15
2017-12-06,106.15
2017-12-07,106.4
2017-12-08,103.2
2017-12-11,103.75
2017-12-12,101.95
2017-12-13,100.1
2017-12-14,100.15
2017-12-15,100.55
2017-12-18,100.75
2017-12-19,101.85
2017-12-20,102.6
2017-12-21,103.3
2017-12-22,102.7
2017-12-26,102.75
2017-12-27,103.8
2017-12-28,103.35
2017-12-29,102.5
