Date,DAAWAT
2017-01-02,284.8
2017-01-03,316.45
2017-01-04,318.55
2017-01-05,327.7
2017-01-06,338.4
2017-01-09,337.75
2017-01-10,324.7
2017-01-11,331.45
2017-01-12,332.55
2017-01-13,338.75
2017-01-16,337.15
2017-01-17,332.65
2017-01-18,357.75
2017-01-19,367.0
2017-01-20,378.65
2017-01-23,376.45
2017-01-24,378.0
2017-01-25,403.65
2017-01-27,414.15
2017-01-30,451.35
2017-01-31,444.0
2017-02-01,437.5
2017-02-02,431.2
2017-02-03,440.85
2017-02-06,470.15
2017-02-07,50.7
2017-02-08,60.8
2017-02-09,58.5
2017-02-10,59.6
2017-02-13,57.75
2017-02-14,55.65
2017-02-15,52.2
2017-02-16,54.3
2017-02-17,56.1
2017-02-20,56.35
2017-02-21,55.05
2017-02-22,53.25
2017-02-23,54.1
2017-02-27,53.6
2017-02-28,54.35
2017-03-01,54.3
2017-03-02,53.5
2017-03-03,53.6
2017-03-06,55.05
2017-03-07,55.85
2017-03-08,55.4
2017-03-09,54.2
2017-03-10,54.3
2017-03-14,54.3
2017-03-15,53.7
2017-03-16,53.7
2017-03-17,56.05
2017-03-20,58.3
2017-03-21,57.0
2017-03-22,56.45
2017-03-23,58.05
2017-03-24,58.55
2017-03-27,56.75
2017-03-28,58.9
2017-03-29,58.85
2017-03-30,61.7
2017-03-31,65.8
2017-04-03,65.7
2017-04-05,65.25
2017-04-06,64.0
2017-04-07,63.65
2017-04-10,63.9
2017-04-11,66.6
2017-04-12,66.3
2017-04-13,65.1
2017-04-17,65.6
2017-04-18,65.25
2017-04-19,66.05
2017-04-20,66.95
2017-04-21,66.5
2017-04-24,66.05
2017-04-25,65.95
2017-04-26,64.8
2017-04-27,64.9
2017-04-28,65.35
2017-05-02,64.55
2017-05-03,66.05
2017-05-04,65.3
2017-05-05,64.0
2017-05-08,64.3
2017-05-09,66.0
2017-05-10,65.55
2017-05-11,65.25
2017-05-12,65.2
2017-05-15,65.0
2017-05-16,65.45
2017-05-17,75.55
2017-05-18,72.35
2017-05-19,71.85
2017-05-22,81.8
2017-05-23,78.35
2017-05-24,78.5
2017-05-25,77.95
2017-05-26,75.2
2017-05-29,74.75
2017-05-30,72.75
2017-05-31,71.0
2017-06-01,72.1
2017-06-02,71.75
2017-06-05,73.0
2017-06-06,72.25
2017-06-07,72.35
2017-06-08,71.25
2017-06-09,73.65
2017-06-12,70.7
2017-06-13,70.8
2017-06-14,70.45
2017-06-15,69.55
2017-06-16,69.1
2017-06-19,69.05
2017-06-20,67.2
2017-06-21,66.65
2017-06-22,65.95
2017-06-23,64.3
2017-06-27,68.6
2017-06-28,67.0
2017-06-29,67.7
2017-06-30,67.05
2017-07-03,68.4
2017-07-04,67.1
2017-07-05,66.75
2017-07-06,66.85
2017-07-07,66.8
2017-07-10,66.85
2017-07-11,66.8
2017-07-12,69.8
2017-07-13,69.85
2017-07-14,67.85
2017-07-17,68.95
2017-07-18,70.5
2017-07-19,71.35
2017-07-20,70.15
2017-07-21,69.3
2017-07-24,68.9
2017-07-25,68.75
2017-07-26,68.65
2017-07-27,68.2
2017-07-28,68.05
2017-07-31,69.95
2017-08-01,69.8
2017-08-02,69.25
2017-08-03,69.25
2017-08-04,68.9
2017-08-07,69.35
2017-08-08,67.35
2017-08-09,63.85
2017-08-10,61.35
2017-08-11,57.95
2017-08-14,60.4
2017-08-16,62.55
2017-08-17,63.35
2017-08-18,63.6
2017-08-21,62.9
2017-08-22,62.65
2017-08-23,62.65
2017-08-24,64.15
2017-08-28,64.85
2017-08-29,63.35
2017-08-30,64.35
2017-08-31,64.0
2017-09-01,65.85
2017-09-04,67.6
2017-09-05,67.15
2017-09-06,67.4
2017-09-07,66.8
2017-09-08,65.5
2017-09-11,64.7
2017-09-12,65.85
2017-09-13,66.5
2017-09-14,69.65
2017-09-15,67.3
2017-09-18,67.55
2017-09-19,67.2
2017-09-20,66.2
2017-09-21,67.35
2017-09-22,65.25
2017-09-25,62.15
2017-09-26,62.6
2017-09-27,61.85
2017-09-28,62.05
2017-09-29,63.35
2017-10-03,62.95
2017-10-04,63.8
2017-10-05,63.3
2017-10-06,63.85
2017-10-09,66.7
2017-10-10,67.5
2017-10-11,66.1
2017-10-12,67.25
2017-10-13,67.25
2017-10-16,66.9
2017-10-17,65.85
2017-10-18,66.15
2017-10-19,66.65
2017-10-23,64.85
2017-10-24,64.3
2017-10-25,64.45
2017-10-26,65.25
2017-10-27,67.5
2017-10-30,66.95
2017-10-31,68.3
2017-11-01,68.8
2017-11-02,72.2
2017-11-03,73.85
2017-11-06,74.35
2017-11-07,71.6
2017-11-08,72.25
2017-11-09,72.65
2017-11-10,72.7
2017-11-13,72.85
2017-11-14,71.8
2017-11-15,69.0
2017-11-16,70.65
2017-11-17,70.25
2017-11-20,69.85
2017-11-21,69.55
2017-11-22,70.65
2017-11-23,69.5
2017-11-24,69.3
2017-11-27,70.25
2017-11-28,70.0
2017-11-29,70.05
2017-11-30,70.25
2017-12-01,70.55
2017-12-04,72.45
2017-12-05,72.95
2017-12-06,72.85
2017-12-07,84.3
2017-12-08,80.7
2017-12-11,82.0
2017-12-12,81.9
2017-12-13,79.0
2017-12-14,77.75
2017-12-15,79.85
2017-12-18,81.05
2017-12-19,85.8
2017-12-20,86.35
2017-12-21,85.8
2017-12-22,85.55
2017-12-26,84.2
2017-12-27,90.25
2017-12-28,89.1
2017-12-29,91.1
