Date,CNOVAPETRO
2017-01-02,23.4
2017-01-03,24.2
2017-01-04,24.0
2017-01-05,23.75
2017-01-06,23.5
2017-01-09,24.1
2017-01-10,23.9
2017-01-11,24.0
2017-01-12,24.35
2017-01-13,24.0
2017-01-16,24.5
2017-01-17,24.6
2017-01-18,25.0
2017-01-19,24.5
2017-01-20,23.7
2017-01-24,24.0
2017-01-25,24.4
2017-01-27,23.4
2017-01-30,23.65
2017-01-31,23.3
2017-02-01,23.65
2017-02-02,23.65
2017-02-03,23.95
2017-02-06,24.0
2017-02-07,23.75
2017-02-08,23.9
2017-02-09,23.55
2017-02-10,23.9
2017-02-13,22.75
2017-02-14,22.0
2017-02-15,21.55
2017-02-16,22.0
2017-02-17,22.2
2017-02-20,22.25
2017-02-21,23.0
2017-02-22,22.8
2017-02-23,22.35
2017-02-27,22.0
2017-02-28,23.0
2017-03-01,23.0
2017-03-02,23.4
2017-03-03,23.0
2017-03-06,23.5
2017-03-07,23.35
2017-03-08,22.6
2017-03-09,22.05
2017-03-10,22.15
2017-03-14,22.95
2017-03-15,22.05
2017-03-16,22.15
2017-03-17,21.95
2017-03-20,22.7
2017-03-21,21.9
2017-03-22,22.85
2017-03-23,22.9
2017-03-24,22.15
2017-03-27,22.0
2017-03-28,22.0
2017-03-29,22.4
2017-03-30,22.85
2017-03-31,21.8
2017-04-03,22.55
2017-04-05,23.1
2017-04-06,23.4
2017-04-07,23.0
2017-04-10,22.75
2017-04-11,23.65
2017-04-12,24.6
2017-04-13,24.6
2017-04-17,26.0
2017-04-18,30.8
2017-04-19,28.35
2017-04-20,30.1
2017-04-21,29.85
2017-04-24,28.5
2017-04-25,29.3
2017-04-26,28.7
2017-04-27,28.5
2017-04-28,28.65
2017-05-02,28.6
2017-05-03,27.7
2017-05-04,27.8
2017-05-05,27.0
2017-05-08,26.8
2017-05-09,26.85
2017-05-10,26.9
2017-05-11,27.05
2017-05-12,26.0
2017-05-15,26.0
2017-05-16,26.5
2017-05-17,25.2
2017-05-18,25.6
2017-05-19,25.5
2017-05-22,24.0
2017-05-23,24.1
2017-05-24,24.0
2017-05-25,26.2
2017-05-26,27.45
2017-05-29,24.8
2017-05-30,23.65
2017-05-31,23.5
2017-06-01,24.25
2017-06-02,23.5
2017-06-05,24.5
2017-06-06,23.45
2017-06-07,24.25
2017-06-08,23.95
2017-06-09,24.4
2017-06-12,22.95
2017-06-13,24.65
2017-06-14,24.3
2017-06-15,29.15
2017-06-16,26.45
2017-06-19,26.7
2017-06-20,26.65
2017-06-21,26.0
2017-06-22,25.15
2017-06-23,24.3
2017-06-27,24.75
2017-06-28,23.2
2017-06-29,24.9
2017-06-30,25.6
2017-07-03,24.5
2017-07-04,25.15
2017-07-05,26.5
2017-07-06,26.6
2017-07-07,26.25
2017-07-10,26.05
2017-07-11,26.1
2017-07-12,26.75
2017-07-13,26.4
2017-07-14,26.0
2017-07-17,26.05
2017-07-18,25.8
2017-07-19,29.5
2017-07-20,29.0
2017-07-21,30.9
2017-07-24,32.2
2017-07-25,32.35
2017-07-26,31.05
2017-07-27,29.3
2017-07-28,28.15
2017-07-31,28.5
2017-08-01,29.7
2017-08-02,31.8
2017-08-03,31.05
2017-08-04,30.75
2017-08-07,29.7
2017-08-08,28.95
2017-08-09,28.1
2017-08-10,27.0
2017-08-11,25.5
2017-08-14,26.35
2017-08-16,27.0
2017-08-17,27.1
2017-08-18,27.4
2017-08-21,27.6
2017-08-22,26.85
2017-08-23,26.95
2017-08-24,26.75
2017-08-28,26.05
2017-08-29,26.4
2017-08-30,26.75
2017-08-31,28.45
2017-09-01,30.6
2017-09-04,32.0
2017-09-05,36.45
2017-09-06,34.75
2017-09-07,36.5
2017-09-08,36.95
2017-09-11,34.8
2017-09-12,35.2
2017-09-13,34.25
2017-09-14,41.1
2017-09-15,45.05
2017-09-18,49.25
2017-09-19,46.2
2017-09-20,46.15
2017-09-21,45.55
2017-09-22,41.45
2017-09-25,40.95
2017-09-26,42.25
2017-09-27,40.55
2017-09-28,40.45
2017-09-29,41.2
2017-10-03,40.25
2017-10-04,39.0
2017-10-05,40.7
2017-10-06,40.6
2017-10-09,42.8
2017-10-10,41.2
2017-10-11,42.3
2017-10-12,42.05
2017-10-13,41.1
2017-10-16,41.15
2017-10-17,41.0
2017-10-18,40.2
2017-10-19,41.0
2017-10-23,39.75
2017-10-24,40.3
2017-10-25,40.8
2017-10-26,39.45
2017-10-27,39.5
2017-10-30,40.35
2017-10-31,40.1
2017-11-01,41.2
2017-11-02,41.0
2017-11-03,41.4
2017-11-06,41.65
2017-11-07,40.1
2017-11-08,40.15
2017-11-09,42.45
2017-11-10,42.25
2017-11-13,48.25
2017-11-14,46.35
2017-11-15,48.8
2017-11-16,48.3
2017-11-17,48.6
2017-11-20,47.9
2017-11-21,48.05
2017-11-22,49.35
2017-11-23,48.2
2017-11-24,47.55
2017-11-27,47.3
2017-11-28,46.5
2017-11-29,46.15
2017-11-30,45.55
2017-12-01,43.35
2017-12-04,42.5
2017-12-05,43.0
2017-12-06,42.0
2017-12-07,42.25
2017-12-08,42.7
2017-12-11,42.7
2017-12-12,44.6
2017-12-13,41.65
2017-12-14,40.3
2017-12-15,42.75
2017-12-18,41.8
2017-12-19,40.95
2017-12-20,41.2
2017-12-21,41.5
2017-12-22,43.1
2017-12-26,42.2
2017-12-27,41.65
2017-12-28,41.7
2017-12-29,41.65
