Date,SAIL
2017-01-02,50.5
2017-01-03,51.65
2017-01-04,50.55
2017-01-05,51.95
2017-01-06,52.0
2017-01-09,52.35
2017-01-10,52.85
2017-01-11,55.95
2017-01-12,57.25
2017-01-13,57.6
2017-01-16,59.0
2017-01-17,59.35
2017-01-18,59.6
2017-01-19,59.5
2017-01-20,58.15
2017-01-23,61.35
2017-01-24,61.85
2017-01-25,62.05
2017-01-27,63.7
2017-01-30,64.1
2017-01-31,63.55
2017-02-01,65.7
2017-02-02,66.1
2017-02-03,65.7
2017-02-06,65.75
2017-02-07,66.45
2017-02-08,66.8
2017-02-09,65.9
2017-02-10,61.9
2017-02-13,61.65
2017-02-14,60.75
2017-02-15,59.0
2017-02-16,60.4
2017-02-17,59.85
2017-02-20,61.65
2017-02-21,62.25
2017-02-22,60.5
2017-02-23,60.1
2017-02-27,60.35
2017-02-28,61.2
2017-03-01,63.35
2017-03-02,61.9
2017-03-03,62.15
2017-03-06,62.35
2017-03-07,60.4
2017-03-08,59.75
2017-03-09,59.25
2017-03-10,59.3
2017-03-14,60.05
2017-03-15,60.05
2017-03-16,63.65
2017-03-17,63.4
2017-03-20,63.8
2017-03-21,63.2
2017-03-22,61.55
2017-03-23,61.9
2017-03-24,62.5
2017-03-27,60.25
2017-03-28,60.25
2017-03-29,61.45
2017-03-30,61.05
2017-03-31,61.3
2017-04-03,63.1
2017-04-05,65.4
2017-04-06,67.45
2017-04-07,66.3
2017-04-10,66.75
2017-04-11,65.65
2017-04-12,63.85
2017-04-13,62.2
2017-04-17,61.25
2017-04-18,60.3
2017-04-19,60.65
2017-04-20,60.8
2017-04-21,60.3
2017-04-24,60.2
2017-04-25,60.5
2017-04-26,60.25
2017-04-27,59.85
2017-04-28,60.35
2017-05-02,59.2
2017-05-03,61.35
2017-05-04,61.5
2017-05-05,59.9
2017-05-08,60.45
2017-05-09,60.65
2017-05-10,61.1
2017-05-11,61.0
2017-05-12,60.4
2017-05-15,61.85
2017-05-16,61.5
2017-05-17,62.5
2017-05-18,60.4
2017-05-19,60.45
2017-05-22,60.15
2017-05-23,59.4
2017-05-24,56.9
2017-05-25,56.9
2017-05-26,59.2
2017-05-29,58.45
2017-05-30,58.35
2017-05-31,57.15
2017-06-01,56.75
2017-06-02,57.3
2017-06-05,57.05
2017-06-06,56.85
2017-06-07,57.0
2017-06-08,57.65
2017-06-09,57.4
2017-06-12,57.15
2017-06-13,56.4
2017-06-14,55.9
2017-06-15,56.4
2017-06-16,56.9
2017-06-19,57.65
2017-06-20,57.35
2017-06-21,57.3
2017-06-22,58.45
2017-06-23,57.6
2017-06-27,56.45
2017-06-28,57.05
2017-06-29,57.95
2017-06-30,58.35
2017-07-03,58.85
2017-07-04,58.35
2017-07-05,59.6
2017-07-06,59.65
2017-07-07,61.65
2017-07-10,62.95
2017-07-11,61.75
2017-07-12,62.2
2017-07-13,61.85
2017-07-14,61.7
2017-07-17,61.8
2017-07-18,62.75
2017-07-19,63.65
2017-07-20,62.9
2017-07-21,62.45
2017-07-24,63.3
2017-07-25,63.55
2017-07-26,63.9
2017-07-27,63.3
2017-07-28,62.55
2017-07-31,63.25
2017-08-01,63.1
2017-08-02,63.2
2017-08-03,60.75
2017-08-04,61.7
2017-08-07,62.4
2017-08-08,62.95
2017-08-09,61.45
2017-08-10,58.85
2017-08-11,56.5
2017-08-14,58.05
2017-08-16,59.25
2017-08-17,59.05
2017-08-18,59.7
2017-08-21,59.45
2017-08-22,58.8
2017-08-23,60.7
2017-08-24,60.65
2017-08-28,61.5
2017-08-29,61.05
2017-08-30,61.8
2017-08-31,60.8
2017-09-01,62.6
2017-09-04,62.3
2017-09-05,62.3
2017-09-06,62.05
2017-09-07,62.7
2017-09-08,63.1
2017-09-11,63.05
2017-09-12,63.3
2017-09-13,61.95
2017-09-14,62.05
2017-09-15,62.35
2017-09-18,61.65
2017-09-19,62.45
2017-09-20,62.3
2017-09-21,61.05
2017-09-22,57.9
2017-09-25,56.65
2017-09-26,56.65
2017-09-27,54.2
2017-09-28,53.2
2017-09-29,53.65
2017-10-03,53.7
2017-10-04,53.85
2017-10-05,54.05
2017-10-06,56.35
2017-10-09,56.65
2017-10-10,56.95
2017-10-11,54.75
2017-10-12,56.05
2017-10-13,57.95
2017-10-16,58.3
2017-10-17,59.2
2017-10-18,59.5
2017-10-19,59.05
2017-10-23,59.2
2017-10-24,61.6
2017-10-25,67.0
2017-10-26,76.95
2017-10-27,79.95
2017-10-30,79.85
2017-10-31,78.0
2017-11-01,81.35
2017-11-02,79.8
2017-11-03,86.9
2017-11-06,84.05
2017-11-07,78.85
2017-11-08,76.85
2017-11-09,78.35
2017-11-10,81.2
2017-11-13,78.8
2017-11-14,79.8
2017-11-15,75.8
2017-11-16,77.35
2017-11-17,78.7
2017-11-20,81.45
2017-11-21,82.95
2017-11-22,81.65
2017-11-23,82.25
2017-11-24,82.4
2017-11-27,81.8
2017-11-28,80.8
2017-11-29,78.15
2017-11-30,76.8
2017-12-01,78.25
2017-12-04,77.7
2017-12-05,78.25
2017-12-06,75.95
2017-12-07,78.75
2017-12-08,81.7
2017-12-11,81.3
2017-12-12,80.25
2017-12-13,78.45
2017-12-14,77.55
2017-12-15,78.2
2017-12-18,79.6
2017-12-19,83.2
2017-12-20,84.55
2017-12-21,86.8
2017-12-22,85.45
2017-12-26,90.5
2017-12-27,91.1
2017-12-28,92.75
2017-12-29,92.15
