Date,NECCLTD
2017-01-02,42.5
2017-01-03,42.05
2017-01-04,49.25
2017-01-05,54.35
2017-01-06,59.5
2017-01-09,65.05
2017-01-10,69.0
2017-01-11,69.55
2017-01-12,66.55
2017-01-13,67.5
2017-01-16,67.65
2017-01-17,66.0
2017-01-18,67.05
2017-03-07,61.1
2017-03-08,64.15
2017-03-09,67.35
2017-03-10,70.7
2017-03-14,74.15
2017-03-15,73.55
2017-03-16,72.5
2017-03-17,71.55
2017-03-20,73.9
2017-03-21,72.35
2017-03-22,70.75
2017-03-23,74.15
2017-03-24,77.1
2017-03-27,73.25
2017-03-28,69.6
2017-03-29,66.15
2017-03-30,62.85
2017-03-31,59.75
2017-04-03,62.7
2017-04-05,65.7
2017-04-06,66.7
2017-04-07,63.55
2017-04-10,61.25
2017-04-11,60.2
2017-04-12,55.95
2017-04-13,54.1
2017-04-17,52.25
2017-04-18,52.05
2017-04-19,50.1
2017-04-20,54.1
2017-04-21,53.95
2017-04-24,52.55
2017-04-25,52.85
2017-04-26,51.55
2017-04-27,51.45
2017-04-28,50.95
2017-05-02,50.45
2017-05-03,48.55
2017-05-04,47.3
2017-05-05,45.4
2017-05-08,42.15
2017-05-09,46.35
2017-05-10,50.95
2017-05-11,52.85
2017-05-12,50.05
2017-05-15,48.4
2017-05-16,48.95
2017-05-17,48.95
2017-05-18,47.35
2017-05-19,46.65
2017-05-22,46.15
2017-05-23,43.9
2017-05-24,44.35
2017-05-25,43.3
2017-05-26,43.6
2017-05-29,42.95
2017-05-30,42.2
2017-05-31,42.15
2017-06-01,41.75
2017-06-02,45.9
2017-06-05,50.45
2017-06-06,52.1
2017-06-07,51.85
2017-06-08,51.65
2017-06-09,50.6
2017-06-12,49.6
2017-06-13,48.75
2017-06-14,47.55
2017-06-15,47.05
2017-06-16,46.9
2017-06-19,46.4
2017-06-20,49.8
2017-06-21,49.95
2017-06-22,48.45
2017-06-23,46.9
2017-06-27,45.7
2017-06-28,45.9
2017-06-29,46.6
2017-06-30,46.5
2017-07-03,46.7
2017-07-04,46.0
2017-07-05,46.05
2017-07-06,47.05
2017-07-07,46.6
2017-07-10,46.45
2017-07-11,53.7
2017-07-12,56.85
2017-07-13,58.65
2017-07-14,55.25
2017-07-17,54.75
2017-07-18,54.3
2017-07-19,53.2
2017-07-20,52.5
2017-07-21,50.85
2017-07-24,49.9
2017-07-25,51.6
2017-07-26,52.0
2017-07-27,50.85
2017-07-28,49.8
2017-07-31,48.55
2017-08-01,47.5
2017-08-02,47.2
2017-08-03,46.1
2017-08-04,45.45
2017-08-07,45.1
2017-08-08,44.55
2017-08-09,44.1
2017-08-10,42.05
2017-08-11,40.15
2017-08-14,43.8
2017-08-16,43.55
2017-08-17,43.8
2017-08-18,42.35
2017-08-21,41.25
2017-08-22,39.8
2017-08-23,40.05
2017-08-24,40.0
2017-08-28,40.0
2017-08-29,38.8
2017-08-30,38.6
2017-08-31,38.6
2017-09-01,38.4
2017-09-04,38.05
2017-09-05,37.95
2017-09-06,38.45
2017-09-07,38.0
2017-09-08,37.95
2017-09-11,38.0
2017-09-12,37.55
2017-09-13,43.25
2017-09-14,44.2
2017-09-15,42.15
2017-09-18,41.65
2017-09-19,40.65
2017-09-20,39.95
2017-09-21,39.0
2017-09-22,38.55
2017-09-25,38.25
2017-09-26,38.25
2017-09-27,37.2
2017-09-28,37.1
2017-09-29,39.9
2017-10-03,38.35
2017-10-04,38.05
2017-10-05,38.05
2017-10-06,38.0
2017-10-09,38.0
2017-10-10,37.95
2017-10-11,37.65
2017-10-12,37.5
2017-10-13,37.5
2017-10-16,37.0
2017-10-17,36.95
2017-10-18,36.5
2017-10-19,36.4
2017-10-23,36.0
2017-10-24,35.65
2017-10-25,35.3
2017-10-26,34.8
2017-10-27,36.4
2017-10-30,35.85
2017-10-31,35.0
2017-11-01,35.45
2017-11-02,35.05
2017-11-03,35.2
2017-11-06,35.0
2017-11-07,35.15
2017-11-08,34.65
2017-11-09,34.2
2017-11-10,34.0
2017-11-13,33.7
2017-11-14,33.0
2017-11-15,31.2
2017-11-16,30.6
2017-11-17,31.1
2017-11-20,32.4
2017-11-21,31.75
2017-11-22,31.45
2017-11-23,31.75
2017-11-24,32.1
2017-11-27,33.0
2017-11-28,33.25
2017-11-29,33.75
2017-11-30,33.25
2017-12-01,33.0
2017-12-04,32.7
2017-12-05,32.1
2017-12-06,31.7
2017-12-07,31.65
2017-12-08,31.75
2017-12-11,31.7
2017-12-12,31.5
2017-12-13,31.55
2017-12-14,31.6
2017-12-15,31.5
2017-12-18,31.7
2017-12-19,31.6
2017-12-20,31.35
2017-12-21,35.0
2017-12-22,34.85
2017-12-26,34.15
2017-12-27,34.6
2017-12-28,33.95
2017-12-29,33.95
