Date,ARIES
2017-01-02,162.55
2017-01-03,166.65
2017-01-04,173.15
2017-01-05,179.2
2017-01-06,176.35
2017-01-09,175.5
2017-01-10,173.8
2017-01-11,185.25
2017-01-12,178.55
2017-01-13,176.6
2017-01-16,183.3
2017-01-17,180.65
2017-01-18,183.6
2017-01-19,182.85
2017-01-20,175.6
2017-01-23,167.25
2017-01-24,171.05
2017-01-25,171.9
2017-01-27,169.7
2017-01-30,172.4
2017-01-31,166.2
2017-02-01,169.65
2017-02-02,169.55
2017-02-03,180.2
2017-02-06,183.95
2017-02-07,190.3
2017-02-08,186.05
2017-02-09,180.25
2017-02-10,184.25
2017-02-13,164.75
2017-02-14,161.75
2017-02-15,156.55
2017-02-16,162.35
2017-02-17,161.15
2017-02-20,168.05
2017-02-21,169.2
2017-02-22,166.25
2017-02-23,157.6
2017-02-27,158.65
2017-02-28,158.25
2017-03-01,159.95
2017-03-02,156.25
2017-03-03,151.1
2017-03-06,151.85
2017-03-07,149.4
2017-03-08,149.7
2017-03-09,148.2
2017-03-10,146.9
2017-03-14,144.85
2017-03-15,153.5
2017-03-16,157.05
2017-03-17,154.95
2017-03-20,151.05
2017-03-21,147.05
2017-03-22,147.75
2017-03-23,150.7
2017-03-24,148.95
2017-03-27,148.25
2017-03-28,148.7
2017-03-29,148.6
2017-03-30,148.65
2017-03-31,154.45
2017-04-03,156.55
2017-04-05,152.65
2017-04-06,151.15
2017-04-07,151.85
2017-04-10,160.55
2017-04-11,159.0
2017-04-12,156.1
2017-04-13,157.2
2017-04-17,154.6
2017-04-18,152.45
2017-04-19,156.05
2017-04-20,157.4
2017-04-21,155.25
2017-04-24,164.65
2017-04-25,162.5
2017-04-26,159.6
2017-04-27,161.4
2017-04-28,164.15
2017-05-02,161.5
2017-05-03,157.8
2017-05-04,158.85
2017-05-05,156.0
2017-05-08,158.85
2017-05-09,157.0
2017-05-10,159.7
2017-05-11,159.4
2017-05-12,157.3
2017-05-15,157.9
2017-05-16,157.55
2017-05-17,157.25
2017-05-18,153.55
2017-05-19,154.2
2017-05-22,150.1
2017-05-23,149.35
2017-05-24,147.15
2017-05-25,150.25
2017-05-26,157.95
2017-05-29,155.95
2017-05-30,160.2
2017-05-31,142.2
2017-06-01,149.6
2017-06-02,149.3
2017-06-05,147.05
2017-06-06,146.75
2017-06-07,146.75
2017-06-08,145.35
2017-06-09,147.4
2017-06-12,167.15
2017-06-13,165.15
2017-06-14,162.75
2017-06-15,165.15
2017-06-16,161.8
2017-06-19,158.6
2017-06-20,164.9
2017-06-21,157.45
2017-06-22,157.85
2017-06-23,149.95
2017-06-27,148.5
2017-06-28,150.05
2017-06-29,151.5
2017-06-30,149.6
2017-07-03,156.1
2017-07-04,151.25
2017-07-05,149.1
2017-07-06,151.85
2017-07-07,150.25
2017-07-10,150.15
2017-07-11,153.85
2017-07-12,156.15
2017-07-13,153.3
2017-07-14,150.4
2017-07-17,151.2
2017-07-18,152.2
2017-07-19,154.0
2017-07-20,152.7
2017-07-21,153.95
2017-07-24,152.15
2017-07-25,152.6
2017-07-26,149.3
2017-07-27,147.0
2017-07-28,146.5
2017-07-31,148.15
2017-08-01,144.95
2017-08-02,147.35
2017-08-03,145.05
2017-08-04,144.7
2017-08-07,148.25
2017-08-08,150.25
2017-08-09,149.6
2017-08-10,133.05
2017-08-11,132.75
2017-08-14,139.85
2017-08-16,143.5
2017-08-17,150.7
2017-08-18,145.6
2017-08-21,143.9
2017-08-22,142.15
2017-08-23,139.95
2017-08-24,139.8
2017-08-28,139.65
2017-08-29,138.45
2017-08-30,141.55
2017-08-31,154.0
2017-09-01,157.9
2017-09-04,151.95
2017-09-05,154.85
2017-09-06,152.7
2017-09-07,154.1
2017-09-08,151.1
2017-09-11,155.35
2017-09-12,157.5
2017-09-13,152.35
2017-09-14,154.4
2017-09-15,149.5
2017-09-18,154.65
2017-09-19,164.65
2017-09-20,162.8
2017-09-21,163.1
2017-09-22,152.8
2017-09-25,146.95
2017-09-26,150.3
2017-09-27,148.8
2017-09-28,147.25
2017-09-29,148.8
2017-10-03,150.0
2017-10-04,150.05
2017-10-05,151.7
2017-10-06,152.7
2017-10-09,151.9
2017-10-10,168.7
2017-10-11,162.35
2017-10-12,168.85
2017-10-13,172.45
2017-10-16,206.6
2017-10-17,247.9
2017-10-18,231.35
2017-10-19,242.25
2017-10-23,266.2
2017-10-24,261.9
2017-10-25,259.0
2017-10-26,253.05
2017-10-27,247.95
2017-10-30,239.65
2017-10-31,260.2
2017-11-01,254.05
2017-11-02,245.5
2017-11-03,247.9
2017-11-06,247.15
2017-11-07,235.15
2017-11-08,226.65
2017-11-09,230.2
2017-11-10,236.9
2017-11-13,235.7
