Date,HONAUT
2017-01-02,9063.2
2017-01-03,9116.05
2017-01-04,9222.2
2017-01-05,9259.25
2017-01-06,9288.8
2017-01-09,9241.3
2017-01-10,9016.85
2017-01-11,9036.55
2017-01-12,9172.7
2017-01-13,9196.8
2017-01-16,9255.35
2017-01-17,9235.25
2017-01-18,9351.6
2017-01-19,9336.4
2017-01-20,9342.6
2017-01-23,9413.1
2017-01-24,9465.05
2017-01-25,9478.1
2017-01-27,9519.1
2017-01-30,9475.25
2017-01-31,9478.1
2017-02-01,9525.45
2017-02-02,9485.7
2017-02-03,9558.2
2017-02-06,9707.7
2017-02-07,10055.85
2017-02-08,10039.8
2017-02-09,9948.65
2017-02-10,9943.95
2017-02-13,9991.0
2017-02-14,9979.0
2017-02-15,9890.85
2017-02-16,9981.9
2017-02-17,9996.45
2017-02-20,9998.0
2017-02-21,9945.05
2017-02-22,9955.6
2017-02-23,9984.05
2017-02-27,9946.8
2017-02-28,9978.3
2017-03-01,9944.7
2017-03-02,9888.95
2017-03-03,9779.8
2017-03-06,9782.55
2017-03-07,9795.8
2017-03-08,9798.25
2017-03-09,9583.2
2017-03-10,9592.9
2017-03-14,9815.85
2017-03-15,9942.5
2017-03-16,9944.55
2017-03-17,9937.75
2017-03-20,9882.95
2017-03-21,9798.9
2017-03-22,9695.0
2017-03-23,9847.1
2017-03-24,9921.6
2017-03-27,9938.55
2017-03-28,9940.55
2017-03-29,10009.0
2017-03-30,10151.45
2017-03-31,10346.9
2017-04-03,10556.0
2017-04-05,11034.7
2017-04-06,11006.25
2017-04-07,10762.25
2017-04-10,11114.9
2017-04-11,11097.35
2017-04-12,10951.55
2017-04-13,10820.65
2017-04-17,10713.0
2017-04-18,10753.55
2017-04-19,10682.1
2017-04-20,10612.15
2017-04-21,10722.1
2017-04-24,10887.15
2017-04-25,10928.95
2017-04-26,10888.45
2017-04-27,10955.75
2017-04-28,11024.4
2017-05-02,11007.4
2017-05-03,11075.85
2017-05-04,11298.85
2017-05-05,11327.45
2017-05-08,11238.8
2017-05-09,11438.65
2017-05-10,11421.1
2017-05-11,11406.8
2017-05-12,11397.05
2017-05-15,11302.45
2017-05-16,11407.6
2017-05-17,11536.65
2017-05-18,11395.3
2017-05-19,11420.75
2017-05-22,11349.6
2017-05-23,11224.75
2017-05-24,10823.65
2017-05-25,10953.05
2017-05-26,11294.05
2017-05-29,11429.55
2017-05-30,11312.25
2017-05-31,11490.85
2017-06-01,11482.15
2017-06-02,11719.7
2017-06-05,11680.9
2017-06-06,11691.1
2017-06-07,12303.65
2017-06-08,11901.05
2017-06-09,11796.65
2017-06-12,11743.35
2017-06-13,11494.25
2017-06-14,11403.7
2017-06-15,11481.7
2017-06-16,11609.15
2017-06-19,11673.6
2017-06-20,11893.5
2017-06-21,11852.85
2017-06-22,11848.65
2017-06-23,11600.65
2017-06-27,11493.7
2017-06-28,11619.35
2017-06-29,11652.85
2017-06-30,11675.95
2017-07-03,11985.8
2017-07-04,11983.25
2017-07-05,12022.75
2017-07-06,12007.0
2017-07-07,11982.05
2017-07-10,12097.55
2017-07-11,11994.4
2017-07-12,12041.55
2017-07-13,11893.05
2017-07-14,11874.25
2017-07-17,11956.7
2017-07-18,12003.45
2017-07-19,12053.75
2017-07-20,12057.45
2017-07-21,11860.2
2017-07-24,12089.2
2017-07-25,12174.65
2017-07-26,12391.75
2017-07-27,12383.25
2017-07-28,12450.5
2017-07-31,12518.2
2017-08-01,12449.05
2017-08-02,12286.7
2017-08-03,12374.05
2017-08-04,12542.3
2017-08-07,12653.25
2017-08-08,12553.4
2017-08-09,12612.15
2017-08-10,12554.95
2017-08-11,12597.75
2017-08-14,12803.15
2017-08-16,12768.0
2017-08-17,12921.65
2017-08-18,12975.6
2017-08-21,13252.55
2017-08-22,12727.6
2017-08-23,12757.25
2017-08-24,12963.05
2017-08-28,13199.35
2017-08-29,13119.95
2017-08-30,13060.9
2017-08-31,13203.05
2017-09-01,13334.05
2017-09-04,13452.55
2017-09-05,13404.4
2017-09-06,13313.7
2017-09-07,13433.6
2017-09-08,13416.9
2017-09-11,13543.55
2017-09-12,13982.6
2017-09-13,14432.6
2017-09-14,14049.55
2017-09-15,14470.05
2017-09-18,16348.0
2017-09-19,17004.7
2017-09-20,16842.8
2017-09-21,16658.65
2017-09-22,15917.35
2017-09-25,15380.1
2017-09-26,16028.3
2017-09-27,15773.55
2017-09-28,15622.45
2017-09-29,15730.0
2017-10-03,15692.65
2017-10-04,15891.0
2017-10-05,16075.65
2017-10-06,15888.7
2017-10-09,15830.15
2017-10-10,15867.35
2017-10-11,15713.4
2017-10-12,15658.1
2017-10-13,15809.25
2017-10-16,15678.75
2017-10-17,15585.5
2017-10-18,15689.8
2017-10-19,15836.4
2017-10-23,15656.45
2017-10-24,15717.4
2017-10-25,15838.3
2017-10-26,15726.65
2017-10-27,15685.65
2017-10-30,15718.65
2017-10-31,15829.75
2017-11-01,15870.65
2017-11-02,15764.95
2017-11-03,15623.4
2017-11-06,15659.45
2017-11-07,15052.15
2017-11-08,15004.65
2017-11-09,15159.4
2017-11-10,15388.25
2017-11-13,15478.65
2017-11-14,15410.55
2017-11-15,17309.6
2017-11-16,17245.15
2017-11-17,17268.7
2017-11-20,16631.65
2017-11-21,16920.6
2017-11-22,17020.85
2017-11-23,17094.7
2017-11-24,16948.5
2017-11-27,17203.75
2017-11-28,17227.65
2017-11-29,17193.45
2017-11-30,17128.7
2017-12-01,16926.95
2017-12-04,17123.35
2017-12-05,16781.25
2017-12-06,16577.45
2017-12-07,17067.2
2017-12-08,17176.55
2017-12-11,18471.95
2017-12-12,19941.25
2017-12-13,19988.8
2017-12-14,19631.1
2017-12-15,19764.7
2017-12-18,20460.55
2017-12-19,20465.7
2017-12-20,20183.7
2017-12-21,19976.65
2017-12-22,19827.2
2017-12-26,19660.35
2017-12-27,20035.4
2017-12-28,19577.25
2017-12-29,19433.6
