Date,AVANTIFEED
2017-01-02,490.0
2017-01-03,490.55
2017-01-04,490.65
2017-01-05,509.5
2017-01-06,528.85
2017-01-09,539.4
2017-01-10,556.7
2017-01-11,552.65
2017-01-12,530.8
2017-01-13,545.85
2017-01-16,585.85
2017-01-17,578.05
2017-01-18,573.35
2017-01-19,571.5
2017-01-20,570.85
2017-01-23,574.1
2017-01-24,576.6
2017-01-25,595.25
2017-01-27,591.95
2017-01-30,580.1
2017-01-31,561.1
2017-02-01,565.7
2017-02-02,568.5
2017-02-03,579.85
2017-02-06,571.65
2017-02-07,564.8
2017-02-08,564.35
2017-02-09,573.35
2017-02-10,568.0
2017-02-13,574.0
2017-02-14,575.65
2017-02-15,582.25
2017-02-16,599.05
2017-02-17,592.05
2017-02-20,597.05
2017-02-21,593.55
2017-02-22,646.4
2017-02-23,676.8
2017-02-27,691.05
2017-02-28,675.45
2017-03-01,676.7
2017-03-02,676.05
2017-03-03,675.95
2017-03-06,704.05
2017-03-07,700.1
2017-03-08,733.85
2017-03-09,709.5
2017-03-10,707.15
2017-03-14,722.05
2017-03-15,714.7
2017-03-16,732.15
2017-03-17,730.2
2017-03-20,728.8
2017-03-21,703.75
2017-03-22,706.0
2017-03-23,710.55
2017-03-24,705.15
2017-03-27,700.85
2017-03-28,714.85
2017-03-29,719.25
2017-03-30,718.1
2017-03-31,737.5
2017-04-03,777.4
2017-04-05,819.65
2017-04-06,822.15
2017-04-07,811.4
2017-04-10,821.15
2017-04-11,839.4
2017-04-12,860.6
2017-04-13,871.95
2017-04-17,869.3
2017-04-18,866.7
2017-04-19,868.5
2017-04-20,898.15
2017-04-21,890.35
2017-04-24,883.6
2017-04-25,871.1
2017-04-26,855.35
2017-04-27,868.9
2017-04-28,874.1
2017-05-02,873.9
2017-05-03,873.2
2017-05-04,882.95
2017-05-05,884.15
2017-05-08,902.4
2017-05-09,898.9
2017-05-10,897.1
2017-05-11,894.9
2017-05-12,897.4
2017-05-15,1076.85
2017-05-16,1205.85
2017-05-17,1301.8
2017-05-18,1378.9
2017-05-19,1404.55
2017-05-22,1316.1
2017-05-23,1306.25
2017-05-24,1346.2
2017-05-25,1374.45
2017-05-26,1422.0
