Date,PODDARMENT
2017-01-02,202.65
2017-01-03,210.0
2017-01-04,211.0
2017-01-05,216.5
2017-01-06,211.05
2017-01-09,219.3
2017-01-10,224.2
2017-01-11,222.85
2017-01-12,218.05
2017-01-13,223.9
2017-01-16,219.25
2017-01-17,221.8
2017-01-18,222.45
2017-01-19,223.8
2017-01-20,223.85
2017-01-23,229.95
2017-01-24,228.3
2017-01-25,227.95
2017-01-27,265.5
2017-01-30,266.95
2017-01-31,263.2
2017-02-01,264.5
2017-02-02,266.95
2017-02-03,267.4
2017-02-06,263.15
2017-02-07,262.2
2017-02-08,266.3
2017-02-09,269.7
2017-02-10,273.25
2017-02-13,262.5
2017-02-14,260.45
2017-02-15,252.45
2017-02-16,248.9
2017-02-17,249.55
2017-02-20,249.4
2017-02-21,254.1
2017-02-22,253.65
2017-02-23,254.35
2017-02-27,255.1
2017-02-28,251.6
2017-03-01,251.55
2017-03-02,249.6
2017-03-03,245.95
2017-03-06,247.4
2017-03-07,248.25
2017-03-08,248.95
2017-03-09,251.05
2017-03-10,246.55
2017-03-14,250.0
2017-03-15,251.05
2017-03-16,251.75
2017-03-17,251.35
2017-03-20,251.55
2017-03-21,252.1
2017-03-22,250.85
2017-03-23,250.6
2017-03-24,254.05
2017-03-27,252.0
2017-03-28,258.2
2017-03-29,260.05
2017-03-30,263.6
2017-03-31,265.35
2017-04-03,265.9
2017-04-05,269.95
2017-04-06,267.45
2017-04-07,271.05
2017-04-10,269.0
2017-04-11,268.6
2017-04-12,264.8
2017-04-13,272.25
2017-04-17,265.6
2017-04-18,265.9
2017-04-19,261.85
2017-04-20,266.5
2017-04-21,259.7
2017-04-24,265.8
2017-04-25,265.15
2017-04-26,266.0
2017-04-27,261.15
2017-04-28,265.25
2017-05-02,261.2
2017-05-03,257.9
2017-05-04,258.45
2017-05-05,256.9
2017-05-08,259.0
2017-05-09,258.8
2017-05-10,259.3
2017-05-11,258.4
2017-05-12,263.3
2017-05-15,264.4
2017-05-16,275.55
2017-05-17,277.35
2017-05-18,279.55
2017-05-19,281.7
2017-05-22,316.65
2017-05-23,306.0
2017-05-24,298.05
2017-05-25,302.8
2017-05-26,304.5
2017-05-29,285.15
2017-05-30,277.6
2017-05-31,278.9
2017-06-01,288.3
2017-06-02,289.6
2017-06-05,291.75
2017-06-06,296.0
2017-06-07,302.1
2017-06-08,301.85
2017-06-09,298.5
2017-06-12,294.55
2017-06-13,294.6
2017-06-14,297.7
2017-06-15,292.35
2017-06-16,295.45
2017-06-19,290.95
2017-06-20,294.7
2017-06-21,291.45
2017-06-22,289.05
2017-06-23,284.1
2017-06-27,280.65
2017-06-28,282.2
2017-06-29,285.0
2017-06-30,282.9
2017-07-03,282.75
2017-07-04,284.55
2017-07-05,288.0
2017-07-06,296.3
2017-07-07,299.7
2017-07-10,297.8
2017-07-11,293.0
2017-07-12,291.2
2017-07-13,293.6
2017-07-14,303.4
2017-07-17,306.2
2017-07-18,300.6
2017-07-19,298.85
2017-07-20,297.3
2017-07-21,293.7
2017-07-24,292.35
2017-07-25,288.7
2017-07-26,291.85
2017-07-27,289.3
2017-07-28,287.35
2017-07-31,288.2
2017-08-01,284.1
2017-08-02,280.6
2017-08-03,283.75
2017-08-04,284.25
2017-08-07,280.7
2017-08-08,275.25
2017-08-09,268.1
2017-08-10,254.85
2017-08-11,254.0
2017-08-14,257.7
2017-08-16,265.05
2017-08-17,263.85
2017-08-18,262.05
2017-08-21,256.7
2017-08-22,251.15
2017-08-23,247.95
2017-08-24,253.45
2017-08-28,249.15
2017-08-29,252.25
2017-08-30,260.4
2017-08-31,259.95
2017-09-01,265.75
2017-09-04,260.7
2017-09-05,280.25
2017-09-06,281.55
2017-09-07,271.3
2017-09-08,264.0
2017-09-11,265.9
2017-09-12,266.75
2017-09-13,265.0
2017-09-14,264.05
2017-09-15,262.55
2017-09-18,263.05
2017-09-19,263.35
2017-09-20,267.15
2017-09-21,274.65
2017-09-22,268.2
2017-09-25,262.95
2017-09-26,259.8
2017-09-27,259.15
2017-09-28,261.7
2017-09-29,263.35
2017-10-03,264.0
2017-10-04,264.55
2017-10-05,272.3
2017-10-06,268.2
2017-10-09,268.4
2017-10-10,290.85
2017-10-11,293.05
2017-10-12,291.75
2017-10-13,288.25
2017-10-16,289.15
2017-10-17,326.5
2017-10-18,323.15
2017-10-19,325.65
2017-10-23,315.55
2017-10-24,317.9
2017-10-25,320.45
2017-10-26,315.95
2017-10-27,314.95
2017-10-30,317.6
2017-10-31,315.65
2017-11-01,318.0
2017-11-02,309.65
2017-11-03,312.85
2017-11-06,315.35
2017-11-07,308.95
2017-11-08,309.85
2017-11-09,327.05
2017-11-10,350.55
2017-11-13,343.0
2017-11-14,350.5
2017-11-15,348.8
2017-11-16,327.9
2017-11-17,314.75
2017-11-20,321.65
2017-11-21,319.5
2017-11-22,318.2
2017-11-23,313.95
2017-11-24,313.35
2017-11-27,314.6
2017-11-28,311.75
2017-11-29,309.95
2017-11-30,303.75
2017-12-01,300.45
2017-12-04,289.2
2017-12-05,292.9
2017-12-06,289.5
2017-12-07,298.35
2017-12-08,291.2
2017-12-11,287.15
2017-12-12,307.5
2017-12-13,299.55
2017-12-14,299.95
2017-12-15,297.25
2017-12-18,295.4
2017-12-19,294.05
2017-12-20,293.8
2017-12-21,293.4
2017-12-22,301.9
2017-12-26,301.6
2017-12-27,300.9
2017-12-28,298.35
2017-12-29,298.05
