Date,MANAPPURAM
2017-01-02,68.95
2017-01-03,72.7
2017-01-04,69.65
2017-01-05,70.8
2017-01-06,71.65
2017-01-09,70.85
2017-01-10,71.35
2017-01-11,73.7
2017-01-12,73.95
2017-01-13,73.45
2017-01-16,78.55
2017-01-17,79.95
2017-01-18,81.25
2017-01-19,78.95
2017-01-20,77.15
2017-01-23,77.95
2017-01-24,78.25
2017-01-25,80.35
2017-01-27,80.05
2017-01-30,80.6
2017-01-31,78.95
2017-02-01,84.0
2017-02-02,87.85
2017-02-03,92.15
2017-02-06,91.7
2017-02-07,91.55
2017-02-08,93.1
2017-02-09,98.15
2017-02-10,98.9
2017-02-13,97.85
2017-02-14,98.85
2017-02-15,98.85
2017-02-16,100.85
2017-02-17,103.45
2017-02-20,102.1
2017-02-21,100.95
2017-02-22,99.1
2017-02-23,98.95
2017-02-27,95.4
2017-02-28,97.15
2017-03-01,99.7
2017-03-02,99.9
2017-03-03,99.5
2017-03-06,99.75
2017-03-07,98.25
2017-03-08,96.4
2017-03-09,94.65
2017-03-10,90.5
2017-03-14,93.65
2017-03-15,93.4
2017-03-16,94.05
2017-03-17,92.5
2017-03-20,93.1
2017-03-21,91.25
2017-03-22,88.6
2017-03-23,93.55
2017-03-24,96.8
2017-03-27,98.65
2017-03-28,101.55
2017-03-29,98.95
2017-03-30,97.5
2017-03-31,98.15
2017-04-03,98.0
2017-04-05,97.75
2017-04-06,94.35
2017-04-07,96.0
2017-04-10,95.05
2017-04-11,94.75
2017-04-12,93.85
2017-04-13,93.6
2017-04-17,92.15
2017-04-18,93.2
2017-04-19,92.6
2017-04-20,97.1
2017-04-21,95.8
2017-04-24,94.35
2017-04-25,93.4
2017-04-26,95.65
2017-04-27,94.1
2017-04-28,93.45
2017-05-02,94.0
2017-05-03,93.3
2017-05-04,92.8
2017-05-05,90.8
2017-05-08,90.0
2017-05-09,95.35
2017-05-10,96.95
2017-05-11,95.7
2017-05-12,93.9
2017-05-15,96.1
2017-05-16,94.2
2017-05-17,92.7
2017-05-18,90.7
2017-05-19,89.65
2017-05-22,87.45
2017-05-23,85.2
2017-05-24,86.65
2017-05-25,88.75
2017-05-26,91.05
2017-05-29,86.95
2017-05-30,87.15
2017-05-31,89.2
2017-06-01,88.75
2017-06-02,88.9
2017-06-05,91.8
2017-06-06,91.6
2017-06-07,92.3
2017-06-08,94.5
2017-06-09,94.95
2017-06-12,92.95
2017-06-13,93.5
2017-06-14,94.55
2017-06-15,92.65
2017-06-16,92.5
2017-06-19,94.25
2017-06-20,92.45
2017-06-21,94.0
2017-06-22,97.25
2017-06-23,94.8
2017-06-27,93.65
2017-06-28,94.5
2017-06-29,97.8
2017-06-30,97.95
2017-07-03,98.15
2017-07-04,97.45
2017-07-05,97.3
2017-07-06,102.0
2017-07-07,101.6
2017-07-10,101.4
2017-07-11,97.3
2017-07-12,100.05
2017-07-13,98.65
2017-07-14,101.1
2017-07-17,101.9
2017-07-18,101.2
2017-07-19,101.0
2017-07-20,101.9
2017-07-21,104.85
2017-07-24,108.6
2017-07-25,108.05
2017-07-26,106.95
2017-07-27,104.35
2017-07-28,105.15
2017-07-31,106.75
2017-08-01,105.8
2017-08-02,106.15
2017-08-03,102.7
2017-08-04,102.8
2017-08-07,106.3
2017-08-08,104.35
2017-08-09,98.7
2017-08-10,93.3
2017-08-11,85.85
2017-08-14,88.55
2017-08-16,90.3
2017-08-17,87.8
2017-08-18,84.8
2017-08-21,94.6
2017-08-22,91.6
2017-08-23,92.9
2017-08-24,95.75
2017-08-28,95.6
2017-08-29,92.75
2017-08-30,95.75
2017-08-31,99.3
2017-09-01,103.2
2017-09-04,101.15
2017-09-05,102.95
2017-09-06,106.75
2017-09-07,104.8
2017-09-08,108.35
2017-09-11,108.1
2017-09-12,110.25
2017-09-13,108.2
2017-09-14,108.7
2017-09-15,107.85
2017-09-18,109.3
2017-09-19,108.4
2017-09-20,106.9
2017-09-21,103.8
2017-09-22,99.55
2017-09-25,96.2
2017-09-26,99.25
2017-09-27,95.3
2017-09-28,95.15
2017-09-29,96.65
2017-10-03,97.75
2017-10-04,97.15
2017-10-05,98.45
2017-10-06,101.35
2017-10-09,104.1
2017-10-10,104.6
2017-10-11,101.35
2017-10-12,102.2
2017-10-13,104.65
2017-10-16,104.3
2017-10-17,103.45
2017-10-18,103.75
2017-10-19,102.95
2017-10-23,102.1
2017-10-24,101.05
2017-10-25,97.3
2017-10-26,98.3
2017-10-27,97.55
2017-10-30,97.95
2017-10-31,100.8
2017-11-01,100.5
2017-11-02,100.6
2017-11-03,102.1
2017-11-06,101.8
2017-11-07,99.1
2017-11-08,95.15
2017-11-09,98.65
2017-11-10,98.75
2017-11-13,96.55
2017-11-14,95.45
2017-11-15,95.3
2017-11-16,103.85
2017-11-17,103.1
2017-11-20,102.55
2017-11-21,101.25
2017-11-22,103.55
2017-11-23,102.4
2017-11-24,106.7
2017-11-27,107.5
2017-11-28,106.8
2017-11-29,106.7
2017-11-30,105.35
2017-12-01,101.45
2017-12-04,101.85
2017-12-05,103.0
2017-12-06,100.1
2017-12-07,102.0
2017-12-08,103.95
2017-12-11,103.85
2017-12-12,101.55
2017-12-13,99.4
2017-12-14,99.8
2017-12-15,102.1
2017-12-18,101.95
2017-12-19,104.9
2017-12-20,105.7
2017-12-21,118.7
2017-12-22,116.8
2017-12-26,117.25
2017-12-27,118.25
2017-12-28,121.3
2017-12-29,123.4
