Date,PRIMESECU
2017-01-02,33.2
2017-01-03,34.85
2017-01-04,33.2
2017-01-05,33.75
2017-01-06,32.65
2017-01-09,31.05
2017-01-10,29.5
2017-01-11,28.3
2017-01-12,29.7
2017-01-13,30.4
2017-01-16,31.85
2017-01-17,32.0
2017-01-18,31.6
2017-01-19,31.8
2017-01-20,30.65
2017-01-23,29.7
2017-01-24,29.5
2017-01-25,28.8
2017-01-27,29.55
2017-01-30,28.85
2017-01-31,27.7
2017-02-01,29.05
2017-02-02,28.4
2017-02-03,27.75
2017-02-06,27.7
2017-02-07,27.35
2017-02-08,27.5
2017-02-09,26.9
2017-02-10,26.55
2017-02-13,25.95
2017-02-14,24.2
2017-02-15,26.6
2017-02-16,29.1
2017-02-17,28.1
2017-02-20,27.95
2017-02-21,27.7
2017-02-22,26.95
2017-02-23,27.3
2017-02-27,28.05
2017-02-28,28.1
2017-03-01,28.8
2017-03-02,28.35
2017-03-03,27.5
2017-03-06,26.75
2017-03-07,26.75
2017-03-08,26.55
2017-03-09,25.95
2017-03-10,25.5
2017-03-14,26.0
2017-03-15,25.4
2017-03-16,25.95
2017-03-17,25.25
2017-03-20,25.55
2017-03-21,25.5
2017-03-22,26.15
2017-03-23,24.95
2017-03-24,24.9
2017-03-27,24.95
2017-03-28,26.95
2017-03-29,28.5
2017-03-30,31.35
2017-03-31,34.45
2017-04-03,33.45
2017-04-05,33.6
2017-04-06,31.95
2017-04-07,33.5
2017-04-10,34.05
2017-04-11,33.0
2017-04-12,31.45
2017-04-13,31.5
2017-04-17,30.6
2017-04-18,31.4
2017-04-19,31.25
2017-04-20,32.8
2017-04-21,34.35
2017-04-24,36.05
2017-04-25,35.1
2017-04-26,34.3
2017-04-27,33.2
2017-04-28,33.65
2017-05-02,35.2
2017-05-03,34.15
2017-05-04,32.8
2017-05-05,33.6
2017-05-08,35.25
2017-05-09,36.9
2017-05-10,38.25
2017-05-11,37.05
2017-05-12,38.75
2017-05-15,38.9
2017-05-16,39.1
2017-05-17,41.0
2017-05-18,41.15
2017-05-19,39.4
2017-05-22,38.7
2017-05-23,36.8
2017-05-24,35.0
2017-05-25,35.3
2017-05-26,36.05
2017-05-29,34.35
2017-05-30,34.25
2017-05-31,34.8
2017-06-01,34.9
2017-06-02,36.05
2017-06-05,37.85
2017-06-06,37.6
2017-06-07,40.7
2017-06-08,39.35
2017-06-09,38.65
2017-06-12,39.8
2017-06-13,36.15
2017-06-14,37.3
2017-06-15,37.45
2017-06-16,38.4
2017-06-19,37.35
2017-06-20,36.75
2017-06-21,37.3
2017-06-22,36.8
2017-06-23,36.0
2017-06-27,35.0
2017-06-28,35.5
2017-06-29,37.0
2017-06-30,36.95
2017-07-03,37.75
2017-07-04,37.05
2017-07-05,36.3
2017-07-06,36.2
2017-07-07,36.3
2017-07-10,37.75
2017-07-11,36.65
2017-07-12,37.8
2017-07-13,37.3
2017-07-14,38.25
2017-07-17,37.5
2017-07-18,37.15
2017-07-19,36.05
2017-07-20,36.4
2017-07-21,36.3
2017-07-24,39.15
2017-07-25,43.05
2017-07-26,46.3
2017-07-27,44.0
2017-07-28,41.8
2017-07-31,40.05
2017-08-01,41.35
2017-08-02,40.2
2017-08-03,39.45
2017-08-04,38.45
2017-08-07,38.85
2017-08-08,37.1
2017-08-09,36.15
2017-08-10,34.35
2017-08-11,32.65
2017-08-14,34.25
2017-08-16,35.95
2017-08-17,37.5
2017-08-18,36.95
2017-08-21,35.5
2017-08-22,35.15
2017-08-23,35.25
2017-08-24,35.55
2017-08-28,35.85
2017-08-29,35.2
2017-08-30,35.05
2017-08-31,35.8
2017-09-01,35.15
2017-09-04,34.65
2017-09-05,35.1
2017-09-06,35.5
2017-09-07,36.2
2017-09-08,38.0
2017-09-11,36.1
2017-09-12,35.35
2017-09-13,34.8
2017-09-14,34.65
2017-09-15,34.4
2017-09-18,33.9
2017-09-19,34.2
2017-09-20,33.75
2017-09-21,33.7
2017-09-22,33.05
2017-09-25,33.7
2017-09-26,35.25
2017-09-27,34.1
2017-09-28,33.5
2017-09-29,33.7
2017-10-03,32.75
2017-10-04,34.35
2017-10-05,36.05
2017-10-06,37.85
2017-10-09,38.4
2017-10-10,40.85
2017-10-11,42.2
2017-10-12,43.4
2017-10-13,42.6
2017-10-16,43.6
2017-10-17,44.65
2017-10-18,46.05
2017-10-19,45.95
2017-10-23,50.5
2017-10-24,47.3
2017-10-25,45.55
2017-10-26,46.1
2017-10-27,44.75
2017-10-30,45.1
2017-10-31,44.9
2017-11-01,47.35
2017-11-02,46.75
2017-11-03,45.8
2017-11-06,49.05
2017-11-07,48.7
2017-11-08,46.9
2017-11-09,46.95
2017-11-10,46.25
2017-11-13,48.4
2017-11-14,52.3
2017-11-15,47.75
2017-11-16,52.5
2017-11-17,50.4
2017-11-20,50.1
2017-11-21,49.8
2017-11-22,48.9
2017-11-23,48.9
2017-11-24,48.5
2017-11-27,49.05
2017-11-28,49.35
2017-11-29,49.8
2017-11-30,48.85
2017-12-01,47.95
2017-12-04,49.65
2017-12-05,49.1
2017-12-06,48.1
2017-12-07,49.05
2017-12-08,52.8
2017-12-11,55.25
2017-12-12,62.35
2017-12-13,61.65
2017-12-14,60.15
2017-12-15,60.05
2017-12-18,62.55
2017-12-19,61.0
2017-12-20,58.05
2017-12-21,60.4
2017-12-22,59.6
2017-12-26,61.6
2017-12-27,62.05
2017-12-28,62.2
2017-12-29,60.5
