Date,VIDEOIND
2017-01-02,104.1
2017-01-03,104.25
2017-01-04,103.8
2017-01-05,104.15
2017-01-06,104.1
2017-01-09,104.3
2017-01-10,104.05
2017-01-11,104.15
2017-01-12,104.6
2017-01-13,104.35
2017-01-16,104.05
2017-01-17,104.15
2017-01-18,104.15
2017-01-19,104.05
2017-01-20,103.7
2017-01-23,104.2
2017-01-24,104.15
2017-01-25,104.1
2017-01-27,104.1
2017-01-30,104.25
2017-01-31,104.05
2017-02-01,104.05
2017-02-02,104.4
2017-02-03,104.2
2017-02-06,104.15
2017-02-07,103.95
2017-02-08,104.05
2017-02-09,104.0
2017-02-10,103.85
2017-02-13,104.05
2017-02-14,103.95
2017-02-15,103.8
2017-02-16,103.75
2017-02-17,103.8
2017-02-20,103.75
2017-02-21,103.7
2017-02-22,103.95
2017-02-23,103.9
2017-02-27,103.7
2017-02-28,104.0
2017-03-01,103.7
2017-03-02,103.45
2017-03-03,103.8
2017-03-06,103.75
2017-03-07,103.55
2017-03-08,103.5
2017-03-09,103.65
2017-03-10,103.25
2017-03-14,103.75
2017-03-15,103.65
2017-03-16,103.45
2017-03-17,103.5
2017-03-20,103.65
2017-03-21,103.65
2017-03-22,103.5
2017-03-23,103.75
2017-03-24,103.55
2017-03-27,103.45
2017-03-28,103.55
2017-03-29,103.55
2017-03-30,103.55
2017-03-31,103.55
2017-04-03,103.8
2017-04-05,104.55
2017-04-06,103.65
2017-04-07,103.75
2017-04-10,103.75
2017-04-11,104.1
2017-04-12,104.0
2017-04-13,103.75
2017-04-17,103.75
2017-04-18,103.7
2017-04-19,103.75
2017-04-20,103.8
2017-04-21,103.95
2017-04-24,103.85
2017-04-25,103.95
2017-04-26,103.7
2017-04-27,104.2
2017-04-28,103.9
2017-05-02,103.7
2017-05-03,103.65
2017-05-04,103.5
2017-05-05,103.5
2017-05-08,103.5
2017-05-09,103.6
2017-05-10,100.95
2017-05-11,100.6
2017-05-12,99.9
2017-05-15,100.4
2017-05-16,100.25
2017-05-17,100.15
2017-05-18,100.35
2017-05-19,100.6
2017-05-22,81.95
2017-05-23,65.6
2017-05-24,59.05
2017-05-25,53.15
2017-05-26,47.85
2017-05-29,45.5
2017-05-30,43.25
2017-05-31,41.1
2017-06-01,39.05
2017-06-02,37.1
2017-06-05,35.25
2017-06-06,33.5
2017-06-07,31.85
2017-06-08,30.3
2017-06-09,28.8
2017-06-12,27.4
2017-06-13,26.05
2017-06-14,24.75
2017-06-15,23.55
2017-06-16,22.4
2017-06-19,21.3
2017-06-20,20.25
2017-06-21,19.25
2017-06-22,18.3
2017-06-23,17.4
2017-06-27,18.25
2017-06-28,19.15
2017-06-29,20.1
2017-06-30,21.1
2017-07-03,22.15
2017-07-04,23.25
2017-07-05,24.4
2017-07-06,25.6
2017-07-07,26.85
2017-07-10,28.15
2017-07-11,29.55
2017-07-12,31.0
2017-07-13,32.55
2017-07-14,30.95
2017-07-17,29.45
2017-07-18,28.0
2017-07-19,26.6
2017-07-20,25.3
2017-07-21,26.55
2017-07-24,26.05
2017-07-25,24.8
2017-07-26,25.6
2017-07-27,24.65
2017-07-28,24.95
2017-07-31,24.7
2017-08-01,23.65
2017-08-02,22.55
2017-08-03,23.65
2017-08-04,23.05
2017-08-07,22.65
2017-08-08,21.55
2017-08-09,20.5
2017-08-10,19.5
2017-08-11,18.55
2017-08-14,19.45
2017-08-16,20.0
2017-08-17,19.85
2017-08-18,19.65
2017-08-21,19.2
2017-08-22,18.25
2017-08-23,17.85
2017-08-24,18.7
2017-08-28,18.9
2017-08-29,18.05
2017-08-30,18.15
2017-08-31,18.3
2017-09-01,18.75
2017-09-04,18.25
2017-09-05,18.95
2017-09-06,19.0
2017-09-07,18.7
2017-09-08,18.9
2017-09-11,19.8
2017-09-12,19.9
2017-09-13,19.2
2017-09-14,19.1
2017-09-15,18.2
2017-09-18,18.1
2017-09-19,17.85
2017-09-20,17.85
2017-09-21,17.65
2017-09-22,17.3
2017-09-25,16.95
2017-09-26,16.55
2017-09-27,16.1
2017-09-28,15.95
2017-09-29,16.35
2017-10-03,16.3
2017-10-04,15.9
2017-10-05,15.15
2017-10-06,15.9
2017-10-09,16.65
2017-10-10,17.45
2017-10-11,16.65
2017-10-12,16.75
2017-10-13,16.35
2017-10-16,16.1
2017-10-17,16.05
2017-10-18,15.8
2017-10-19,15.95
2017-10-23,15.75
2017-10-24,15.75
2017-10-25,15.85
2017-10-26,15.7
2017-10-27,15.75
2017-10-30,15.9
2017-10-31,15.95
2017-11-01,16.35
2017-11-02,16.25
2017-11-03,16.4
2017-11-06,16.0
2017-11-07,15.5
2017-11-08,15.05
2017-11-09,14.85
2017-11-10,14.15
2017-11-13,13.45
2017-11-14,14.1
2017-11-15,14.8
2017-11-16,14.65
2017-11-17,14.25
2017-11-20,13.75
2017-11-21,13.25
2017-11-22,12.6
2017-11-23,12.2
2017-11-24,12.8
2017-11-27,13.4
2017-11-28,14.05
2017-11-29,14.75
2017-11-30,15.35
2017-12-01,16.1
2017-12-04,16.9
2017-12-05,17.7
2017-12-06,18.55
2017-12-07,19.45
2017-12-08,20.4
2017-12-11,19.4
2017-12-12,18.45
2017-12-13,17.55
2017-12-14,16.7
2017-12-15,16.05
2017-12-18,16.85
2017-12-19,17.25
2017-12-20,16.75
2017-12-21,17.55
2017-12-22,17.45
2017-12-26,17.2
2017-12-27,18.0
2017-12-28,18.9
2017-12-29,19.7
