Date,EKC
2017-01-02,34.35
2017-01-03,33.75
2017-01-04,35.2
2017-01-05,35.75
2017-01-06,34.35
2017-01-09,35.55
2017-01-10,35.2
2017-01-11,35.9
2017-01-12,35.95
2017-01-13,35.45
2017-01-16,35.7
2017-01-17,35.4
2017-01-18,35.55
2017-01-19,35.3
2017-01-20,34.35
2017-01-23,34.65
2017-01-24,35.1
2017-01-25,34.75
2017-01-27,34.2
2017-01-30,33.85
2017-01-31,32.9
2017-02-01,34.25
2017-02-02,33.7
2017-02-03,34.4
2017-02-06,34.45
2017-02-07,35.65
2017-02-08,37.3
2017-02-09,37.2
2017-02-10,35.4
2017-02-13,35.0
2017-02-14,34.45
2017-02-15,32.9
2017-02-16,34.1
2017-02-17,33.75
2017-02-20,33.95
2017-02-21,33.6
2017-02-22,33.75
2017-02-23,32.25
2017-02-27,32.1
2017-02-28,32.05
2017-03-01,32.7
2017-03-02,32.45
2017-03-03,32.7
2017-03-06,32.5
2017-03-07,32.85
2017-03-08,32.15
2017-03-09,32.2
2017-03-10,32.05
2017-03-14,32.25
2017-03-15,32.2
2017-03-16,32.25
2017-03-17,31.85
2017-03-20,32.0
2017-03-21,31.55
2017-03-22,31.0
2017-03-23,31.6
2017-03-24,31.15
2017-03-27,30.4
2017-03-28,30.2
2017-03-29,30.15
2017-03-30,34.05
2017-03-31,36.7
2017-04-03,37.1
2017-04-05,36.1
2017-04-06,35.5
2017-04-07,34.75
2017-04-10,35.5
2017-04-11,35.25
2017-04-12,34.7
2017-04-13,34.05
2017-04-17,33.9
2017-04-18,34.0
2017-04-19,34.1
2017-04-20,34.85
2017-04-21,34.75
2017-04-24,34.75
2017-04-25,36.35
2017-04-26,34.95
2017-04-27,34.35
2017-04-28,33.7
2017-05-02,34.05
2017-05-03,34.05
2017-05-04,34.25
2017-05-05,33.4
2017-05-08,32.95
2017-05-09,32.9
2017-05-10,33.3
2017-05-11,33.1
2017-05-12,32.95
2017-05-15,32.95
2017-05-16,33.35
2017-05-17,35.05
2017-05-18,35.25
2017-05-19,35.8
2017-05-22,35.0
2017-05-23,33.1
2017-05-24,32.2
2017-05-25,32.55
2017-05-26,32.95
2017-05-29,32.0
2017-05-30,35.45
2017-05-31,35.2
2017-06-01,34.6
2017-06-02,34.6
2017-06-05,34.7
2017-06-06,34.5
2017-06-07,33.95
2017-06-08,33.6
2017-06-09,33.7
2017-06-12,33.75
2017-06-13,33.35
2017-06-14,35.1
2017-06-15,35.2
2017-06-16,34.5
2017-06-19,34.0
2017-06-20,33.9
2017-06-21,34.1
2017-06-22,33.65
2017-06-23,33.8
2017-06-27,32.55
2017-06-28,32.65
2017-06-29,33.15
2017-06-30,33.0
2017-07-03,34.4
2017-07-04,34.05
2017-07-05,34.4
2017-07-06,34.2
2017-07-07,34.45
2017-07-10,34.5
2017-07-11,36.95
2017-07-12,37.85
2017-07-13,44.05
2017-07-14,43.0
2017-07-17,43.75
2017-07-18,42.65
2017-07-19,47.25
2017-07-20,46.4
2017-07-21,46.1
2017-07-24,44.35
2017-07-25,44.1
2017-07-26,43.7
2017-07-27,41.3
2017-07-28,41.25
2017-07-31,42.95
2017-08-01,41.4
2017-08-02,40.2
2017-08-03,41.45
2017-08-04,40.35
2017-08-07,40.15
2017-08-08,38.25
2017-08-09,37.45
2017-08-10,34.85
2017-08-11,33.65
2017-08-14,36.25
2017-08-16,36.55
2017-08-17,36.95
2017-08-18,36.0
2017-08-21,37.8
2017-08-22,37.15
2017-08-23,37.2
2017-08-24,36.5
2017-08-28,37.35
2017-08-29,36.7
2017-08-30,36.9
2017-08-31,36.5
2017-09-01,37.35
2017-09-04,36.5
2017-09-05,38.25
2017-09-06,39.3
2017-09-07,40.8
2017-09-08,38.9
2017-09-11,35.5
2017-09-12,36.4
2017-09-13,35.7
2017-09-14,35.85
2017-09-15,35.25
2017-09-18,36.45
2017-09-19,35.8
2017-09-20,35.3
2017-09-21,35.4
2017-09-22,34.55
2017-09-25,33.45
2017-09-26,33.6
2017-09-27,33.05
2017-09-28,33.1
2017-09-29,32.95
2017-10-03,36.5
2017-10-04,35.8
2017-10-05,37.95
2017-10-06,39.4
2017-10-09,41.45
2017-10-10,40.65
2017-10-11,39.15
2017-10-12,40.2
2017-10-13,40.55
2017-10-16,40.6
2017-10-17,40.85
2017-10-18,40.35
2017-10-19,40.35
2017-10-23,41.05
2017-10-24,45.2
2017-10-25,43.8
2017-10-26,46.85
2017-10-27,46.05
2017-10-30,46.75
2017-10-31,46.9
2017-11-01,46.35
2017-11-02,45.45
2017-11-03,44.6
2017-11-06,44.05
2017-11-07,43.95
2017-11-08,44.1
2017-11-09,49.5
2017-11-10,52.35
2017-11-13,51.8
2017-11-14,52.4
2017-11-15,49.35
2017-11-16,52.35
2017-11-17,51.4
2017-11-20,53.9
2017-11-21,51.85
2017-11-22,52.15
2017-11-23,51.9
2017-11-24,53.35
2017-11-27,51.95
2017-11-28,54.1
2017-11-29,53.35
2017-11-30,51.9
2017-12-01,54.75
2017-12-04,56.15
2017-12-05,53.85
2017-12-06,58.1
2017-12-07,59.3
2017-12-08,64.15
2017-12-11,74.65
2017-12-12,71.95
2017-12-13,67.9
2017-12-14,63.15
2017-12-15,66.3
2017-12-18,66.55
2017-12-19,69.8
2017-12-20,69.15
2017-12-21,66.6
2017-12-22,69.6
2017-12-26,69.8
2017-12-27,71.95
2017-12-28,70.9
2017-12-29,69.9
