Date,KCP
2017-01-02,87.75
2017-01-03,87.35
2017-01-04,86.4
2017-01-05,88.1
2017-01-06,89.8
2017-01-09,88.2
2017-01-10,87.95
2017-01-11,88.2
2017-01-12,86.9
2017-01-13,86.45
2017-01-16,85.9
2017-01-17,86.0
2017-01-18,86.15
2017-01-19,86.95
2017-01-20,84.85
2017-01-23,84.75
2017-01-24,85.1
2017-01-25,84.9
2017-01-27,86.45
2017-01-30,84.95
2017-01-31,84.0
2017-02-01,84.9
2017-02-02,87.15
2017-02-03,88.6
2017-02-06,93.75
2017-02-07,100.45
2017-02-08,100.55
2017-02-09,98.05
2017-02-10,98.1
2017-02-13,102.75
2017-02-14,106.25
2017-02-15,101.35
2017-02-16,106.7
2017-02-17,106.1
2017-02-20,107.75
2017-02-21,108.3
2017-02-22,107.7
2017-02-23,106.65
2017-02-27,103.15
2017-02-28,105.0
2017-03-01,104.75
2017-03-02,100.85
2017-03-03,100.9
2017-03-06,100.5
2017-03-07,100.9
2017-03-08,102.9
2017-03-09,104.25
2017-03-10,103.3
2017-03-14,102.75
2017-03-15,102.5
2017-03-16,102.65
2017-03-17,103.65
2017-03-20,103.9
2017-03-21,102.45
2017-03-22,102.95
2017-03-23,100.8
2017-03-24,99.8
2017-03-27,97.6
2017-03-28,98.4
2017-03-29,101.25
2017-03-30,102.35
2017-03-31,103.7
2017-04-03,107.6
2017-04-05,117.0
2017-04-06,118.6
2017-04-07,119.2
2017-04-10,121.3
2017-04-11,124.95
2017-04-12,121.4
2017-04-13,119.75
2017-04-17,122.4
2017-04-18,123.45
2017-04-19,123.55
2017-04-20,125.0
2017-04-21,128.2
2017-04-24,133.7
2017-04-25,132.3
2017-04-26,130.25
2017-04-27,132.3
2017-04-28,130.0
2017-05-02,125.4
2017-05-03,122.3
2017-05-04,124.9
2017-05-05,123.15
2017-05-08,125.05
2017-05-09,123.8
2017-05-10,128.0
2017-05-11,125.65
2017-05-12,123.35
2017-05-15,127.15
2017-05-16,128.35
2017-05-17,132.2
2017-05-18,132.05
2017-05-19,132.55
2017-05-22,132.5
2017-05-23,111.9
2017-05-24,100.9
2017-05-25,104.2
2017-05-26,111.9
2017-05-29,107.35
2017-05-30,106.35
2017-05-31,110.15
2017-06-01,109.35
2017-06-02,109.9
2017-06-05,105.05
2017-06-06,104.9
2017-06-07,106.5
2017-06-08,108.4
2017-06-09,106.9
2017-06-12,107.05
2017-06-13,105.0
2017-06-14,105.0
2017-06-15,105.15
2017-06-16,106.95
2017-06-19,113.15
2017-06-20,112.9
2017-06-21,109.75
2017-06-22,109.85
2017-06-23,107.1
2017-06-27,101.7
2017-06-28,99.55
2017-06-29,101.85
2017-06-30,104.5
2017-07-03,107.5
2017-07-04,105.9
2017-07-05,109.15
2017-07-06,109.9
2017-07-07,109.5
2017-07-10,107.9
2017-07-11,108.8
2017-07-12,109.25
2017-07-13,109.15
2017-07-14,107.5
2017-07-17,107.35
2017-07-18,105.55
2017-07-19,106.85
2017-07-20,105.95
2017-07-21,106.3
2017-07-24,105.15
2017-07-25,105.9
2017-07-26,105.95
2017-07-27,104.85
2017-07-28,104.4
2017-07-31,103.45
2017-08-01,103.2
2017-08-02,101.85
2017-08-03,101.95
2017-08-04,101.65
2017-08-07,102.9
2017-08-08,101.2
2017-08-09,99.95
2017-08-10,95.7
2017-08-11,97.6
2017-08-14,101.4
2017-08-16,102.7
2017-08-17,105.25
2017-08-18,103.1
2017-08-21,103.3
2017-08-22,103.75
2017-08-23,101.85
2017-08-24,102.3
2017-08-28,102.4
2017-08-29,103.4
2017-08-30,104.75
2017-08-31,117.95
2017-09-01,117.65
2017-09-04,113.45
2017-09-05,119.35
2017-09-06,120.0
2017-09-07,119.25
2017-09-08,119.15
2017-09-11,119.4
2017-09-12,124.45
2017-09-13,124.5
2017-09-14,122.25
2017-09-15,119.8
2017-09-18,120.45
2017-09-19,121.85
2017-09-20,123.0
2017-09-21,120.6
2017-09-22,117.2
2017-09-25,114.0
2017-09-26,114.15
2017-09-27,109.85
2017-09-28,110.0
2017-09-29,114.1
2017-10-03,114.1
2017-10-04,114.1
2017-10-05,119.75
2017-10-06,119.7
2017-10-09,122.55
2017-10-10,125.0
2017-10-11,123.1
2017-10-12,122.05
2017-10-13,121.25
2017-10-16,119.5
2017-10-17,121.7
2017-10-18,121.05
2017-10-19,121.9
2017-10-23,121.95
2017-10-24,126.3
2017-10-25,125.0
2017-10-26,123.05
2017-10-27,122.75
2017-10-30,123.55
2017-10-31,122.7
2017-11-01,122.3
2017-11-02,122.3
2017-11-03,122.4
2017-11-06,121.7
2017-11-07,119.5
2017-11-08,119.25
2017-11-09,119.4
2017-11-10,121.05
2017-11-13,120.2
2017-11-14,119.4
2017-11-15,118.4
2017-11-16,120.9
2017-11-17,119.3
2017-11-20,119.45
2017-11-21,122.2
2017-11-22,121.65
2017-11-23,120.45
2017-11-24,120.95
2017-11-27,121.5
2017-11-28,123.7
2017-11-29,125.0
2017-11-30,128.8
2017-12-01,121.5
2017-12-04,119.6
2017-12-05,121.55
2017-12-06,120.55
2017-12-07,120.45
2017-12-08,120.4
2017-12-11,121.25
2017-12-12,120.3
2017-12-13,120.1
2017-12-14,121.8
2017-12-15,122.15
2017-12-18,127.1
2017-12-19,129.55
2017-12-20,141.5
2017-12-21,140.3
2017-12-22,138.4
2017-12-26,141.3
2017-12-27,136.8
2017-12-28,136.25
2017-12-29,137.3
