Date,JAYSREETEA
2017-01-02,99.5
2017-01-03,98.9
2017-01-04,98.75
2017-01-05,104.4
2017-01-06,109.1
2017-01-09,108.15
2017-01-10,108.7
2017-01-11,110.75
2017-01-12,108.65
2017-01-13,109.1
2017-01-16,109.9
2017-01-17,110.85
2017-01-18,109.35
2017-01-19,109.65
2017-01-20,112.4
2017-01-23,113.85
2017-01-24,113.2
2017-01-25,111.25
2017-01-27,108.85
2017-01-30,110.5
2017-01-31,106.5
2017-02-01,108.25
2017-02-02,110.7
2017-02-03,112.6
2017-02-06,112.6
2017-02-07,109.95
2017-02-08,112.0
2017-02-09,106.8
2017-02-10,107.65
2017-02-13,106.45
2017-02-14,105.8
2017-02-15,103.3
2017-02-16,104.6
2017-02-17,105.0
2017-02-20,111.0
2017-02-21,109.75
2017-02-22,111.1
2017-02-23,111.5
2017-02-27,111.1
2017-02-28,108.55
2017-03-01,113.25
2017-03-02,112.5
2017-03-03,114.3
2017-03-06,113.95
2017-03-07,113.45
2017-03-08,109.95
2017-03-09,108.4
2017-03-10,108.5
2017-03-14,108.9
2017-03-15,109.85
2017-03-16,110.35
2017-03-17,111.55
2017-03-20,113.85
2017-03-21,111.2
2017-03-22,110.45
2017-03-23,114.55
2017-03-24,111.4
2017-03-27,109.55
2017-03-28,110.5
2017-03-29,111.0
2017-03-30,109.9
2017-03-31,109.65
2017-04-03,110.2
2017-04-05,111.0
2017-04-06,115.75
2017-04-07,113.9
2017-04-10,113.7
2017-04-11,113.4
2017-04-12,111.7
2017-04-13,111.45
2017-04-17,111.35
2017-04-18,109.25
2017-04-19,108.15
2017-04-20,110.05
2017-04-21,110.6
2017-04-24,110.05
2017-04-25,112.75
2017-04-26,113.85
2017-04-27,114.6
2017-04-28,115.25
2017-05-02,116.95
2017-05-03,116.45
2017-05-04,116.1
2017-05-05,114.05
2017-05-08,109.15
2017-05-09,106.7
2017-05-10,106.85
2017-05-11,104.15
2017-05-12,102.3
2017-05-15,103.05
2017-05-16,104.3
2017-05-17,102.85
2017-05-18,100.1
2017-05-19,103.3
2017-05-22,100.55
2017-05-23,97.55
2017-05-24,93.55
2017-05-25,96.75
2017-05-26,98.25
2017-05-29,95.95
2017-05-30,95.1
2017-05-31,94.05
2017-06-01,93.75
2017-06-02,97.7
2017-06-05,97.05
2017-06-06,97.65
2017-06-07,98.25
2017-06-08,98.2
2017-06-09,111.25
2017-06-12,105.35
2017-06-13,106.6
2017-06-14,107.45
2017-06-15,106.1
2017-06-16,106.1
2017-06-19,104.15
2017-06-20,103.75
2017-06-21,103.35
2017-06-22,101.75
2017-06-23,100.6
2017-06-27,96.9
2017-06-28,99.95
2017-06-29,100.8
2017-06-30,99.6
2017-07-03,101.4
2017-07-04,98.75
2017-07-05,101.9
2017-07-06,101.1
2017-07-07,105.15
2017-07-10,107.05
2017-07-11,104.45
2017-07-12,103.05
2017-07-13,101.25
2017-07-14,100.75
2017-07-17,101.8
2017-07-18,100.5
2017-07-19,101.9
2017-07-20,103.8
2017-07-21,104.5
2017-07-24,101.4
2017-07-25,101.2
2017-07-26,100.95
2017-07-27,99.8
2017-07-28,99.75
2017-07-31,106.35
2017-08-01,104.0
2017-08-02,104.6
2017-08-03,101.7
2017-08-04,101.15
2017-08-07,102.3
2017-08-08,101.25
2017-08-09,99.3
2017-08-10,95.8
2017-08-11,96.4
2017-08-14,102.75
2017-08-16,104.75
2017-08-17,103.2
2017-08-18,102.15
2017-08-21,99.9
2017-08-22,99.65
2017-08-23,99.75
2017-08-24,100.1
2017-08-28,100.55
2017-08-29,98.75
2017-08-30,100.7
2017-08-31,100.7
2017-09-01,100.4
2017-09-04,98.4
2017-09-05,99.4
2017-09-06,101.9
2017-09-07,99.65
2017-09-08,99.05
2017-09-11,99.0
2017-09-12,99.0
2017-09-13,97.9
2017-09-14,97.75
2017-09-15,98.25
2017-09-18,98.45
2017-09-19,97.75
2017-09-20,97.7
2017-09-21,96.4
2017-09-22,94.05
2017-09-25,92.05
2017-09-26,93.05
2017-09-27,91.25
2017-09-28,92.2
2017-09-29,92.35
2017-10-03,92.65
2017-10-04,92.7
2017-10-05,94.15
2017-10-06,93.3
2017-10-09,92.9
2017-10-10,93.7
2017-10-11,92.95
2017-10-12,93.95
2017-10-13,93.3
2017-10-16,93.05
2017-10-17,95.65
2017-10-18,94.1
2017-10-19,93.95
2017-10-23,93.0
2017-10-24,92.95
2017-10-25,93.0
2017-10-26,95.7
2017-10-27,95.3
2017-10-30,97.8
2017-10-31,99.1
2017-11-01,99.2
2017-11-02,100.9
2017-11-03,100.55
2017-11-06,100.05
2017-11-07,97.65
2017-11-08,96.5
2017-11-09,101.15
2017-11-10,100.5
2017-11-13,101.4
2017-11-14,99.75
2017-11-15,96.65
2017-11-16,98.75
2017-11-17,98.7
2017-11-20,103.9
2017-11-21,110.15
2017-11-22,112.45
2017-11-23,113.35
2017-11-24,111.9
2017-11-27,117.15
2017-11-28,134.25
2017-11-29,129.1
2017-11-30,136.5
2017-12-01,131.45
2017-12-04,124.85
2017-12-05,119.0
2017-12-06,118.95
