Date,DHFL
2017-01-02,249.9
2017-01-03,245.8
2017-01-04,243.2
2017-01-05,247.45
2017-01-06,248.75
2017-01-09,255.15
2017-01-10,255.4
2017-01-11,264.85
2017-01-12,267.05
2017-01-13,270.65
2017-01-16,288.0
2017-01-17,285.15
2017-01-18,282.85
2017-01-19,280.1
2017-01-20,272.4
2017-01-23,273.25
2017-01-24,277.4
2017-01-25,285.05
2017-01-27,283.9
2017-01-30,283.65
2017-01-31,284.55
2017-02-01,295.4
2017-02-02,294.9
2017-02-03,296.7
2017-02-06,300.6
2017-02-07,296.55
2017-02-08,295.75
2017-02-09,303.15
2017-02-10,303.8
2017-02-13,306.75
2017-02-14,304.2
2017-02-15,294.4
2017-02-16,304.6
2017-02-17,322.2
2017-02-20,323.8
2017-02-21,322.4
2017-02-22,317.45
2017-02-23,331.1
2017-02-27,332.15
2017-02-28,333.15
2017-03-01,332.25
2017-03-02,324.55
2017-03-03,324.3
2017-03-06,327.55
2017-03-07,328.8
2017-03-08,328.0
2017-03-09,326.0
2017-03-10,325.5
2017-03-14,343.25
2017-03-15,349.7
2017-03-16,357.65
2017-03-17,357.4
2017-03-20,361.75
2017-03-21,361.25
2017-03-22,355.45
2017-03-23,358.75
2017-03-24,361.75
2017-03-27,363.05
2017-03-28,367.0
2017-03-29,367.25
2017-03-30,364.2
2017-03-31,367.15
2017-04-03,372.8
2017-04-05,384.8
2017-04-06,390.3
2017-04-07,383.4
2017-04-10,384.55
2017-04-11,392.8
2017-04-12,388.6
2017-04-13,389.1
2017-04-17,399.2
2017-04-18,394.55
2017-04-19,401.3
2017-04-20,410.55
2017-04-21,415.4
2017-04-24,417.55
2017-04-25,430.8
2017-04-26,432.05
2017-04-27,422.95
2017-04-28,426.75
2017-05-02,447.1
2017-05-03,444.4
2017-05-04,438.0
2017-05-05,431.35
2017-05-08,441.1
2017-05-09,437.9
2017-05-10,441.55
2017-05-11,442.4
2017-05-12,426.65
2017-05-15,431.4
2017-05-16,424.45
2017-05-17,429.0
2017-05-18,417.95
2017-05-19,404.2
2017-05-22,404.0
2017-05-23,402.0
2017-05-24,395.55
2017-05-25,405.5
2017-05-26,410.65
2017-05-29,410.95
2017-05-30,412.15
2017-05-31,416.65
2017-06-01,416.9
2017-06-02,414.25
2017-06-05,430.75
2017-06-06,424.6
2017-06-07,431.45
2017-06-08,434.45
2017-06-09,435.7
2017-06-12,428.35
2017-06-13,440.1
2017-06-14,446.4
2017-06-15,463.25
2017-06-16,454.8
2017-06-19,458.85
2017-06-20,459.9
2017-06-21,461.2
2017-06-22,456.5
2017-06-23,439.8
2017-06-27,426.5
2017-06-28,427.85
2017-06-29,436.2
2017-06-30,437.2
2017-07-03,442.45
2017-07-04,435.95
2017-07-05,435.8
2017-07-06,437.9
2017-07-07,435.55
2017-07-10,437.05
2017-07-11,437.45
2017-07-12,434.9
2017-07-13,443.0
2017-07-14,443.05
2017-07-17,456.15
2017-07-18,459.75
2017-07-19,469.25
2017-07-20,477.6
2017-07-21,458.75
2017-07-24,455.9
2017-07-25,462.55
2017-07-26,458.75
2017-07-27,449.75
2017-07-28,460.4
2017-07-31,456.75
2017-08-01,465.95
2017-08-02,460.8
2017-08-03,450.85
2017-08-04,456.7
2017-08-07,456.75
2017-08-08,448.85
2017-08-09,427.85
2017-08-10,406.35
2017-08-11,416.8
2017-08-14,438.75
2017-08-16,449.0
2017-08-17,448.45
2017-08-18,450.35
2017-08-21,448.75
2017-08-22,455.8
2017-08-23,467.75
2017-08-24,474.05
2017-08-28,490.95
2017-08-29,493.4
2017-08-30,503.4
2017-08-31,505.2
2017-09-01,516.95
2017-09-04,520.85
2017-09-05,550.35
2017-09-06,556.0
2017-09-07,550.95
2017-09-08,544.3
2017-09-11,548.3
2017-09-12,557.8
2017-09-13,552.1
2017-09-14,561.0
2017-09-15,568.3
2017-09-18,602.05
2017-09-19,609.4
2017-09-20,590.75
2017-09-21,595.4
2017-09-22,568.2
2017-09-25,524.55
2017-09-26,556.4
2017-09-27,525.55
2017-09-28,534.35
2017-09-29,549.65
2017-10-03,549.7
2017-10-04,553.85
2017-10-05,558.1
2017-10-06,546.55
2017-10-09,544.7
2017-10-10,551.55
2017-10-11,526.15
2017-10-12,532.0
2017-10-13,537.8
2017-10-16,558.25
2017-10-17,591.85
2017-10-18,602.5
2017-10-19,594.35
2017-10-23,582.95
2017-10-24,596.65
2017-10-25,577.8
2017-10-26,603.65
2017-10-27,611.55
2017-10-30,647.9
2017-10-31,642.75
2017-11-01,642.25
2017-11-02,649.75
2017-11-03,665.65
2017-11-06,642.15
2017-11-07,632.85
2017-11-08,624.0
2017-11-09,633.0
2017-11-10,638.4
2017-11-13,633.2
2017-11-14,621.85
2017-11-15,615.45
2017-11-16,623.5
2017-11-17,635.5
2017-11-20,638.55
2017-11-21,621.35
2017-11-22,620.4
2017-11-23,618.65
2017-11-24,618.0
2017-11-27,615.95
2017-11-28,616.6
2017-11-29,618.2
2017-11-30,616.55
2017-12-01,599.95
2017-12-04,590.65
2017-12-05,596.65
2017-12-06,586.0
2017-12-07,601.85
2017-12-08,601.05
2017-12-11,600.1
2017-12-12,582.05
2017-12-13,576.25
2017-12-14,586.95
2017-12-15,591.75
2017-12-18,602.4
2017-12-19,609.7
2017-12-20,607.0
2017-12-21,600.5
2017-12-22,593.4
2017-12-26,595.05
2017-12-27,592.9
2017-12-28,585.7
2017-12-29,582.7
