Date,NELCAST
2017-01-02,51.0
2017-01-03,51.35
2017-01-04,51.55
2017-01-05,51.25
2017-01-06,51.3
2017-01-09,51.0
2017-01-10,51.55
2017-01-11,55.25
2017-01-12,53.2
2017-01-13,53.15
2017-01-16,52.55
2017-01-17,51.9
2017-01-18,51.35
2017-01-19,50.8
2017-01-20,50.05
2017-01-23,49.55
2017-01-24,49.2
2017-01-25,49.6
2017-01-27,50.0
2017-01-30,50.55
2017-01-31,47.45
2017-02-01,50.3
2017-02-02,51.2
2017-02-03,50.5
2017-02-06,51.1
2017-02-07,51.05
2017-02-08,55.15
2017-02-09,55.85
2017-02-10,55.4
2017-02-13,55.95
2017-02-14,55.0
2017-02-15,53.1
2017-02-16,54.9
2017-02-17,54.5
2017-02-20,55.25
2017-02-21,55.05
2017-02-22,54.75
2017-02-23,54.1
2017-02-27,53.0
2017-02-28,52.1
2017-03-01,52.5
2017-03-02,51.85
2017-03-03,51.9
2017-03-06,51.65
2017-03-07,51.75
2017-03-08,51.7
2017-03-09,53.3
2017-03-10,53.9
2017-03-14,53.8
2017-03-15,53.3
2017-03-16,53.75
2017-03-17,56.05
2017-03-20,56.65
2017-03-21,57.3
2017-03-22,57.75
2017-03-23,59.3
2017-03-24,59.3
2017-03-27,57.65
2017-03-28,56.9
2017-03-29,57.5
2017-03-30,59.5
2017-03-31,58.7
2017-04-03,59.6
2017-04-05,59.15
2017-04-06,60.0
2017-04-07,60.85
2017-04-10,62.2
2017-04-11,63.5
2017-04-12,62.25
2017-04-13,60.85
2017-04-17,60.85
2017-04-18,62.9
2017-04-19,63.05
2017-04-20,62.65
2017-04-21,63.45
2017-04-24,63.5
2017-04-25,63.85
2017-04-26,62.85
2017-04-27,62.7
2017-04-28,62.7
2017-05-02,62.25
2017-05-03,63.2
2017-05-04,63.3
2017-05-05,62.3
2017-05-08,62.35
2017-05-09,62.05
2017-05-10,62.25
2017-05-11,62.1
2017-05-12,61.8
2017-05-15,64.75
2017-05-16,64.5
2017-05-17,63.55
2017-05-18,61.25
2017-05-19,60.9
2017-05-22,59.55
2017-05-23,57.3
2017-05-24,57.5
2017-05-25,57.55
2017-05-26,59.15
2017-05-29,56.75
2017-05-30,59.85
2017-05-31,60.15
2017-06-01,59.2
2017-06-02,57.85
2017-06-05,59.95
2017-06-06,59.05
2017-06-07,59.0
2017-06-08,60.35
2017-06-09,60.35
2017-06-12,59.4
2017-06-13,63.5
2017-06-14,61.6
2017-06-15,63.15
2017-06-16,62.8
2017-06-19,62.45
2017-06-20,64.8
2017-06-21,68.1
2017-06-22,66.55
2017-06-23,63.75
2017-06-27,62.85
2017-06-28,61.65
2017-06-29,63.85
2017-06-30,64.95
2017-07-03,66.0
2017-07-04,68.15
2017-07-05,71.5
2017-07-06,70.45
2017-07-07,70.25
2017-07-10,69.3
2017-07-11,72.4
2017-07-12,75.65
2017-07-13,72.8
2017-07-14,71.7
2017-07-17,70.5
2017-07-18,73.45
2017-07-19,74.45
2017-07-20,75.85
2017-07-21,75.05
2017-07-24,75.35
2017-07-25,74.6
2017-07-26,73.4
2017-07-27,72.15
2017-07-28,73.1
2017-07-31,71.0
2017-08-01,75.55
2017-08-02,76.55
2017-08-03,70.25
2017-08-04,69.55
2017-08-07,70.4
2017-08-08,67.8
2017-08-09,65.3
2017-08-10,61.2
2017-08-11,61.65
2017-08-14,63.65
2017-08-16,63.65
2017-08-17,65.05
2017-08-18,63.8
2017-08-21,63.05
2017-08-22,61.75
2017-08-23,63.1
2017-08-24,62.7
2017-08-28,62.0
2017-08-29,61.0
2017-08-30,62.7
2017-08-31,64.0
2017-09-01,68.15
2017-09-04,70.45
2017-09-05,69.8
2017-09-06,70.2
2017-09-07,69.45
2017-09-08,69.85
2017-09-11,69.15
2017-09-12,70.25
2017-09-13,72.45
2017-09-14,72.65
2017-09-15,73.1
2017-09-18,73.65
2017-09-19,70.95
2017-09-20,71.5
2017-09-21,72.5
2017-09-22,69.1
2017-09-25,66.25
2017-09-26,67.8
2017-09-27,65.95
2017-09-28,65.3
2017-09-29,67.75
2017-10-03,70.75
2017-10-04,71.1
2017-10-05,69.55
2017-10-06,72.25
2017-10-09,75.9
2017-10-10,84.65
2017-10-11,81.2
2017-10-12,83.95
2017-10-13,83.6
2017-10-16,84.0
2017-10-17,86.45
2017-10-18,86.05
2017-10-19,85.6
2017-10-23,83.8
2017-10-24,84.0
2017-10-25,83.9
2017-10-26,85.35
2017-10-27,84.05
2017-10-30,83.6
2017-10-31,88.7
2017-11-01,87.9
2017-11-02,86.95
2017-11-03,88.5
2017-11-06,86.75
2017-11-07,80.6
2017-11-08,78.95
2017-11-09,79.35
2017-11-10,79.0
2017-11-13,80.4
2017-11-14,84.2
2017-11-15,81.85
2017-11-16,82.25
2017-11-17,82.8
2017-11-20,82.5
2017-11-21,83.0
2017-11-22,82.1
2017-11-23,87.55
2017-11-24,87.3
2017-11-27,103.0
2017-11-28,98.65
2017-11-29,98.1
2017-11-30,100.1
2017-12-01,103.0
2017-12-04,100.75
2017-12-05,105.05
2017-12-06,100.55
2017-12-07,101.6
2017-12-08,100.55
2017-12-11,98.6
2017-12-12,94.9
2017-12-13,93.75
2017-12-14,92.65
2017-12-15,93.7
2017-12-18,94.2
2017-12-19,100.0
2017-12-20,100.75
2017-12-21,99.35
2017-12-22,97.25
2017-12-26,97.2
2017-12-27,96.55
2017-12-28,97.75
2017-12-29,96.2
